#Benchmark	Runtime	CPU Frequency(MHz)	CPU Voltage(V)	CPU Power(W)	CPU Temperature(C)
sleep	.0000035450	1400000	1.200000	0.103455	53.5933
sleep	.0000035450	1300000	1.200000	0.0851354	53.156
sleep	.0000035430	1200000	1.100000	0.0703081	53.2314
sleep	.0000035450	1100000	1.100000	0.0596179	53.0096
sleep	.0000035450	1000000	1.100000	0.0501655	53.2205
sleep	.0000035450	900000	1.000000	0.0420028	53.0973
sleep	.0000035450	800000	1.000000	0.0284693	52.9052
sleep	.0000035450	700000	0.900000	0.0238057	52.855
sleep	.0000035450	600000	0.900000	0.0193835	52.6895
sleep	.0000035450	500000	0.900000	0.0152688	52.628
sleep	.0000035420	400000	0.900000	0.012996	52.3983
sleep	.0000035420	300000	0.900000	0.0104454	52.5323
sleep	.0000035390	200000	0.900000	0.00881554	52.646
