#Benchmark	Runtime	CPU Frequency(MHz)	CPU Voltage(V)	CPU Power(W)	CPU Temperature(C)
stress	600.0227023080	2000000	1.300000	1.474000	55
stress	600.0227023080	2000000	1.300000	1.815000	55
stress	600.0227023080	2000000	1.300000	1.817000	56
stress	600.0227023080	2000000	1.300000	1.820000	56
stress	600.0227023080	2000000	1.300000	1.827000	56
stress	600.0227023080	2000000	1.300000	1.827000	56
stress	600.0227023080	2000000	1.300000	1.825000	57
stress	600.0227023080	2000000	1.300000	1.827000	57
stress	600.0227023080	2000000	1.300000	1.829000	57
stress	600.0227023080	2000000	1.300000	1.828000	57
stress	600.0227023080	2000000	1.300000	1.829000	57
stress	600.0227023080	2000000	1.300000	1.832000	57
stress	600.0227023080	2000000	1.300000	1.833000	57
stress	600.0227023080	2000000	1.300000	1.829000	57
stress	600.0227023080	2000000	1.300000	1.831000	57
stress	600.0227023080	2000000	1.300000	1.831000	57
stress	600.0227023080	2000000	1.300000	1.837000	57
stress	600.0227023080	2000000	1.300000	1.829000	57
stress	600.0227023080	2000000	1.300000	1.833000	57
stress	600.0227023080	2000000	1.300000	1.837000	57
stress	600.0227023080	2000000	1.300000	1.833000	57
stress	600.0227023080	2000000	1.300000	1.829000	57
stress	600.0227023080	2000000	1.300000	1.829000	57
stress	600.0227023080	2000000	1.300000	1.835000	57
stress	600.0227023080	2000000	1.300000	1.833000	57
stress	600.0227023080	2000000	1.300000	1.828000	57
stress	600.0227023080	2000000	1.300000	1.828000	57
stress	600.0227023080	2000000	1.300000	1.831000	57
stress	600.0227023080	2000000	1.300000	1.829000	57
stress	600.0227023080	2000000	1.300000	1.828000	57
stress	600.0227023080	2000000	1.300000	1.832000	57
stress	600.0227023080	2000000	1.300000	1.832000	57
stress	600.0227023080	2000000	1.300000	1.828000	57
stress	600.0227023080	2000000	1.300000	1.828000	57
stress	600.0227023080	2000000	1.300000	1.829000	57
stress	600.0227023080	2000000	1.300000	1.828000	57
stress	600.0227023080	2000000	1.300000	1.828000	57
stress	600.0227023080	2000000	1.300000	1.829000	57
stress	600.0227023080	2000000	1.300000	1.832000	57
stress	600.0227023080	2000000	1.300000	1.831000	57
stress	600.0227023080	2000000	1.300000	1.829000	57
stress	600.0227023080	2000000	1.300000	1.828000	56
stress	600.0227023080	2000000	1.300000	1.829000	57
stress	600.0227023080	2000000	1.300000	1.829000	56
stress	600.0227023080	2000000	1.300000	1.825000	56
stress	600.0227023080	2000000	1.300000	1.825000	56
stress	600.0227023080	2000000	1.300000	1.829000	56
stress	600.0227023080	2000000	1.300000	1.824000	56
stress	600.0227023080	2000000	1.300000	1.825000	56
stress	600.0227023080	2000000	1.300000	1.831000	56
stress	600.0227023080	2000000	1.300000	1.831000	56
stress	600.0227023080	2000000	1.300000	1.827000	56
stress	600.0227023080	2000000	1.300000	1.828000	56
