#Benchmark	runtime	CPU Frequency(MHz)
automotive_bitcount	16.8632954380	2000000
automotive_qsort1	16.9807935020	2000000
automotive_susan_c	22.4009373740	2000000
automotive_susan_e	15.1692473330	2000000
automotive_susan_s	12.0950709010	2000000
bzip2d	24.1310055630	2000000
bzip2e	16.4337754260	2000000
consumer_jpeg_c	22.2213152870	2000000
consumer_jpeg_d	85.2779028580	2000000
consumer_tiff2bw	43.6318496040	2000000
consumer_tiff2rgba	89.1276992570	2000000
consumer_tiffdither	26.6192822590	2000000
consumer_tiffmedian	21.4224767480	2000000
network_dijkstra	8.4734061450	2000000
network_patricia	14.9105775530	2000000
office_ghostscript	25.1126233480	2000000
office_ispell	33.4682455130	2000000
office_rsynth	9.4367813880	2000000
office_stringsearch1	11.4522054620	2000000
security_blowfish_d	14.1967492350	2000000
security_blowfish_e	16.0627164870	2000000
security_pgp_d	149.7004438720	2000000
security_pgp_e	18.1664406090	2000000
security_rijndael_d	296.3346357520	2000000
security_rijndael_e	306.0565724830	2000000
security_sha	33.4279831060	2000000
telecom_adpcm_c	9.6613412050	2000000
telecom_adpcm_d	16.8868900510	2000000
telecom_CRC32	109.9875116740	2000000
telecom_gsm	14.5478151370	2000000
automotive_bitcount	16.8180228760	2000000
automotive_qsort1	16.8358697100	2000000
automotive_susan_c	21.2737157570	2000000
automotive_susan_e	15.8955034970	2000000
automotive_susan_s	11.1908890630	2000000
bzip2d	25.0794907990	2000000
bzip2e	16.4140770130	2000000
consumer_jpeg_c	19.5492953050	2000000
consumer_jpeg_d	84.3346998180	2000000
consumer_tiff2bw	41.7715977150	2000000
consumer_tiff2rgba	84.5106809130	2000000
consumer_tiffdither	26.5027574440	2000000
consumer_tiffmedian	22.2764357020	2000000
network_dijkstra	8.4499439490	2000000
network_patricia	15.2911447620	2000000
office_ghostscript	24.1193604650	2000000
office_ispell	32.5820905080	2000000
office_rsynth	9.4306526510	2000000
office_stringsearch1	11.2737820390	2000000
security_blowfish_d	14.1864033430	2000000
security_blowfish_e	16.1371233160	2000000
security_pgp_d	147.3181480160	2000000
security_pgp_e	18.1373239670	2000000
security_rijndael_d	292.5345277800	2000000
security_rijndael_e	302.1128389670	2000000
security_sha	33.5050162200	2000000
telecom_adpcm_c	9.7305850880	2000000
telecom_adpcm_d	16.8634711050	2000000
telecom_CRC32	109.6572994340	2000000
telecom_gsm	14.5282700570	2000000
automotive_bitcount	16.8686936350	2000000
automotive_qsort1	16.9406448860	2000000
automotive_susan_c	19.9511005070	2000000
automotive_susan_e	15.1255174760	2000000
automotive_susan_s	11.1896273580	2000000
bzip2d	25.1368280420	2000000
bzip2e	16.2679940990	2000000
consumer_jpeg_c	20.0340874400	2000000
consumer_jpeg_d	82.5101623460	2000000
consumer_tiff2bw	41.8280382100	2000000
consumer_tiff2rgba	82.5686672950	2000000
consumer_tiffdither	26.9311927920	2000000
consumer_tiffmedian	21.4319807270	2000000
network_dijkstra	8.4820070410	2000000
network_patricia	15.1802484750	2000000
office_ghostscript	24.2175484480	2000000
office_ispell	32.8100562760	2000000
office_rsynth	9.3992860150	2000000
office_stringsearch1	11.3912240610	2000000
security_blowfish_d	14.1559731220	2000000
security_blowfish_e	16.1258675510	2000000
security_pgp_d	147.3824258260	2000000
security_pgp_e	18.1517079770	2000000
security_rijndael_d	291.6152580600	2000000
security_rijndael_e	300.9313252250	2000000
security_sha	33.4264166510	2000000
telecom_adpcm_c	9.7410251470	2000000
telecom_adpcm_d	16.8040094080	2000000
telecom_CRC32	109.7196187900	2000000
telecom_gsm	14.4118814080	2000000
automotive_bitcount	17.8440968080	1900000
automotive_qsort1	17.9649701140	1900000
automotive_susan_c	23.0913377030	1900000
automotive_susan_e	16.0106657740	1900000
automotive_susan_s	11.7697027320	1900000
bzip2d	24.9707901330	1900000
bzip2e	17.1453077070	1900000
consumer_jpeg_c	22.8261607710	1900000
consumer_jpeg_d	84.9384892630	1900000
consumer_tiff2bw	42.2380278090	1900000
consumer_tiff2rgba	87.7037705730	1900000
consumer_tiffdither	28.2588929900	1900000
consumer_tiffmedian	21.9073684250	1900000
network_dijkstra	8.7561714100	1900000
network_patricia	15.5391631500	1900000
office_ghostscript	25.6527397320	1900000
office_ispell	34.8000728680	1900000
office_rsynth	10.0436551590	1900000
office_stringsearch1	12.1851136110	1900000
security_blowfish_d	14.9658250090	1900000
security_blowfish_e	17.0558816620	1900000
security_pgp_d	157.4368872940	1900000
security_pgp_e	18.8517863250	1900000
security_rijndael_d	297.6868825170	1900000
security_rijndael_e	308.1963408560	1900000
security_sha	35.3746041710	1900000
telecom_adpcm_c	10.3624506760	1900000
telecom_adpcm_d	17.8946485260	1900000
telecom_CRC32	113.6351542050	1900000
telecom_gsm	15.2070814970	1900000
automotive_bitcount	17.8398351100	1900000
automotive_qsort1	17.7660749040	1900000
automotive_susan_c	20.4794219590	1900000
automotive_susan_e	16.0010162960	1900000
automotive_susan_s	11.7707849800	1900000
bzip2d	24.9426784050	1900000
bzip2e	17.0014849960	1900000
consumer_jpeg_c	20.2512830250	1900000
consumer_jpeg_d	81.2212995180	1900000
consumer_tiff2bw	43.7428673910	1900000
consumer_tiff2rgba	83.6210979580	1900000
consumer_tiffdither	28.9094631190	1900000
consumer_tiffmedian	24.1068434520	1900000
network_dijkstra	8.7669875100	1900000
network_patricia	15.9691160780	1900000
office_ghostscript	25.6429278790	1900000
office_ispell	33.5308980350	1900000
office_rsynth	9.9647573820	1900000
office_stringsearch1	12.0201448650	1900000
security_blowfish_d	15.0555081360	1900000
security_blowfish_e	17.0819293110	1900000
security_pgp_d	149.7813087280	1900000
security_pgp_e	19.2681606180	1900000
security_rijndael_d	296.4432022100	1900000
security_rijndael_e	304.1167164430	1900000
security_sha	35.1339446000	1900000
telecom_adpcm_c	10.3806077590	1900000
telecom_adpcm_d	17.8944212760	1900000
telecom_CRC32	113.7310446510	1900000
telecom_gsm	15.3404117320	1900000
automotive_bitcount	17.8363420350	1900000
automotive_qsort1	17.7162907280	1900000
automotive_susan_c	22.1857293680	1900000
automotive_susan_e	15.9558499000	1900000
automotive_susan_s	11.7646949520	1900000
bzip2d	25.1328655100	1900000
bzip2e	17.4192812860	1900000
consumer_jpeg_c	20.2450239140	1900000
consumer_jpeg_d	81.9381784110	1900000
consumer_tiff2bw	46.3056781240	1900000
consumer_tiff2rgba	128.9541931520	1900000
consumer_tiffdither	30.1299326880	1900000
consumer_tiffmedian	22.2187739180	1900000
network_dijkstra	8.7475900980	1900000
network_patricia	15.9102884630	1900000
office_ghostscript	25.4376495180	1900000
office_ispell	34.6299467590	1900000
office_rsynth	9.9563483180	1900000
office_stringsearch1	12.0669350070	1900000
security_blowfish_d	15.0561015940	1900000
security_blowfish_e	17.0866812580	1900000
security_pgp_d	151.6918737510	1900000
security_pgp_e	19.3065956140	1900000
security_rijndael_d	301.8377239740	1900000
security_rijndael_e	310.9429960820	1900000
security_sha	35.2826799660	1900000
telecom_adpcm_c	10.2757580000	1900000
telecom_adpcm_d	17.8428540200	1900000
telecom_CRC32	113.8151702910	1900000
telecom_gsm	15.2723174720	1900000
automotive_bitcount	18.8965597220	1800000
automotive_qsort1	18.6762506450	1800000
automotive_susan_c	21.6049330370	1800000
automotive_susan_e	16.8729125000	1800000
automotive_susan_s	12.7083121170	1800000
bzip2d	25.6291209110	1800000
bzip2e	17.8571631120	1800000
consumer_jpeg_c	22.0158900510	1800000
