#Benchmark	Runtime	CPU Frequency(MHz)	CPU Voltage(V)	CPU Power(W)	CPU Temperature(C)
sleep	600.0195449090	1400000	1.200000	0.176000	60
sleep	600.0195449090	1400000	1.200000	0.112000	60
sleep	600.0195449090	1400000	1.200000	0.112000	60
sleep	600.0195449090	1400000	1.200000	0.112000	62
sleep	600.0195449090	1400000	1.200000	0.112000	66
sleep	600.0195449090	1400000	1.200000	0.112000	60
sleep	600.0195449090	1400000	1.200000	0.122000	60
sleep	600.0195449090	1400000	1.200000	0.113000	61
sleep	600.0195449090	1400000	1.200000	0.113000	61
sleep	600.0195449090	1400000	1.200000	0.113000	63
sleep	600.0195449090	1400000	1.200000	0.112000	66
sleep	600.0195449090	1400000	1.200000	0.112000	61
sleep	600.0195449090	1400000	1.200000	0.113000	61
sleep	600.0195449090	1400000	1.200000	0.112000	61
sleep	600.0195449090	1400000	1.200000	0.112000	62
sleep	600.0195449090	1400000	1.200000	0.113000	65
sleep	600.0195449090	1400000	1.200000	0.114000	65
sleep	600.0195449090	1400000	1.200000	0.116000	61
sleep	600.0195449090	1400000	1.200000	0.113000	61
sleep	600.0195449090	1400000	1.200000	0.113000	61
sleep	600.0195449090	1400000	1.200000	0.113000	62
sleep	600.0195449090	1400000	1.200000	0.123000	67
sleep	600.0195449090	1400000	1.200000	0.110000	60
sleep	600.0195449090	1400000	1.200000	0.112000	61
sleep	600.0195449090	1400000	1.200000	0.113000	61
sleep	600.0195449090	1400000	1.200000	0.110000	61
sleep	600.0195449090	1400000	1.200000	0.112000	62
sleep	600.0195449090	1400000	1.200000	0.114000	66
sleep	600.0195449090	1400000	1.200000	0.114000	60
sleep	600.0195449090	1400000	1.200000	0.112000	60
sleep	600.0195449090	1400000	1.200000	0.110000	60
sleep	600.0195449090	1400000	1.200000	0.112000	61
sleep	600.0195449090	1400000	1.200000	0.113000	64
sleep	600.0195449090	1400000	1.200000	0.112000	64
sleep	600.0195449090	1400000	1.200000	0.112000	60
sleep	600.0195449090	1400000	1.200000	0.113000	60
sleep	600.0195449090	1400000	1.200000	0.113000	60
sleep	600.0195449090	1400000	1.200000	0.112000	61
sleep	600.0195449090	1400000	1.200000	0.112000	66
sleep	600.0195449090	1400000	1.200000	0.113000	60
sleep	600.0195449090	1400000	1.200000	0.113000	60
sleep	600.0195449090	1400000	1.200000	0.113000	60
sleep	600.0195449090	1400000	1.200000	0.110000	60
sleep	600.0195449090	1400000	1.200000	0.110000	61
sleep	600.0195449090	1400000	1.200000	0.112000	65
sleep	600.0195449090	1400000	1.200000	0.110000	59
sleep	600.0195449090	1400000	1.200000	0.113000	59
sleep	600.0195449090	1400000	1.200000	0.112000	59
sleep	600.0195449090	1400000	1.200000	0.109000	60
sleep	600.0195449090	1400000	1.200000	0.112000	64
sleep	600.0195449090	1400000	1.200000	0.112000	62
sleep	600.0195449090	1400000	1.200000	0.112000	59
sleep	600.0195449090	1400000	1.200000	0.110000	59
sleep	600.0195449090	1400000	1.200000	0.110000	59
sleep	600.0195449090	1400000	1.200000	0.109000	60
sleep	600.0195449090	1400000	1.200000	0.110000	65
sleep	600.0195449090	1400000	1.200000	0.112000	58
sleep	600.0195449090	1400000	1.200000	0.112000	58
sleep	600.0195449090	1400000	1.200000	0.110000	59
sleep	600.0195449090	1400000	1.200000	0.110000	59
sleep	600.0195449090	1400000	1.200000	0.109000	61
sleep	600.0195449090	1400000	1.200000	0.110000	63
sleep	600.0195449090	1400000	1.200000	0.109000	58
sleep	600.0195449090	1400000	1.200000	0.112000	58
sleep	600.0195449090	1400000	1.200000	0.109000	58
sleep	600.0195449090	1400000	1.200000	0.108000	59
sleep	600.0195449090	1400000	1.200000	0.109000	65
sleep	600.0195449090	1400000	1.200000	0.109000	58
sleep	600.0195449090	1400000	1.200000	0.112000	58
sleep	600.0195449090	1400000	1.200000	0.109000	58
sleep	600.0195449090	1400000	1.200000	0.109000	58
sleep	600.0195449090	1400000	1.200000	0.109000	60
sleep	600.0195449090	1400000	1.200000	0.110000	63
sleep	600.0195449090	1400000	1.200000	0.110000	57
sleep	600.0195449090	1400000	1.200000	0.109000	57
sleep	600.0195449090	1400000	1.200000	0.109000	58
sleep	600.0195449090	1400000	1.200000	0.108000	58
sleep	600.0195449090	1400000	1.200000	0.108000	63
sleep	600.0195449090	1400000	1.200000	0.110000	60
sleep	600.0195449090	1400000	1.200000	0.110000	57
sleep	600.0195449090	1400000	1.200000	0.110000	57
sleep	600.0195449090	1400000	1.200000	0.108000	58
sleep	600.0195449090	1400000	1.200000	0.107000	59
sleep	600.0195449090	1400000	1.200000	0.108000	63
sleep	600.0195449090	1400000	1.200000	0.109000	57
sleep	600.0195449090	1400000	1.200000	0.109000	57
sleep	600.0195449090	1400000	1.200000	0.109000	57
sleep	600.0195449090	1400000	1.200000	0.109000	58
sleep	600.0195449090	1400000	1.200000	0.107000	60
sleep	600.0195449090	1400000	1.200000	0.107000	61
sleep	600.0195449090	1400000	1.200000	0.109000	57
sleep	600.0195449090	1400000	1.200000	0.112000	57
sleep	600.0195449090	1400000	1.200000	0.108000	57
sleep	600.0195449090	1400000	1.200000	0.107000	58
sleep	600.0195449090	1400000	1.200000	0.108000	63
sleep	600.0195449090	1400000	1.200000	0.109000	56
sleep	600.0195449090	1400000	1.200000	0.112000	56
sleep	600.0195449090	1400000	1.200000	0.109000	57
sleep	600.0195449090	1400000	1.200000	0.105000	57
sleep	600.0195449090	1400000	1.200000	0.110000	59
sleep	600.0195449090	1400000	1.200000	0.108000	61
sleep	600.0195449090	1400000	1.200000	0.108000	56
sleep	600.0195449090	1400000	1.200000	0.108000	56
sleep	600.0195449090	1400000	1.200000	0.107000	56
sleep	600.0195449090	1400000	1.200000	0.108000	57
sleep	600.0195449090	1400000	1.200000	0.105000	63
sleep	600.0195449090	1400000	1.200000	0.107000	56
sleep	600.0195449090	1400000	1.200000	0.109000	56
sleep	600.0195449090	1400000	1.200000	0.109000	56
sleep	600.0195449090	1400000	1.200000	0.108000	56
sleep	600.0195449090	1400000	1.200000	0.107000	58
sleep	600.0195449090	1400000	1.200000	0.107000	62
sleep	600.0195449090	1400000	1.200000	0.107000	56
sleep	600.0195449090	1400000	1.200000	0.108000	56
sleep	600.0195449090	1400000	1.200000	0.107000	56
sleep	600.0195449090	1400000	1.200000	0.107000	56
sleep	600.0195449090	1400000	1.200000	0.108000	60
sleep	600.0195449090	1400000	1.200000	0.107000	59
sleep	600.0195449090	1400000	1.200000	0.108000	56
sleep	600.0195449090	1400000	1.200000	0.108000	56
sleep	600.0195449090	1400000	1.200000	0.107000	56
sleep	600.0195449090	1400000	1.200000	0.105000	57
sleep	600.0195449090	1400000	1.200000	0.105000	62
sleep	600.0195449090	1400000	1.200000	0.107000	55
