#Benchmark	Runtime	CPU Frequency(MHz)	CPU Voltage(V)	CPU Power(W)	CPU Temperature(C)
stress	.0000035450	1400000	1.200000	0.205216	53.8195
stress	.0000035450	1300000	1.200000	0.176269	53.4882
stress	.0000035450	1200000	1.100000	0.147477	53.1974
stress	.0000035450	1100000	1.100000	0.126464	53.1712
stress	.0000035450	1000000	1.100000	0.107229	52.9444
stress	.0000035450	900000	1.000000	0.0906018	53
stress	.0000035450	800000	1.000000	0.0690434	53.0886
stress	.0000035450	700000	1.000000	0.0571779	52.8133
stress	.0000035450	600000	0.900000	0.0456881	52.7561
stress	.0000035450	500000	0.900000	0.0360248	52.5107
stress	.0000035440	400000	0.900000	0.0304528	52.5475
stress	.0000035430	300000	0.900000	0.023673	52.5951
stress	.0000035390	200000	0.900000	0.0170695	52.7195
