#Benchmark	Runtime	CPU Frequency(MHz)	CPU Voltage(V)	CPU Power(W)	CPU Temperature(C)
stress	600.0369056460	1400000	1.200000	0.226000	57
stress	600.0369056460	1400000	1.200000	0.212000	57
stress	600.0369056460	1400000	1.200000	0.212000	57
stress	600.0369056460	1400000	1.200000	0.209000	58
stress	600.0369056460	1400000	1.200000	0.212000	63
stress	600.0369056460	1400000	1.200000	0.213000	57
stress	600.0369056460	1400000	1.200000	0.212000	57
stress	600.0369056460	1400000	1.200000	0.212000	57
stress	600.0369056460	1400000	1.200000	0.212000	57
stress	600.0369056460	1400000	1.200000	0.212000	59
stress	600.0369056460	1400000	1.200000	0.212000	62
stress	600.0369056460	1400000	1.200000	0.213000	57
stress	600.0369056460	1400000	1.200000	0.212000	57
stress	600.0369056460	1400000	1.200000	0.212000	57
stress	600.0369056460	1400000	1.200000	0.212000	58
stress	600.0369056460	1400000	1.200000	0.212000	61
stress	600.0369056460	1400000	1.200000	0.204000	60
stress	600.0369056460	1400000	1.200000	0.204000	57
stress	600.0369056460	1400000	1.200000	0.204000	57
stress	600.0369056460	1400000	1.200000	0.203000	57
stress	600.0369056460	1400000	1.200000	0.203000	58
stress	600.0369056460	1400000	1.200000	0.207000	63
stress	600.0369056460	1400000	1.200000	0.210000	57
stress	600.0369056460	1400000	1.200000	0.212000	57
stress	600.0369056460	1400000	1.200000	0.212000	57
stress	600.0369056460	1400000	1.200000	0.212000	57
stress	600.0369056460	1400000	1.200000	0.212000	59
stress	600.0369056460	1400000	1.200000	0.203000	61
stress	600.0369056460	1400000	1.200000	0.203000	56
stress	600.0369056460	1400000	1.200000	0.204000	56
stress	600.0369056460	1400000	1.200000	0.203000	57
stress	600.0369056460	1400000	1.200000	0.203000	57
stress	600.0369056460	1400000	1.200000	0.203000	63
stress	600.0369056460	1400000	1.200000	0.203000	56
stress	600.0369056460	1400000	1.200000	0.203000	56
stress	600.0369056460	1400000	1.200000	0.203000	56
stress	600.0369056460	1400000	1.200000	0.203000	57
stress	600.0369056460	1400000	1.200000	0.208000	58
stress	600.0369056460	1400000	1.200000	0.212000	61
stress	600.0369056460	1400000	1.200000	0.212000	56
stress	600.0369056460	1400000	1.200000	0.212000	56
