Frequency	Constant	CPU Voltage(V)	CPU Frequency(MHz)	CPU Temperature(C)	Cycles	L1 DCache Access	L1 ICache Access	Instructions	RAM Access	CPU User(%)	CPU Sys(%)	CPU Idle(%)	CPU I/O Wait(%)	CPU IRQ(%)	CPU Soft IQ(%)
1400000	8.18E-14	3.82E-13	1.15E-07	1.27E-06	-1.75E-07	-2.99E-09	2.92E-10	1.49E-11	1.78E-07	-0.00011833	7.79E-05	-2.53E-09	1.46E-05	2.18E-05	4.05E-06
1300000	7.99E-14	1.06E-12	1.04E-07	3.71E-07	-9.31E-08	-1.09E-09	2.52E-10	1.16E-11	9.44E-08	-9.96E-05	6.66E-05	-2.41E-08	1.16E-05	1.81E-05	3.43E-06
1200000	7.82E-14	-1.62E-11	9.39E-08	4.52E-07	1.80E-08	-1.96E-10	2.01E-10	2.37E-11	-1.76E-08	-0.00010076	6.88E-05	-2.13E-09	1.04E-05	1.80E-05	3.52E-06
1100000	7.94E-14	-2.20E-12	8.74E-08	5.36E-07	4.42E-08	-4.82E-10	2.02E-10	1.62E-11	-4.36E-08	-8.76E-05	6.06E-05	6.31E-10	8.48E-06	1.54E-05	3.02E-06
1000000	8.23E-14	-3.93E-12	8.23E-08	7.21E-08	-4.39E-11	-2.81E-10	1.87E-10	1.27E-11	4.53E-10	-7.14E-05	5.01E-05	8.30E-10	6.66E-06	1.21E-05	2.55E-06
900000	8.62E-14	2.91E-12	7.76E-08	1.73E-07	7.67E-08	-6.09E-10	1.69E-10	1.04E-11	-7.60E-08	-6.02E-05	4.36E-05	1.72E-41	4.48E-06	9.97E-06	2.14E-06
800000	8.28E-14	3.37E-13	6.62E-08	1.00E-07	1.95E-08	-2.66E-10	1.50E-10	1.40E-11	-1.92E-08	-5.16E-05	3.91E-05	2.53E-10	2.84E-06	7.84E-06	1.82E-06
700000	9.23E-14	-1.88E-12	6.46E-08	9.08E-08	-2.12E-09	-3.58E-10	1.26E-10	1.65E-11	2.57E-09	-4.45E-05	3.38E-05	1.58E-10	2.55E-06	6.57E-06	1.59E-06
600000	1.00E-13	6.53E-13	6.03E-08	1.28E-07	2.05E-08	-3.01E-10	1.14E-10	1.70E-11	-2.02E-08	-3.91E-05	3.01E-05	-1.42E-09	2.10E-06	5.42E-06	1.43E-06
500000	1.19E-13	1.85E-13	5.94E-08	1.35E-07	2.69E-09	-6.18E-10	9.41E-11	1.34E-11	-2.01E-09	-3.14E-05	2.46E-05	-1.30E-09	1.60E-06	4.09E-06	1.14E-06
400000	1.57E-13	-4.01E-13	6.28E-08	8.31E-08	2.67E-09	2.79E-10	7.42E-11	1.77E-11	-2.89E-09	-2.41E-05	1.94E-05	-3.22E-10	1.07E-06	2.73E-06	9.18E-07
300000	2.09E-13	1.33E-13	6.27E-08	4.61E-08	9.74E-09	-2.87E-10	8.67E-11	1.76E-11	-9.39E-09	-1.77E-05	1.52E-05	1.56E-10	3.90E-07	1.46E-06	6.61E-07
200000	3.29E-13	2.89E-13	6.57E-08	1.28E-07	1.14E-09	-1.91E-10	9.42E-11	9.73E-12	-8.53E-10	-1.36E-05	1.18E-05	-2.59E-10	2.49E-07	1.04E-06	5.08E-07
