#Benchmark	runtime	CPU Frequency(MHz)
automotive_bitcount	25.7011692860	1400000
automotive_qsort1	37.2326781080	1400000
automotive_susan_c	54.6973949140	1400000
automotive_susan_e	39.7296348260	1400000
automotive_susan_s	33.3418798870	1400000
bzip2d	51.2638888090	1400000
bzip2e	51.0703769620	1400000
consumer_jpeg_c	38.5897272380	1400000
consumer_jpeg_d	107.5799821670	1400000
consumer_tiff2bw	60.7256755970	1400000
consumer_tiff2rgba	115.5497563450	1400000
consumer_tiffdither	44.2077454890	1400000
consumer_tiffmedian	47.7136719700	1400000
network_dijkstra	10.3486291250	1400000
network_patricia	27.7693841990	1400000
office_ghostscript	50.6194667480	1400000
office_ispell	67.5127507840	1400000
office_rsynth	18.3025335880	1400000
office_stringsearch1	15.0172783080	1400000
security_blowfish_d	26.6784641650	1400000
security_blowfish_e	27.1789763470	1400000
security_pgp_d	249.3005944680	1400000
security_pgp_e	44.1773999750	1400000
security_rijndael_d	282.0721462920	1400000
security_rijndael_e	284.7265626890	1400000
security_sha	53.1182563780	1400000
telecom_adpcm_c	18.8780375150	1400000
telecom_adpcm_d	28.8393936130	1400000
telecom_CRC32	110.2695682340	1400000
telecom_gsm	31.2517655670	1400000
automotive_bitcount	25.7945672380	1400000
automotive_qsort1	37.0926134300	1400000
automotive_susan_c	53.4971248410	1400000
automotive_susan_e	39.7699578580	1400000
automotive_susan_s	32.9072000120	1400000
bzip2d	51.2923292850	1400000
bzip2e	50.3451057950	1400000
consumer_jpeg_c	37.5238894800	1400000
consumer_jpeg_d	106.2519186800	1400000
consumer_tiff2bw	58.1598555370	1400000
consumer_tiff2rgba	115.4858256160	1400000
consumer_tiffdither	44.0299786890	1400000
consumer_tiffmedian	47.9162607550	1400000
network_dijkstra	10.2475103980	1400000
network_patricia	27.3644375460	1400000
office_ghostscript	50.3598895950	1400000
office_ispell	68.6108853020	1400000
office_rsynth	18.0373547390	1400000
office_stringsearch1	15.0441599960	1400000
security_blowfish_d	26.9445023870	1400000
security_blowfish_e	26.9336101620	1400000
security_pgp_d	252.2680002300	1400000
security_pgp_e	44.9637141260	1400000
security_rijndael_d	282.1301109500	1400000
security_rijndael_e	287.0963818660	1400000
security_sha	52.7323841820	1400000
telecom_adpcm_c	18.8602620980	1400000
telecom_adpcm_d	28.6074342300	1400000
telecom_CRC32	110.3463431820	1400000
telecom_gsm	31.3054787350	1400000
automotive_bitcount	25.6696731090	1400000
automotive_qsort1	37.2833992840	1400000
automotive_susan_c	53.5070141510	1400000
automotive_susan_e	39.5873299870	1400000
automotive_susan_s	33.1014391480	1400000
bzip2d	50.7040693870	1400000
bzip2e	49.5590798100	1400000
consumer_jpeg_c	37.6240072090	1400000
consumer_jpeg_d	107.4240182760	1400000
consumer_tiff2bw	58.1828840260	1400000
consumer_tiff2rgba	112.5847432030	1400000
consumer_tiffdither	43.9203428580	1400000
consumer_tiffmedian	47.7043455340	1400000
network_dijkstra	10.2688754330	1400000
network_patricia	27.1936962720	1400000
office_ghostscript	50.3380095200	1400000
office_ispell	67.2370425430	1400000
office_rsynth	18.2664946710	1400000
office_stringsearch1	15.0657465300	1400000
security_blowfish_d	26.6852208580	1400000
security_blowfish_e	27.1667442090	1400000
security_pgp_d	251.0827899540	1400000
security_pgp_e	43.8954722480	1400000
security_rijndael_d	283.8793578030	1400000
security_rijndael_e	289.3992601130	1400000
security_sha	52.8308925390	1400000
telecom_adpcm_c	19.1121293930	1400000
telecom_adpcm_d	28.6450859770	1400000
telecom_CRC32	110.2927143060	1400000
telecom_gsm	31.0515199440	1400000
automotive_bitcount	28.0105512270	1300000
automotive_qsort1	39.1690763230	1300000
automotive_susan_c	57.5371900110	1300000
automotive_susan_e	41.9925232490	1300000
automotive_susan_s	35.5176101340	1300000
bzip2d	51.9733359270	1300000
bzip2e	51.3600682120	1300000
consumer_jpeg_c	41.0947732290	1300000
consumer_jpeg_d	110.4690353590	1300000
consumer_tiff2bw	60.5300691300	1300000
consumer_tiff2rgba	119.3163201850	1300000
consumer_tiffdither	49.5256098050	1300000
consumer_tiffmedian	50.5624002130	1300000
network_dijkstra	10.6046927030	1300000
network_patricia	29.3893621820	1300000
office_ghostscript	53.5849753880	1300000
office_ispell	70.1836908520	1300000
office_rsynth	19.4735156040	1300000
office_stringsearch1	16.2158933850	1300000
security_blowfish_d	29.0845735070	1300000
security_blowfish_e	29.0716425790	1300000
security_pgp_d	256.2584906810	1300000
security_pgp_e	47.0779572230	1300000
security_rijndael_d	287.9163754390	1300000
security_rijndael_e	295.9626906900	1300000
security_sha	56.4871723830	1300000
telecom_adpcm_c	20.3326991710	1300000
telecom_adpcm_d	31.1335677970	1300000
telecom_CRC32	111.5824703820	1300000
telecom_gsm	33.5287707490	1300000
automotive_bitcount	27.7471519570	1300000
