#Benchmark	Runtime	CPU Frequency(MHz)	CPU Voltage(V)	CPU Power(W)	CPU Temperature(C)
sleep	.0000035090	2000000	1.300000	0.829864	53.5068
sleep	.0000035090	1900000	1.200000	0.66005	53.5464
sleep	.0000035090	1800000	1.100000	0.559035	53.7792
sleep	.0000035090	1700000	1.100000	0.487674	53.8843
sleep	.0000035090	1600000	1.100000	0.423527	54.0228
sleep	.0000035090	1500000	1.100000	0.375787	54.1379
sleep	.0000035080	1400000	1.000000	0.333673	54.1445
sleep	.0000035070	1300000	1.000000	0.305233	54.3184
sleep	.0000035090	1200000	1.000000	0.267625	54.347
sleep	.0000035070	1100000	1.000000	0.234048	54.4233
sleep	.0000035060	1000000	0.900000	0.20294	54.5503
sleep	.0000035060	900000	0.900000	0.174361	54.4383
sleep	.0000035060	800000	0.900000	0.148871	54.6883
sleep	.0000035030	700000	0.900000	0.129534	54.7292
sleep	.0000035020	600000	0.900000	0.115152	54.8239
sleep	.0000034970	500000	0.900000	0.101152	54.9497
sleep	.0000034910	400000	0.900000	0.0858036	54.8242
sleep	.0000034790	300000	0.900000	0.070758	55.0698
sleep	.0000034620	200000	0.900000	0.0561132	54.7869
