#Benchmark	Runtime	CPU Frequency(MHz)	CPU Voltage(V)	CPU Power(W)	CPU Temperature(C)
sleep	600.0191266430	2000000	1.300000	1.484000	54
sleep	600.0191266430	2000000	1.300000	0.834000	54
sleep	600.0191266430	2000000	1.300000	0.830000	54
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.832000	53
sleep	600.0191266430	2000000	1.300000	0.830000	53
sleep	600.0191266430	2000000	1.300000	0.826000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.828000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.823000	53
sleep	600.0191266430	2000000	1.300000	0.826000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.826000	53
sleep	600.0191266430	2000000	1.300000	0.826000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.822000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.822000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.824000	52
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.823000	53
sleep	600.0191266430	2000000	1.300000	0.823000	53
sleep	600.0191266430	2000000	1.300000	0.822000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.826000	52
sleep	600.0191266430	2000000	1.300000	0.823000	53
sleep	600.0191266430	2000000	1.300000	0.820000	52
sleep	600.0191266430	2000000	1.300000	0.826000	52
sleep	600.0191266430	2000000	1.300000	0.823000	53
sleep	600.0191266430	2000000	1.300000	0.823000	53
sleep	600.0191266430	2000000	1.300000	0.824000	52
sleep	600.0191266430	2000000	1.300000	0.822000	53
sleep	600.0191266430	2000000	1.300000	0.823000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.822000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.826000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.826000	53
sleep	600.0191266430	2000000	1.300000	0.823000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.823000	53
sleep	600.0191266430	2000000	1.300000	0.823000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.830000	53
sleep	600.0191266430	2000000	1.300000	0.828000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.828000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.828000	53
sleep	600.0191266430	2000000	1.300000	0.828000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.823000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.830000	53
sleep	600.0191266430	2000000	1.300000	0.830000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.831000	53
sleep	600.0191266430	2000000	1.300000	0.826000	53
sleep	600.0191266430	2000000	1.300000	0.828000	53
sleep	600.0191266430	2000000	1.300000	0.831000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.827000	54
sleep	600.0191266430	2000000	1.300000	0.831000	53
sleep	600.0191266430	2000000	1.300000	0.830000	53
sleep	600.0191266430	2000000	1.300000	0.826000	54
sleep	600.0191266430	2000000	1.300000	0.827000	54
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.831000	53
sleep	600.0191266430	2000000	1.300000	0.827000	54
sleep	600.0191266430	2000000	1.300000	0.827000	54
sleep	600.0191266430	2000000	1.300000	0.827000	54
sleep	600.0191266430	2000000	1.300000	0.830000	54
sleep	600.0191266430	2000000	1.300000	0.827000	54
sleep	600.0191266430	2000000	1.300000	0.830000	54
sleep	600.0191266430	2000000	1.300000	0.831000	54
sleep	600.0191266430	2000000	1.300000	0.827000	54
sleep	600.0191266430	2000000	1.300000	0.830000	54
sleep	600.0191266430	2000000	1.300000	0.834000	54
sleep	600.0191266430	2000000	1.300000	0.830000	54
sleep	600.0191266430	2000000	1.300000	0.831000	54
sleep	600.0191266430	2000000	1.300000	0.827000	54
sleep	600.0191266430	2000000	1.300000	0.832000	54
sleep	600.0191266430	2000000	1.300000	0.832000	54
sleep	600.0191266430	2000000	1.300000	0.828000	54
sleep	600.0191266430	2000000	1.300000	0.826000	54
sleep	600.0191266430	2000000	1.300000	0.827000	54
sleep	600.0191266430	2000000	1.300000	0.831000	54
sleep	600.0191266430	2000000	1.300000	0.831000	54
sleep	600.0191266430	2000000	1.300000	0.827000	54
sleep	600.0191266430	2000000	1.300000	0.828000	53
sleep	600.0191266430	2000000	1.300000	0.828000	54
sleep	600.0191266430	2000000	1.300000	0.826000	54
sleep	600.0191266430	2000000	1.300000	0.826000	54
sleep	600.0191266430	2000000	1.300000	0.828000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.826000	53
sleep	600.0191266430	2000000	1.300000	0.830000	53
sleep	600.0191266430	2000000	1.300000	0.830000	53
sleep	600.0191266430	2000000	1.300000	0.826000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.830000	53
sleep	600.0191266430	2000000	1.300000	0.827000	53
sleep	600.0191266430	2000000	1.300000	0.823000	53
sleep	600.0191266430	2000000	1.300000	0.826000	53
sleep	600.0191266430	2000000	1.300000	0.828000	53
sleep	600.0191266430	2000000	1.300000	0.823000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.828000	53
sleep	600.0191266430	2000000	1.300000	0.828000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.826000	53
sleep	600.0191266430	2000000	1.300000	0.826000	53
sleep	600.0191266430	2000000	1.300000	0.824000	53
sleep	600.0191266430	2000000	1.300000	0.828000	53
sleep	600.0191266430	2000000	1.300000	0.830000	53
sleep	600.0191266430	2000000	1.300000	0.826000	53
sleep	600.0191266430	2000000	1.300000	0.826000	53
sleep	600.0191266430	2000000	1.300000	0.826000	53
sleep	600.0191266430	2000000	1.300000	0.831000	53
