#Benchmark	Runtime	CPU Frequency(MHz)	CPU Voltage(V)	CPU Power(W)	CPU Temperature(C)
stress	.0000035050	2000000	1.300000	1.80842	53.5054
stress	.0000035080	1900000	1.200000	1.45299	49.6683
stress	.0000035070	1800000	1.100000	1.24637	50.2098
stress	.0000035060	1700000	1.100000	1.09728	50.907
stress	.0000035080	1600000	1.100000	0.958272	51.5634
stress	.0000035070	1500000	1.000000	0.831383	51.9954
stress	.0000035060	1400000	1.000000	0.739311	52.3804
stress	.0000035070	1300000	1.000000	0.67847	52.6269
stress	.0000035060	1200000	1.000000	0.604627	52.9184
stress	.0000035060	1100000	1.000000	0.527645	53.1808
stress	.0000035040	1000000	0.900000	0.457557	53.4508
stress	.0000035050	900000	0.900000	0.393904	53.5707
stress	.0000035030	800000	0.900000	0.334205	53.8039
stress	.0000035030	700000	0.900000	0.287245	54.0539
stress	.0000035010	600000	0.900000	0.251694	54.2593
stress	.0000034960	500000	0.900000	0.215055	54.4435
stress	.0000034940	400000	0.900000	0.178475	54.6117
stress	.0000034800	300000	0.900000	0.141167	54.719
stress	.0000034620	200000	0.900000	0.102931	54.8963
