Frequency	Constant	CPU Voltage(V)	CPU Frequency(MHz)	CPU Temperature(C)	Cycles	L1 DCache Access	L1 ICache Access	Instructions	RAM Access	CPU User(%)	CPU Sys(%)	CPU Idle(%)	CPU I/O Wait(%)	CPU IRQ(%)	CPU Soft IQ(%)
2000000	2.93E-13	3.84E-13	5.86E-07	-2.83E-11	4.38E-10	2.26E-06	-1.57E-10	4.83E-10	-2.26E-06	1.87E-09	-7.53E-10	3.99E-12	-8.18E-10	-2.68E-10	-1.65E-12
1900000	2.70E-13	3.27E-13	5.12E-07	-6.33E-12	3.45E-10	1.51E-06	-4.49E-10	5.26E-10	-1.51E-06	8.39E-10	-2.73E-10	-4.95E-11	-3.99E-10	-9.11E-11	1.17E-12
1800000	2.68E-13	1.97E-12	4.83E-07	-6.22E-11	2.64E-10	2.37E-06	-1.83E-10	4.02E-10	-2.36E-06	2.44E-09	-1.06E-09	2.89E-12	-1.10E-09	-2.57E-10	-1.02E-12
1700000	2.67E-13	2.93E-13	4.54E-07	-3.68E-11	2.34E-10	2.31E-06	-2.41E-10	4.06E-10	-2.31E-06	2.79E-09	-1.34E-09	-6.16E-13	-1.14E-09	-2.87E-10	-4.58E-12
1600000	2.71E-13	3.42E-13	4.34E-07	2.54E-11	1.92E-10	2.15E-06	-4.36E-10	4.37E-10	-2.15E-06	2.84E-09	-1.32E-09	5.55E-12	-1.24E-09	-2.55E-10	-3.74E-12
1500000	2.62E-13	2.41E-13	3.93E-07	3.72E-11	1.88E-10	1.46E-06	-2.72E-10	3.82E-10	-1.46E-06	1.68E-09	-8.15E-10	-5.73E-11	-6.29E-10	-1.56E-10	4.30E-12
1400000	2.72E-13	3.37E-13	3.80E-07	4.15E-11	1.79E-10	1.32E-06	-8.33E-11	2.99E-10	-1.32E-06	1.63E-09	-7.73E-10	-5.10E-13	-6.69E-10	-1.58E-10	-2.90E-13
1300000	3.06E-13	3.26E-13	3.98E-07	3.17E-11	1.19E-10	1.35E-06	-1.52E-10	3.05E-10	-1.35E-06	1.94E-09	-9.77E-10	-1.12E-13	-7.83E-10	-1.53E-10	-5.98E-13
1200000	3.31E-13	3.35E-13	3.98E-07	2.82E-11	8.75E-11	1.12E-06	-1.30E-11	2.30E-10	-1.12E-06	1.78E-09	-9.27E-10	-1.14E-12	-6.94E-10	-1.22E-10	-9.74E-13
1100000	3.58E-13	6.14E-13	3.94E-07	3.02E-11	7.05E-11	1.03E-06	-1.56E-10	2.70E-10	-1.03E-06	1.43E-09	-8.23E-10	1.07E-12	-4.84E-10	-8.56E-11	2.47E-12
1000000	3.78E-13	3.43E-13	3.78E-07	1.53E-11	5.33E-11	6.22E-07	-3.69E-11	2.24E-10	-6.22E-07	7.28E-10	-4.65E-10	-3.23E-12	-1.80E-10	-4.22E-11	1.07E-13
900000	3.77E-13	3.42E-13	3.39E-07	1.82E-11	9.40E-11	2.56E-07	5.27E-11	1.79E-10	-2.56E-07	2.96E-10	-1.91E-10	-5.38E-13	-3.89E-11	-1.92E-11	-4.00E-13
800000	4.54E-13	4.13E-13	3.63E-07	1.16E-11	1.87E-11	5.98E-07	-6.65E-12	1.70E-10	-5.98E-07	9.39E-10	-5.97E-10	2.79E-12	-2.57E-10	-4.16E-11	-8.25E-13
700000	5.14E-13	4.58E-13	3.59E-07	2.12E-11	5.49E-12	3.01E-07	6.81E-11	1.38E-10	-3.01E-07	2.72E-10	-1.64E-10	5.56E-13	-4.36E-11	-1.28E-11	9.41E-14
600000	5.91E-13	5.31E-13	3.54E-07	2.47E-11	2.30E-11	5.58E-08	1.41E-10	1.18E-10	-5.56E-08	2.58E-11	3.51E-12	2.17E-13	3.06E-11	-1.08E-12	1.19E-14
500000	7.74E-13	7.04E-13	3.87E-07	2.84E-11	-2.38E-11	3.90E-07	2.02E-10	9.14E-11	-3.90E-07	8.89E-10	-3.96E-10	3.23E-12	-1.47E-10	-2.59E-11	-2.45E-10
400000	1.09E-12	-1.51E-11	4.35E-07	-3.55E-07	-1.09E-10	2.00E-07	1.89E-10	9.02E-11	-2.00E-07	4.52E-05	-3.81E-05	-7.72E-09	-6.41E-06	-2.91E-07	-4.30E-07
300000	1.52E-12	4.76E-12	4.57E-07	2.65E-09	-1.23E-10	4.95E-08	2.48E-10	7.46E-11	-4.93E-08	2.12E-05	-1.86E-05	-5.29E-09	-2.26E-06	-1.99E-07	-1.84E-07
200000	2.65E-12	2.06E-12	5.31E-07	5.11E-08	-2.30E-10	4.87E-08	3.49E-10	4.52E-11	-4.86E-08	-7.24E-06	6.52E-06	2.32E-08	4.95E-07	1.10E-07	7.79E-08
