Start:	1421445836915888344
Event1 Name:	r0FF
Event2 Name:	r01B
Event3 Name:	r073
Event4 Name:	r075
Event5 Name:	r004
Event6 Name:	r016
Event7 Name:	r017
     0.500197007	750603880	r0FF
     0.500197007	1176261890	r01B
     0.500197007	933689827	r073
     0.500197007	791	r075
     0.500197007	93379672	r004
     0.500197007	1721223	r016
     0.500197007	67461	r017
     1.000901095	751059949	r0FF
     1.000901095	1066918641	r01B
     1.000901095	826206147	r073
     1.000901095	1471	r075
     1.000901095	100670637	r004
     1.000901095	3829612	r016
     1.000901095	111310	r017
     1.501556017	750985492	r0FF
     1.501556017	1201080521	r01B
     1.501556017	986845662	r073
     1.501556017	638	r075
     1.501556017	68733641	r004
     1.501556017	1471405	r016
     1.501556017	54936	r017
     2.002162356	750908812	r0FF
     2.002162356	1152354914	r01B
     2.002162356	919109935	r073
     2.002162356	1007	r075
     2.002162356	102113986	r004
     2.002162356	2515546	r016
     2.002162356	64610	r017
     2.502776986	750922470	r0FF
     2.502776986	1115032115	r01B
     2.502776986	862528562	r073
     2.502776986	1168	r075
     2.502776986	106588703	r004
     2.502776986	3082874	r016
     2.502776986	89656	r017
     3.003382533	750914720	r0FF
     3.003382533	1208047389	r01B
     3.003382533	975497436	r073
     3.003382533	475	r075
     3.003382533	83701798	r004
     3.003382533	1016461	r016
     3.003382533	33404	r017
     3.503988039	750906856	r0FF
     3.503988039	1088017981	r01B
     3.503988039	883279130	r073
     3.503988039	1415	r075
     3.503988039	82747989	r004
     3.503988039	3871351	r016
     3.503988039	107563	r017
     4.004603294	750928732	r0FF
     4.004603294	1217390870	r01B
     4.004603294	981866892	r073
     4.004603294	432	r075
     4.004603294	85138426	r004
     4.004603294	903639	r016
     4.004603294	32726	r017
     4.505284632	750986408	r0FF
     4.505284632	1095806370	r01B
     4.505284632	843403169	r073
     4.505284632	1221	r075
     4.505284632	108387564	r004
     4.505284632	3250033	r016
     4.505284632	91720	r017
     5.005891470	750913190	r0FF
     5.005891470	1169236960	r01B
     5.005891470	962692588	r073
     5.005891470	976	r075
     5.005891470	65057800	r004
     5.005891470	2394412	r016
     5.005891470	72101	r017
     5.506567349	751017663	r0FF
     5.506567349	1213468384	r01B
     5.506567349	982868340	r073
     5.506567349	684	r075
     5.506567349	94570470	r004
     5.506567349	1766165	r016
     5.506567349	48781	r017
     6.007170437	750903382	r0FF
     6.007170437	1060416357	r01B
     6.007170437	805284577	r073
     6.007170437	1366	r075
     6.007170437	113123051	r004
     6.007170437	3709728	r016
     6.007170437	101412	r017
     6.507770109	750909956	r0FF
     6.507770109	1271874503	r01B
     6.507770109	1036506891	r073
     6.507770109	284	r075
     6.507770109	80799629	r004
     6.507770109	433973	r016
     6.507770109	15131	r017
     7.008354821	750868476	r0FF
     7.008354821	1081075690	r01B
     7.008354821	878071490	r073
     7.008354821	1415	r075
     7.008354821	80570765	r004
     7.008354821	3897049	r016
     7.008354821	112996	r017
     7.508963201	750920352	r0FF
     7.508963201	1224998530	r01B
     7.508963201	984288400	r073
     7.508963201	604	r075
     7.508963201	90432436	r004
     7.508963201	1418155	r016
     7.508963201	49145	r017
     8.009572163	750910076	r0FF
     8.009572163	1130497310	r01B
     8.009572163	880653319	r073
     8.009572163	1053	r075
     8.009572163	103622532	r004
     8.009572163	2737350	r016
     8.009572163	71197	r017
     8.510176626	750907236	r0FF
     8.510176626	1129785080	r01B
     8.510176626	909774548	r073
     8.510176626	1083	r075
     8.510176626	75328301	r004
     8.510176626	2788436	r016
     8.510176626	82484	r017
     9.010785713	750921197	r0FF
     9.010785713	1221162706	r01B
     9.010785713	994351793	r073
     9.010785713	564	r075
     9.010785713	83917448	r004
     9.010785713	1375563	r016
     9.010785713	38446	r017
     9.511559175	751157210	r0FF
     9.511559175	1074839626	r01B
     9.511559175	829243945	r073
     9.511559175	1455	r075
     9.511559175	115121550	r004
     9.511559175	3874841	r016
     9.511559175	113337	r017
    10.012234512	751019935	r0FF
    10.012234512	1262877862	r01B
    10.012234512	1026981296	r073
    10.012234512	317	r075
    10.012234512	81727462	r004
    10.012234512	537832	r016
    10.012234512	21562	r017
    10.512863724	750940543	r0FF
    10.512863724	1080713574	r01B
    10.512863724	866658002	r073
    10.512863724	1344	r075
    10.512863724	77528722	r004
    10.512863724	3625206	r016
    10.512863724	98229	r017
    11.013490519	750941484	r0FF
    11.013490519	1184968444	r01B
    11.013490519	955740644	r073
    11.013490519	778	r075
    11.013490519	96037853	r004
    11.013490519	1906981	r016
    11.013490519	62416	r017
    11.514139898	750976502	r0FF
    11.514139898	1153398560	r01B
    11.514139898	907623823	r073
    11.514139898	875	r075
    11.514139898	98657560	r004
    11.514139898	2219223	r016
    11.514139898	59076	r017
    12.014767193	750940002	r0FF
    12.014767193	1090307849	r01B
    12.014767193	862931574	r073
    12.014767193	1238	r075
    12.014767193	84347632	r004
    12.014767193	3292322	r016
    12.014767193	94359	r017
    12.515396029	750950968	r0FF
    12.515396029	1236923871	r01B
    12.515396029	1012729551	r073
    12.515396029	394	r075
    12.515396029	76521566	r004
    12.515396029	863271	r016
    12.515396029	26403	r017
    13.016014407	750924028	r0FF
    13.016014407	1087200483	r01B
    13.016014407	846655354	r073
    13.016014407	1441	r075
    13.016014407	114232868	r004
    13.016014407	3885302	r016
    13.016014407	104979	r017
    13.516699535	751033351	r0FF
    13.516699535	1253998984	r01B
    13.516699535	1015188981	r073
    13.516699535	375	r075
    13.516699535	84371666	r004
    13.516699535	794806	r016
    13.516699535	29785	r017
    14.017330955	750942028	r0FF
    14.017330955	1103274054	r01B
    14.017330955	873211540	r073
    14.017330955	1276	r075
    14.017330955	86355797	r004
    14.017330955	3201225	r016
    14.017330955	82222	r017
    14.518025541	751033938	r0FF
    14.518025541	1182753311	r01B
    14.518025541	964326281	r073
    14.518025541	945	r075
    14.518025541	88102064	r004
    14.518025541	2379040	r016
    14.518025541	72605	r017
    15.018653627	750944626	r0FF
    15.018653627	1200413848	r01B
    15.018653627	957395554	r073
    15.018653627	715	r075
    15.018653627	94335880	r004
    15.018653627	1759570	r016
    15.018653627	53589	r017
    15.519292838	750958940	r0FF
    15.519292838	1072209033	r01B
    15.519292838	820108909	r073
    15.519292838	1355	r075
    15.519292838	109801461	r004
    15.519292838	3647692	r016
    15.519292838	102172	r017
    16.019918424	750949993	r0FF
    16.019918424	1283170662	r01B
    16.019918424	1042325750	r073
    16.019918424	306	r075
    16.019918424	84332555	r004
    16.019918424	506858	r016
    16.019918424	14743	r017
    16.520535593	750915499	r0FF
    16.520535593	1085738566	r01B
    16.520535593	882616399	r073
    16.520535593	1440	r075
    16.520535593	81609157	r004
    16.520535593	3896909	r016
    16.520535593	114461	r017
    17.021180929	750972249	r0FF
    17.021180929	1213343961	r01B
    17.021180929	973956713	r073
    17.021180929	566	r075
    17.021180929	88545823	r004
    17.021180929	1212482	r016
    17.021180929	44705	r017
    17.521878389	751046578	r0FF
    17.521878389	1116743424	r01B
    17.521878389	865225330	r073
    17.521878389	1105	r075
    17.521878389	105877533	r004
    17.521878389	2935139	r016
    17.521878389	79408	r017
    18.022876891	751497707	r0FF
    18.022876891	1145072435	r01B
    18.022876891	940259366	r073
    18.022876891	1050	r075
    18.022876891	68465570	r004
    18.022876891	2678569	r016
    18.022876891	78082	r017
    18.523511893	750959715	r0FF
    18.523511893	1227730453	r01B
    18.523511893	996173490	r073
    18.523511893	604	r075
    18.523511893	91603846	r004
    18.523511893	1458978	r016
    18.523511893	41590	r017
    19.024132686	750924178	r0FF
    19.024132686	1036310354	r01B
    19.024132686	780777854	r073
    19.024132686	1419	r075
    19.024132686	115407005	r004
    19.024132686	3892651	r016
    19.024132686	112471	r017
    19.524861813	751101575	r0FF
    19.524861813	1286085960	r01B
    19.524861813	1049744718	r073
    19.524861813	248	r075
    19.524861813	80226907	r004
    19.524861813	372240	r016
    19.524861813	15105	r017
    20.025465357	750897751	r0FF
    20.025465357	1089681489	r01B
    20.025465357	886713045	r073
    20.025465357	1381	r075
    20.025465357	80098113	r004
    20.025465357	3818422	r016
    20.025465357	112342	r017
    20.526074650	750918960	r0FF
    20.526074650	1205702358	r01B
    20.526074650	965288537	r073
    20.526074650	643	r075
    20.526074650	91273850	r004
    20.526074650	1479885	r016
    20.526074650	52522	r017
    21.026782818	751061356	r0FF
    21.026782818	1136061768	r01B
    21.026782818	885720113	r073
    21.026782818	1014	r075
    21.026782818	103523690	r004
    21.026782818	2681664	r016
    21.026782818	68817	r017
    21.527379819	750897771	r0FF
    21.527379819	1106000840	r01B
    21.527379819	898063004	r073
    21.527379819	1117	r075
    21.527379819	70576400	r004
