Start:	1420065283186010545
Event1 Name:	r011
Event2 Name:	r004
Event3 Name:	r014
Event4 Name:	r008
Event5 Name:	r013
     0.500620182	17141698	r011
     0.500620182	17109093	r004
     0.500620182	51133163	r014
     0.500620182	97230581	r008
     0.500620182	17142547	r013
     1.003601151	31424922	r011
     1.003601151	31395153	r004
     1.003601151	80095780	r014
     1.003601151	139629025	r008
     1.003601151	31424790	r013
     1.508586490	15211857	r011
     1.508586490	15186889	r004
     1.508586490	71004074	r014
     1.508586490	183687265	r008
     1.508586490	15211857	r013
     2.010826835	4617577	r011
     2.010826835	4595607	r004
     2.010826835	70916302	r014
     2.010826835	211410317	r008
     2.010826835	4617577	r013
     2.512789931	14807914	r011
     2.512789931	14783989	r004
     2.512789931	82915504	r014
     2.512789931	157413212	r008
     2.512789931	14807914	r013
     3.015545442	30252038	r011
     3.015545442	30228949	r004
     3.015545442	73456897	r014
     3.015545442	161555323	r008
     3.015545442	30252038	r013
     3.517689329	4346008	r011
     3.517689329	4324713	r004
     3.517689329	72182316	r014
     3.517689329	215609125	r008
     3.517689329	4346008	r013
     4.019991466	5743834	r011
     4.019991466	5719883	r004
     4.019991466	77642221	r014
     4.019991466	174523379	r008
     4.019991466	5743834	r013
     4.522172395	39137547	r011
     4.522172395	39112660	r004
     4.522172395	77228460	r014
     4.522172395	141009176	r008
     4.522172395	39137547	r013
     5.024614615	5108311	r011
     5.024614615	5086819	r004
     5.024614615	72486798	r014
     5.024614615	214037109	r008
     5.024614615	5108311	r013
     5.526591502	5733277	r011
     5.526591502	5709412	r004
     5.526591502	70053180	r014
     5.526591502	191546152	r008
     5.526591502	5733277	r013
     6.029120555	25114934	r011
     6.029120555	25084784	r004
     6.029120555	78041943	r014
     6.029120555	140350444	r008
     6.029120555	25114934	r013
     6.531175109	19873613	r011
     6.531175109	19852481	r004
     6.531175109	79191116	r014
     6.531175109	191779306	r008
     6.531175109	19873613	r013
     7.033299622	6041049	r011
     7.033299622	6016615	r004
     7.033299622	67666780	r014
     7.033299622	198704545	r008
     7.033299622	6041049	r013
     7.535594258	10232782	r011
     7.535594258	10214344	r004
     7.535594258	78714719	r014
     7.535594258	161023349	r008
