#Timestamp	CPU_ID	user%	nice%	sys%	idle%	iowait%	irq%	softiq%	steal%	guest%	guest_nice%
1420045085677303893	CPU_0	83.33	0	15.55	0	0	0	1.11	0	0	
1420045087078343255	CPU_0	93.61	0	4.25	0	0	1.41	.70	0	0	
1420045088521008480	CPU_0	92.25	0	4.92	0	0	2.11	.70	0	0	
1420045089917790310	CPU_0	92.95	0	4.22	0	0	2.11	.70	0	0	
1420045091372365383	CPU_0	92.30	0	4.89	0	0	2.09	.69	0	0	
1420045092776036572	CPU_0	94.40	0	2.79	0	0	2.09	.69	0	0	
1420045094241217496	CPU_0	93.10	0	3.44	0	0	2.75	.68	0	0	
1420045095647659304	CPU_0	93.00	0	4.19	0	0	2.09	.69	0	0	
1420045097125636656	CPU_0	93.87	0	3.40	0	0	2.04	.68	0	0	
1420045098535279790	CPU_0	93.61	0	3.54	0	0	2.12	.70	0	0	
1420045100013851516	CPU_0	87.75	0	3.40	0	0	7.48	1.36	0	0	
1420045101427696515	CPU_0	92.25	0	3.52	0	0	3.52	.70	0	0	
1420045102904872661	CPU_0	93.24	0	3.37	0	0	2.70	.67	0	0	
1420045104325642811	CPU_0	88.73	0	5.63	0	0	4.92	.70	0	0	
1420045105811476187	CPU_0	88.59	0	4.69	0	0	6.04	.67	0	0	
1420045107226357975	CPU_0	93.66	0	3.52	0	0	2.11	.70	0	0	
1420045108691269024	CPU_0	93.15	0	4.10	0	0	2.05	.68	0	0	
1420045110110055679	CPU_0	92.25	0	4.22	0	0	2.81	.70	0	0	
1420045111563132130	CPU_0	93.75	0	3.47	0	0	2.08	.69	0	0	
1420045112982440117	CPU_0	93.66	0	3.52	0	0	2.11	.70	0	0	
1420045114446932583	CPU_0	92.56	0	4.05	0	0	2.70	.67	0	0	
1420045115870109978	CPU_0	93.66	0	2.81	0	0	2.81	.70	0	0	
1420045117328704458	CPU_0	93.10	0	4.13	0	0	2.06	.68	0	0	
1420045118755308345	CPU_0	91.60	0	5.59	0	0	2.09	.69	0	0	
1420045120221082266	CPU_0	87.75	0	6.80	0	0	4.76	.68	0	0	
1420045121643603954	CPU_0	93.66	0	3.52	0	0	2.11	.70	0	0	
1420045123106701882	CPU_0	93.15	0	4.10	0	0	2.05	.68	0	0	
1420045124534647599	CPU_0	94.40	0	2.79	0	0	2.09	.69	0	0	
1420045125997672111	CPU_0	90.47	0	4.76	0	0	3.40	1.36	0	0	
1420045127479459537	CPU_0	93.87	0	3.40	0	0	2.04	.68	0	0	
1420045128901479101	CPU_0	94.40	0	2.79	0	0	2.09	.69	0	0	
1420045130369006894	CPU_0	94.55	0	2.72	0	0	2.04	.68	0	0	
1420045131797328402	CPU_0	83.21	0	11.18	0	0	4.89	.69	0	0	
1420045133265182277	CPU_0	91.78	0	4.79	0	0	2.73	.68	0	0	
1420045134696746194	CPU_0	88.19	0	6.94	0	0	3.47	1.38	0	0	
1420045136166956106	CPU_0	89.11	0	6.80	0	0	3.40	.68	0	0	
1420045137600313061	CPU_0	90.14	0	6.33	0	0	2.81	.70	0	0	
1420045139071076763	CPU_0	88.51	0	6.75	0	0	3.37	1.35	0	0	
1420045140506200546	CPU_0	88.81	0	7.69	0	0	2.79	.69	0	0	
1420045141986162602	CPU_0	87.24	0	7.38	0	0	4.02	1.34	0	0	
1420045143467505322	CPU_0	90.34	0	6.20	0	0	2.75	.68	0	0	
1420045144906724513	CPU_0	85.71	0	8.16	0	0	5.44	.68	0	0	
1420045146379353252	CPU_0	89.79	0	6.12	0	0	2.72	1.36	0	0	
1420045147819313608	CPU_0	89.51	0	5.59	0	0	4.19	.69	0	0	
1420045149296217296	CPU_0	89.18	0	6.75	0	0	2.70	1.35	0	0	
1420045150736224527	CPU_0	90.34	0	5.51	0	0	3.44	.68	0	0	
1420045152218290370	CPU_0	90.54	0	4.72	0	0	4.05	.67	0	0	
1420045153656319689	CPU_0	90.27	0	5.55	0	0	2.77	1.38	0	0	
1420045155138204740	CPU_0	88.43	0	6.80	0	0	4.08	.68	0	0	
1420045156646347439	CPU_0	88.66	0	7.33	0	0	2.66	1.33	0	0	
1420045158094515235	CPU_0	89.79	0	5.44	0	0	4.08	.68	0	0	
1420045159568638179	CPU_0	93.15	0	3.42	0	0	2.73	.68	0	0	
1420045161014299189	CPU_0	89.72	0	6.16	0	0	2.73	1.36	0	0	
1420045162494107870	CPU_0	75.51	0	15.64	0	0	8.16	.68	0	0	
1420045163943328080	CPU_0	84.13	0	8.96	0	0	5.51	1.37	0	0	
1420045165428717082	CPU_0	85.23	0	9.39	0	0	4.69	.67	0	0	
1420045166922368273	CPU_0	88.43	0	7.48	0	0	2.72	1.36	0	0	
1420045168367571617	CPU_0	87.75	0	7.48	0	0	4.08	.68	0	0	
1420045169846805591	CPU_0	89.79	0	6.12	0	0	2.72	1.36	0	0	
1420045171296240842	CPU_0	88.96	0	6.89	0	0	3.44	.68	0	0	
1420045172778693975	CPU_0	90.60	0	4.02	0	0	4.02	1.34	0	0	
1420045174227577977	CPU_0	89.65	0	6.89	0	0	2.75	.68	0	0	
1420045175710627026	CPU_0	90.54	0	5.40	0	0	3.37	.67	0	0	
1420045177218749726	CPU_0	88.74	0	7.28	0	0	2.64	1.32	0	0	
1420045178671136011	CPU_0	89.65	0	5.51	0	0	4.13	.68	0	0	
1420045180154652726	CPU_0	87.24	0	7.38	0	0	4.02	1.34	0	0	
1420045181603705978	CPU_0	90.90	0	5.59	0	0	2.79	.69	0	0	
1420045183088162565	CPU_0	87.91	0	7.38	0	0	4.02	.67	0	0	
1420045184557037146	CPU_0	88.35	0	6.84	0	0	3.42	1.36	0	0	
1420045186024027107	CPU_0	89.18	0	6.75	0	0	3.37	.67	0	0	
1420045187509255442	CPU_0	87.24	0	8.72	0	0	2.68	1.34	0	0	
1420045188958379069	CPU_0	87.50	0	8.33	0	0	3.47	.69	0	0	
1420045190451843302	CPU_0	86.66	0	7.33	0	0	4.66	1.33	0	0	
1420045191897407020	CPU_0	88.19	0	8.33	0	0	2.77	.69	0	0	
1420045193387054345	CPU_0	88.59	0	7.38	0	0	3.35	.67	0	0	
1420045194918481575	CPU_0	58.16	0	34.64	0	0	5.88	1.30	0	0	
1420045196370593944	CPU_0	62.32	0	32.19	0	0	4.10	1.36	0	0	
1420045197854437491	CPU_0	56.08	0	38.51	0	0	4.05	1.35	0	0	
1420045199306712527	CPU_0	61.80	0	32.63	0	0	4.16	1.38	0	0	
1420045200786965333	CPU_0	58.38	0	35.57	0	0	4.69	1.34	0	0	
1420045202258103950	CPU_0	60.27	0	34.24	0	0	4.10	1.36	0	0	
1420045203724065372	CPU_0	62.58	0	31.97	0	0	4.08	1.36	0	0	
1420045205239206763	CPU_0	61.18	0	32.89	0	0	4.60	1.31	0	0	
1420045206687350517	CPU_0	60.00	0	34.48	0	0	4.13	1.37	0	0	
1420045208177594091	CPU_0	62.83	0	32.43	0	0	4.05	.67	0	0	
1420045209628967254	CPU_0	60.27	0	33.56	0	.68	4.10	1.36	0	0	
1420045211125237523	CPU_0	62.00	0	32.00	0	0	4.66	1.33	0	0	
1420045212587174828	CPU_0	61.37	0	33.10	0	0	4.13	1.37	0	0	
1420045214068159048	CPU_0	62.83	0	31.75	0	0	4.05	1.35	0	0	
1420045215583458440	CPU_0	59.73	0	30.20	0	1.34	7.38	1.34	0	0	
1420045217023987461	CPU_0	60.83	0	34.26	0	0	3.49	1.39	0	0	
1420045218495102037	CPU_0	58.10	0	36.48	0	0	4.05	1.35	0	0	
1420045219938857093	CPU_0	59.31	0	33.10	0	.68	6.20	.68	0	0	
1420045221413557286	CPU_0	59.45	0	35.13	0	0	4.05	1.35	0	0	
1420045222858279798	CPU_0	61.80	0	32.63	0	0	4.16	1.38	0	0	
1420045224336593816	CPU_0	61.22	0	32.65	0	0	4.76	1.36	0	0	
1420045225848333882	CPU_0	48.00	0	40.00	0	0	10.66	1.33	0	0	
