Start:	1419871740879427453
Event1 Name:	r011
Event2 Name:	r004
Event3 Name:	r014
Event4 Name:	r008
Event5 Name:	r013
     0.500203767	850603067	r011
     0.500203767	94129155	r004
     0.500203767	285032596	r014
     0.500203767	1188877159	r008
     0.500203767	94112197	r013
     1.000800949	851020128	r011
     1.000800949	114778395	r004
     1.000800949	273555014	r014
     1.000800949	1043916251	r008
     1.000800949	114783514	r013
     1.501263507	850803225	r011
     1.501263507	80172395	r004
     1.501263507	298346393	r014
     1.501263507	1334819372	r008
     1.501263507	80175203	r013
     2.001717523	850757503	r011
     2.001717523	113640151	r004
     2.001717523	273931262	r014
     2.001717523	1069666804	r008
     2.001717523	113644006	r013
     2.502200247	850830429	r011
     2.502200247	82463380	r004
     2.502200247	296607092	r014
     2.502200247	1310055696	r008
     2.502200247	82466153	r013
     3.002673597	850797776	r011
     3.002673597	112548191	r004
     3.002673597	284014517	r014
     3.002673597	1079031645	r008
     3.002673597	112552016	r013
     3.503157363	850831430	r011
     3.503157363	88801895	r004
     3.503157363	294642736	r014
     3.503157363	1273991254	r008
     3.503157363	88804932	r013
     4.003674670	850805805	r011
     4.003674670	106830681	r004
     4.003674670	282628535	r014
     4.003674670	1112185160	r008
     4.003674670	106834260	r013
     4.504158145	850897704	r011
     4.504158145	93581790	r004
     4.504158145	289126999	r014
     4.504158145	1235808619	r008
     4.504158145	93584960	r013
     5.004637786	850814948	r011
     5.004637786	101685127	r004
     5.004637786	286270016	r014
     5.004637786	1159045927	r008
     5.004637786	101688578	r013
     5.505120760	850825269	r011
     5.505120760	97968001	r004
     5.505120760	285118063	r014
     5.505120760	1197734379	r008
     5.505120760	97971272	r013
     6.005741567	850931314	r011
     6.005741567	97659470	r004
     6.005741567	286277614	r014
     6.005741567	1191162756	r008
     6.005741567	97662732	r013
     6.506203709	850785120	r011
     6.506203709	103761866	r004
     6.506203709	283028611	r014
     6.506203709	1140622441	r008
     6.506203709	103765362	r013
     7.006677725	850811645	r011
     7.006677725	91962017	r004
     7.006677725	295545173	r014
     7.006677725	1246193078	r008
     7.006677725	91965020	r013
     7.507143157	850786808	r011
     7.507143157	108952914	r004
     7.507143157	275088446	r014
     7.507143157	1089070772	r008
     7.507143157	108956626	r013
     8.007612132	850811234	r011
     8.007612132	87063846	r004
     8.007612132	301679943	r014
     8.007612132	1285082037	r008
     8.007612132	87066678	r013
     8.508079314	850783545	r011
     8.508079314	112311057	r004
     8.508079314	277448788	r014
     8.508079314	1073273481	r008
