#Timestamp	r011	r004	r014	r008	r013
1419913975268194438	100317295	17985217	30563854	57002337	17968451
1419913975771606864	100684599	11945397	36539505	97634235	11948739
1419913976274160417	100510541	35869712	33729639	105921205	35873253
1419913976777018720	100571882	21578653	32190914	99689735	21581955
1419913977279944105	100585618	7242570	31109127	129348870	7245532
1419913977782452116	100502438	6880135	30247818	132457397	6883197
1419913978285348127	100575158	12662575	29496372	95360737	12666012
1419913978787993638	100532645	11813516	34650393	76707404	11816990
1419913979290904898	100582785	28910810	36263163	120150794	28914083
1419913979793377368	100494240	20532404	35271701	146834346	20535654
1419913980296296795	100583462	11882657	29855906	102703166	11886119
1419913980798834973	100509175	12092858	29203133	100734450	12096230
1419913981301932192	100612430	11262740	29164026	105508546	11266234
1419913981804465745	100508454	4664730	39349186	121542694	4667590
1419913982307236255	100553635	37316388	34804569	116968759	37319820
1419913982810015724	100555608	19346145	31688957	102052341	19349532
1419913983312512986	100498834	12322132	29798091	99224882	12325287
1419913983815271122	100553305	3762937	31072893	151560359	3765612
1419913984317730383	100491595	11308269	30050772	100733855	11311633
1419913984820672643	100588095	11582754	34755335	77644251	11586079
1419913985323748904	100615923	28837055	35439696	113036256	28840319
1419913985827278371	100706962	21867654	35900277	147909265	21870610
1419913986330875171	100704321	9907945	30384662	114827251	9911096
1419913986833941098	100612350	12650171	29133740	98456082	12653780
1419913987337298024	100672941	11774082	29098401	103043422	11777448
1419913987840712492	100683010	5598520	37814130	105284806	5601535
1419913988343808919	100619583	39112826	37167294	139926105	39115951
1419913988846823054	100602854	15577762	31436541	101480536	15581201
1419913989353849388	101404992	11964000	30155302	103349061	11967660
1419913989856807690	100592757	6903655	30369476	132142029	6906752
1419913990359421576	100523391	7197719	32217132	116506794	7200815
1419913990862570669	100628736	12469794	34194507	78801042	12473449
1419913991365824971	100651317	34977210	35032823	114710373	34980549
1419913991868438940	100523924	18966159	33708702	129348148	18969035
1419913992371380659	100588078	7208104	31052401	130588124	7211128
1419913992873993128	100521864	11925800	29076330	102283623	11929251
1419913993377049722	100610066	11674309	29663816	100752076	11677783
1419913993880298065	100652782	8181340	36990106	92821990	8184382
1419913994382948826	100530461	40668917	38120623	151465691	40671758
1419913994885947378	100599179	12866637	30924952	97569442	12869948
1419913995388579764	100525974	11969638	29850564	101708343	11973193
1419913995891589566	100601595	11224983	29497451	105914832	11228239
1419913996394415576	100564963	3193157	33681404	139326735	3196003
1419913996897413295	100600479	13219979	34921674	86749649	13223459
1419913997400474555	100612632	36036425	34339571	109046251	36039683
1419913997903159483	100536678	21305024	32046675	105287454	21308415
1419913998406227368	100615280	4516130	31822610	146502558	4519076
1419913998908841962	100520797	10545216	29472817	110996686	10548464
1419913999411918639	100616344	12114325	29825003	97219437	12117722
1419913999914883399	100536019	11147444	35076320	79827659	11160980
1419914000417517452	100585108	36854618	38440940	151216190	36847139
1419914000920507337	100598007	11975560	32567157	120448457	11978456
1419914001423654597	100620924	12254565	29748397	100688893	12257726
1419914001926707982	100611515	12782995	29289202	98284191	12786172
1419914002429327243	100525195	5644140	32243022	129109814	5646817
1419914002932260837	100586233	12530553	38069735	109348384	12533466
1419914003435081056	100563809	37784396	33853300	111966843	37787662
1419914003937750276	100533626	16305146	31275060	98620263	16308408
1419914004440992202	100649556	8632966	30726056	121319626	8635814
1419914004943590296	100519722	5073248	30479029	143345338	5075887
1419914005446571473	100595581	11678147	32000587	91028844	11681155
1419914005949408442	100568171	11926536	34747967	83696380	11929611
1419914006452502869	100617977	38368691	35775228	124813776	38371806
1419914006955397171	100580334	10834905	33997233	145109030	10837608
1419914007457983016	100515840	11897038	29738179	102239454	11900254
1419914007961205859	100644855	12437908	29175046	100319325	12441117
1419914008463948828	100548910	10077717	30761191	105439057	10080843
1419914008966904130	100592855	13355245	40828605	129394277	13357855
1419914009469872182	100527999	37244020	33565944	110287303	37258042
1419914009972516901	100593219	12704772	30878913	96982995	12696994
1419914010475497245	100594023	12237599	29865296	100530175	12240700
1419914010978227756	100550422	2991184	30945006	156098037	2993800
1419914011481368307	100625528	9373083	33885284	96802624	9376179
1419914011984021152	100530019	16279000	34436425	88800795	16282169
