Start:	1428611512271135232
Event1 Name:	r0FF
Event2 Name:	r01B
Event3 Name:	r073
Event4 Name:	r075
Event5 Name:	r004
Event6 Name:	r016
Event7 Name:	r017
     0.500290069	46997894	r0FF
     0.500290069	722610	r01B
     0.500290069	62621	r073
     0.500290069	0	r075
     0.500290069	7101547	r004
     0.500290069	722790	r016
     0.500290069	62644	r017
     1.001002679	17949177	r0FF
     1.001002679	219347	r01B
     1.001002679	6270	r073
     1.001002679	0	r075
     1.001002679	1621511	r004
     1.001002679	219453	r016
     1.001002679	6262	r017
     1.501597747	17983648	r0FF
     1.501597747	223929	r01B
     1.501597747	4096	r073
     1.501597747	0	r075
     1.501597747	1668529	r004
     1.501597747	223816	r016
     1.501597747	4093	r017
     2.002198774	23663293	r0FF
     2.002198774	380290	r01B
     2.002198774	3906	r073
     2.002198774	0	r075
     2.002198774	2569170	r004
     2.002198774	380447	r016
     2.002198774	3905	r017
     2.502786509	16499612	r0FF
     2.502786509	198431	r01B
     2.502786509	2122	r073
     2.502786509	0	r075
     2.502786509	1473961	r004
     2.502786509	198289	r016
     2.502786509	2123	r017
     3.003397285	9165752	r0FF
     3.003397285	155037	r01B
     3.003397285	1171	r073
     3.003397285	0	r075
     3.003397285	1286428	r004
     3.003397285	155160	r016
     3.003397285	1170	r017
     3.504014437	15849092	r0FF
     3.504014437	206986	r01B
     3.504014437	2237	r073
     3.504014437	0	r075
     3.504014437	1509752	r004
     3.504014437	206872	r016
     3.504014437	2239	r017
     4.004616380	19094471	r0FF
     4.004616380	306972	r01B
     4.004616380	2398	r073
     4.004616380	0	r075
     4.004616380	1841120	r004
     4.004616380	307074	r016
     4.004616380	2396	r017
     4.505212782	17455091	r0FF
     4.505212782	219379	r01B
     4.505212782	2288	r073
     4.505212782	0	r075
     4.505212782	1629580	r004
     4.505212782	219409	r016
     4.505212782	2290	r017
     5.005814850	20808506	r0FF
     5.005814850	333306	r01B
     5.005814850	10643	r073
     5.005814850	0	r075
     5.005814850	2062897	r004
     5.005814850	333286	r016
     5.005814850	10650	r017
     5.506420336	10341506	r0FF
     5.506420336	140405	r01B
     5.506420336	2913	r073
     5.506420336	0	r075
     5.506420336	1060131	r004
     5.506420336	140384	r016
     5.506420336	2905	r017
     6.007043779	14401512	r0FF
     6.007043779	244724	r01B
     6.007043779	3020	r073
     6.007043779	0	r075
     6.007043779	1664969	r004
     6.007043779	244732	r016
     6.007043779	3019	r017
     6.507650806	17196457	r0FF
     6.507650806	213820	r01B
     6.507650806	2764	r073
     6.507650806	0	r075
     6.507650806	1573659	r004
     6.507650806	213730	r016
     6.507650806	2763	r017
     7.008274624	17476830	r0FF
     7.008274624	219671	r01B
     7.008274624	2205	r073
     7.008274624	0	r075
     7.008274624	1640002	r004
     7.008274624	219793	r016
     7.008274624	2205	r017
     7.508919776	17564700	r0FF
     7.508919776	255907	r01B
     7.508919776	2363	r073
     7.508919776	0	r075
     7.508919776	1619762	r004
     7.508919776	255955	r016
     7.508919776	2377	r017
     8.009772511	16564005	r0FF
     8.009772511	223270	r01B
     8.009772511	1564	r073
     8.009772511	0	r075
     8.009772511	1721877	r004
     8.009772511	223231	r016
     8.009772511	1549	r017
     8.510379413	10576793	r0FF
     8.510379413	178298	r01B
     8.510379413	1472	r073
     8.510379413	0	r075
     8.510379413	1436549	r004
     8.510379413	178147	r016
     8.510379413	1473	r017
     9.010993607	20522916	r0FF
     9.010993607	287973	r01B
     9.010993607	15906	r073
     9.010993607	0	r075
     9.010993607	1920640	r004
     9.010993607	288098	r016
     9.010993607	15912	r017
     9.511612925	17533182	r0FF
     9.511612925	256037	r01B
     9.511612925	4092	r073
     9.511612925	0	r075
     9.511612925	1581178	r004
     9.511612925	255931	r016
     9.511612925	4089	r017
    10.012222453	19481464	r0FF
    10.012222453	265382	r01B
    10.012222453	4822	r073
    10.012222453	0	r075
    10.012222453	1933244	r004
    10.012222453	265378	r016
    10.012222453	4826	r017
    10.512929188	16737472	r0FF
    10.512929188	201582	r01B
    10.512929188	5837	r073
    10.512929188	0	r075
    10.512929188	1459358	r004
    10.512929188	201574	r016
    10.512929188	5836	r017
    11.013528090	12143774	r0FF
    11.013528090	217674	r01B
    11.013528090	13051	r073
    11.013528090	0	r075
    11.013528090	1689824	r004
    11.013528090	217672	r016
    11.013528090	13055	r017
    11.514200325	16605974	r0FF
    11.514200325	244806	r01B
    11.514200325	3004	r073
    11.514200325	0	r075
    11.514200325	1515442	r004
    11.514200325	244806	r016
    11.514200325	2995	r017
    12.014805894	18500021	r0FF
    12.014805894	261380	r01B
    12.014805894	2557	r073
    12.014805894	0	r075
    12.014805894	1784545	r004
    12.014805894	261386	r016
    12.014805894	2558	r017
    12.515415046	16893708	r0FF
    12.515415046	202546	r01B
    12.515415046	2077	r073
    12.515415046	0	r075
    12.515415046	1540735	r004
    12.515415046	202545	r016
    12.515415046	2076	r017
    13.016011615	17164358	r0FF
    13.016011615	250539	r01B
    13.016011615	2108	r073
    13.016011615	0	r075
    13.016011615	1552385	r004
    13.016011615	250557	r016
    13.016011615	2107	r017
    13.516603226	11334751	r0FF
    13.516603226	182017	r01B
    13.516603226	1335	r073
    13.516603226	0	r075
    13.516603226	1415641	r004
    13.516603226	181972	r016
    13.516603226	1333	r017
    14.017213337	15883132	r0FF
    14.017213337	229484	r01B
    14.017213337	3041	r073
    14.017213337	0	r075
