Start:	1428574169793053638
Event1 Name:	r0FF
Event2 Name:	r01B
Event3 Name:	r073
Event4 Name:	r075
Event5 Name:	r004
Event6 Name:	r016
Event7 Name:	r017
     0.500360386	52046081	r0FF
     0.500360386	51503578	r01B
     0.500360386	22719445	r073
     0.500360386	1185	r075
     0.500360386	17645407	r004
     0.500360386	1747006	r016
     0.500360386	215997	r017
     1.001350228	1729421	r0FF
     1.001350228	298284	r01B
     1.001350228	169144	r073
     1.001350228	0	r075
     1.001350228	97240	r004
     1.001350228	9441	r016
     1.001350228	693	r017
     1.502237030	2303896	r0FF
     1.502237030	605339	r01B
     1.502237030	336820	r073
     1.502237030	0	r075
     1.502237030	196130	r004
     1.502237030	20703	r016
     1.502237030	1420	r017
     2.003111623	953600	r0FF
     2.003111623	279295	r01B
     2.003111623	157621	r073
     2.003111623	0	r075
     2.003111623	89941	r004
     2.003111623	7503	r016
     2.003111623	801	r017
     2.503984507	1703840	r0FF
     2.503984507	540329	r01B
     2.503984507	301774	r073
     2.503984507	0	r075
     2.503984507	174755	r004
     2.503984507	17202	r016
     2.503984507	1020	r017
     3.004783100	1611510	r0FF
     3.004783100	264314	r01B
     3.004783100	148321	r073
     3.004783100	0	r075
     3.004783100	85305	r004
     3.004783100	7405	r016
     3.004783100	560	r017
     3.505647610	1843823	r0FF
     3.505647610	476229	r01B
     3.505647610	267416	r073
     3.505647610	0	r075
     3.505647610	155598	r004
     3.505647610	15916	r016
     3.505647610	822	r017
     4.006521369	807726	r0FF
     4.006521369	342544	r01B
     4.006521369	193706	r073
     4.006521369	0	r075
     4.006521369	111890	r004
     4.006521369	9618	r016
     4.006521369	780	r017
     4.507325962	1915130	r0FF
     4.507325962	432414	r01B
     4.507325962	242068	r073
     4.507325962	0	r075
     4.507325962	139028	r004
     4.507325962	14511	r016
     4.507325962	882	r017
     5.008130430	1757153	r0FF
     5.008130430	366123	r01B
     5.008130430	205976	r073
     5.008130430	0	r075
     5.008130430	120581	r004
     5.008130430	12164	r016
     5.008130430	756	r017
