Start:	1428559126505314448
Event1 Name:	r0FF
Event2 Name:	r01B
Event3 Name:	r073
Event4 Name:	r075
Event5 Name:	r004
Event6 Name:	r016
Event7 Name:	r017
     0.500265877	298868081	r0FF
     0.500265877	962380	r01B
     0.500265877	63061	r073
     0.500265877	0	r075
     0.500265877	44300281	r004
     0.500265877	962356	r016
     0.500265877	63082	r017
     1.000937794	300406236	r0FF
     1.000937794	740001	r01B
     1.000937794	7005	r073
     1.000937794	0	r075
     1.000937794	43346769	r004
     1.000937794	740013	r016
     1.000937794	6998	r017
     1.501505378	300342321	r0FF
     1.501505378	691157	r01B
     1.501505378	4380	r073
     1.501505378	0	r075
     1.501505378	43329799	r004
     1.501505378	691155	r016
     1.501505378	4374	r017
     2.002135379	300379215	r0FF
     2.002135379	719515	r01B
     2.002135379	4553	r073
     2.002135379	0	r075
     2.002135379	43279125	r004
     2.002135379	719517	r016
     2.002135379	4553	r017
     2.502708005	300342776	r0FF
     2.502708005	693722	r01B
     2.502708005	3608	r073
     2.502708005	0	r075
     2.502708005	43285307	r004
     2.502708005	693712	r016
     2.502708005	3608	r017
     3.003277339	300346081	r0FF
     3.003277339	319089	r01B
     3.003277339	2993	r073
     3.003277339	0	r075
     3.003277339	43854400	r004
     3.003277339	319089	r016
     3.003277339	2993	r017
     3.503846840	300341043	r0FF
     3.503846840	650372	r01B
     3.503846840	4120	r073
     3.503846840	0	r075
     3.503846840	43387209	r004
     3.503846840	650379	r016
     3.503846840	4120	r017
     4.004419008	300343536	r0FF
     4.004419008	722117	r01B
     4.004419008	4881	r073
     4.004419008	0	r075
     4.004419008	43300054	r004
     4.004419008	722107	r016
     4.004419008	4880	r017
     4.504985967	300341004	r0FF
     4.504985967	692373	r01B
     4.504985967	4182	r073
     4.504985967	0	r075
     4.504985967	43361994	r004
     4.504985967	692377	r016
     4.504985967	4183	r017
     5.005555052	300340776	r0FF
     5.005555052	1021184	r01B
     5.005555052	23558	r073
     5.005555052	0	r075
     5.005555052	43611571	r004
     5.005555052	1021204	r016
     5.005555052	23569	r017
     5.506124845	300344838	r0FF
     5.506124845	423314	r01B
     5.506124845	3823	r073
     5.506124845	0	r075
     5.506124845	43651432	r004
     5.506124845	423291	r016
     5.506124845	3814	r017
     6.006769721	300375536	r0FF
     6.006769721	522299	r01B
     6.006769721	4293	r073
     6.006769721	0	r075
     6.006769721	43532418	r004
     6.006769721	522780	r016
     6.006769721	4297	r017
     6.507355306	300363884	r0FF
     6.507355306	689519	r01B
     6.507355306	3597	r073
     6.507355306	0	r075
     6.507355306	43332211	r004
     6.507355306	689053	r016
     6.507355306	3591	r017
     7.007939890	300351093	r0FF
     7.007939890	723137	r01B
     7.007939890	4520	r073
     7.007939890	0	r075
     7.007939890	43362586	r004
     7.007939890	723133	r016
     7.007939890	4520	r017
     7.508525892	300350472	r0FF
     7.508525892	714703	r01B
     7.508525892	4887	r073
     7.508525892	0	r075
     7.508525892	43326270	r004
     7.508525892	714702	r016
     7.508525892	4888	r017
     8.009121226	300360000	r0FF
     8.009121226	580471	r01B
     8.009121226	4086	r073
     8.009121226	0	r075
     8.009121226	43488850	r004
     8.009121226	580468	r016
     8.009121226	4086	r017
     8.509702603	300352676	r0FF
     8.509702603	364343	r01B
     8.509702603	2257	r073
     8.509702603	0	r075
     8.509702603	43759117	r004
     8.509702603	364349	r016
     8.509702603	2257	r017
     9.010278021	300344043	r0FF
     9.010278021	723756	r01B
     9.010278021	4420	r073
     9.010278021	0	r075
     9.010278021	43341211	r004
     9.010278021	723762	r016
     9.010278021	4420	r017
     9.510861772	300350781	r0FF
     9.510861772	711112	r01B
     9.510861772	3747	r073
     9.510861772	0	r075
     9.510861772	43338772	r004
     9.510861772	711101	r016
     9.510861772	3746	r017
    10.011442524	300349077	r0FF
    10.011442524	663090	r01B
    10.011442524	3641	r073
    10.011442524	0	r075
    10.011442524	43313700	r004
    10.011442524	663097	r016
    10.011442524	3641	r017
    10.512897690	300872518	r0FF
    10.512897690	997826	r01B
    10.512897690	7774	r073
    10.512897690	0	r075
    10.512897690	44005829	r004
    10.512897690	997820	r016
    10.512897690	7775	r017
    11.013495691	300363309	r0FF
    11.013495691	334397	r01B
    11.013495691	15955	r073
    11.013495691	0	r075
    11.013495691	43815723	r004
    11.013495691	334405	r016
    11.013495691	15960	r017
    11.514089485	300354297	r0FF
    11.514089485	708994	r01B
    11.514089485	4666	r073
    11.514089485	0	r075
    11.514089485	43289849	r004
    11.514089485	708994	r016
    11.514089485	4660	r017
    12.014699861	300367767	r0FF
    12.014699861	704355	r01B
    12.014699861	5202	r073
    12.014699861	0	r075
    12.014699861	43302717	r004
    12.014699861	704351	r016
    12.014699861	5201	r017
    12.515305822	300363989	r0FF
    12.515305822	697896	r01B
    12.515305822	4331	r073
    12.515305822	0	r075
    12.515305822	43361884	r004
    12.515305822	697898	r016
    12.515305822	4333	r017
    13.015903365	300359611	r0FF
    13.015903365	734160	r01B
    13.015903365	4945	r073
    13.015903365	0	r075
    13.015903365	43313020	r004
    13.015903365	734157	r016
    13.015903365	4944	r017
    13.516495325	300357051	r0FF
    13.516495325	337654	r01B
    13.516495325	2822	r073
    13.516495325	0	r075
    13.516495325	43782021	r004
    13.516495325	337654	r016
    13.516495325	2820	r017
    14.017181577	300412208	r0FF
    14.017181577	609493	r01B
    14.017181577	3827	r073
    14.017181577	0	r075
    14.017181577	43473846	r004
    14.017181577	609490	r016
    14.017181577	3827	r017
    14.517777204	300357052	r0FF
    14.517777204	785550	r01B
    14.517777204	17696	r073
    14.517777204	0	r075
    14.517777204	43243457	r004
    14.517777204	785547	r016
    14.517777204	17707	r017
    15.018396914	300372760	r0FF
    15.018396914	702450	r01B
    15.018396914	8184	r073
    15.018396914	0	r075
    15.018396914	43292096	r004
    15.018396914	702466	r016
    15.018396914	8181	r017
    15.519133415	300442887	r0FF
    15.519133415	941141	r01B
    15.519133415	10033	r073
    15.519133415	0	r075
    15.519133415	43723834	r004
    15.519133415	941136	r016
    15.519133415	10035	r017
    16.019724084	300356524	r0FF
    16.019724084	440507	r01B
    16.019724084	4747	r073
    16.019724084	0	r075
    16.019724084	43658574	r004
    16.019724084	440502	r016
    16.019724084	4741	r017
    16.520330461	300365472	r0FF
    16.520330461	518306	r01B
    16.520330461	3463	r073
    16.520330461	0	r075
    16.520330461	43555535	r004
    16.520330461	518323	r016
    16.520330461	3461	r017
    17.020925713	300355300	r0FF
    17.020925713	782212	r01B
    17.020925713	17628	r073
    17.020925713	0	r075
    17.020925713	43228475	r004
    17.020925713	782195	r016
    17.020925713	17637	r017
    17.521535340	300366578	r0FF
    17.521535340	691677	r01B
    17.521535340	4392	r073
    17.521535340	0	r075
    17.521535340	43361111	r004
    17.521535340	691678	r016
    17.521535340	4385	r017
    18.022185468	300392083	r0FF
    18.022185468	726345	r01B
    18.022185468	4922	r073
    18.022185468	0	r075
    18.022185468	43296888	r004
    18.022185468	726348	r016
    18.022185468	4920	r017
    18.522783761	300359576	r0FF
    18.522783761	548159	r01B
    18.522783761	3245	r073
    18.522783761	0	r075
    18.522783761	43491523	r004
    18.522783761	548162	r016
    18.522783761	3245	r017
    19.023388264	300364647	r0FF
    19.023388264	446607	r01B
    19.023388264	4337	r073
    19.023388264	0	r075
    19.023388264	43727005	r004
    19.023388264	446602	r016
    19.023388264	4337	r017
    19.523998516	300362730	r0FF
    19.523998516	694000	r01B
    19.523998516	4945	r073
    19.523998516	0	r075
    19.523998516	43334967	r004
    19.523998516	694207	r016
    19.523998516	4947	r017
    20.024598685	300363706	r0FF
    20.024598685	682143	r01B
    20.024598685	4273	r073
    20.024598685	0	r075
    20.024598685	43291444	r004
    20.024598685	681937	r016
    20.024598685	4271	r017
    20.525350145	300451493	r0FF
    20.525350145	946108	r01B
    20.525350145	8381	r073
    20.525350145	0	r075
    20.525350145	43750300	r004
    20.525350145	946097	r016
    20.525350145	8386	r017
    21.025991189	300385734	r0FF
    21.025991189	654980	r01B
    21.025991189	4841	r073
    21.025991189	0	r075
    21.025991189	43437966	r004
    21.025991189	654990	r016
    21.025991189	4838	r017
    21.526598483	300367540	r0FF
    21.526598483	318187	r01B
    21.526598483	3179	r073
    21.526598483	0	r075
    21.526598483	43788846	r004
    21.526598483	318180	r016
    21.526598483	3177	r017
    22.027216236	300369630	r0FF
    22.027216236	718603	r01B
    22.027216236	4339	r073
