Start:	1428519991565260481
Event1 Name:	r0FF
Event2 Name:	r01B
Event3 Name:	r073
Event4 Name:	r075
Event5 Name:	r004
Event6 Name:	r016
Event7 Name:	r017
     0.504494744	353462712	r0FF
     0.504494744	141468217	r01B
     0.504494744	63837764	r073
     0.504494744	2637506	r075
     0.504494744	47941426	r004
     0.504494744	1497079	r016
     0.504494744	194057	r017
     1.005448581	350671838	r0FF
     1.005448581	115126300	r01B
     1.005448581	51157882	r073
     1.005448581	2956414	r075
     1.005448581	39979883	r004
     1.005448581	239168	r016
     1.005448581	7173	r017
     1.506279084	350582400	r0FF
     1.506279084	115055235	r01B
     1.506279084	51113214	r073
     1.506279084	2957762	r075
     1.506279084	39963689	r004
     1.506279084	233745	r016
     1.506279084	6101	r017
     2.007134963	350599414	r0FF
     2.007134963	115152698	r01B
     2.007134963	51127771	r073
     2.007134963	2968142	r075
     2.007134963	40009587	r004
     2.007134963	168596	r016
     2.007134963	3200	r017
     2.508076633	350661314	r0FF
     2.508076633	115215343	r01B
     2.508076633	51185452	r073
     2.508076633	2962012	r075
     2.508076633	40018979	r004
     2.508076633	195510	r016
     2.508076633	4896	r017
     3.008878137	350562834	r0FF
     3.008878137	115043125	r01B
     3.008878137	51106503	r073
     3.008878137	2958037	r075
     3.008878137	39954950	r004
     3.008878137	230612	r016
     3.008878137	6192	r017
     3.510470847	351114440	r0FF
     3.510470847	115248308	r01B
     3.510470847	51190634	r073
     3.510470847	2964492	r075
     3.510470847	40032706	r004
     3.510470847	222548	r016
     3.510470847	4776	r017
     4.011283350	350570268	r0FF
     4.011283350	115240475	r01B
     4.011283350	51169980	r073
     4.011283350	2969974	r075
     4.011283350	40039227	r004
     4.011283350	139919	r016
     4.011283350	3037	r017
     4.512060146	350544762	r0FF
     4.512060146	115065878	r01B
     4.512060146	51126330	r073
     4.512060146	2955732	r075
     4.512060146	39963425	r004
     4.512060146	237497	r016
     4.512060146	6438	r017
     5.012918149	350597215	r0FF
     5.012918149	115053295	r01B
     5.012918149	51110713	r073
     5.012918149	2958058	r075
     5.012918149	39963764	r004
     5.012918149	232104	r016
     5.012918149	5971	r017
     5.513766320	350598256	r0FF
     5.513766320	115191677	r01B
     5.513766320	51151048	r073
     5.513766320	2967296	r075
     5.513766320	40019096	r004
     5.513766320	166754	r016
     5.513766320	3188	r017
     6.014599865	350585399	r0FF
     6.014599865	115155887	r01B
     6.014599865	51147986	r073
     6.014599865	2963312	r075
     6.014599865	40003877	r004
     6.014599865	192243	r016
     6.014599865	4310	r017
     6.515461410	350602396	r0FF
     6.515461410	115073462	r01B
     6.515461410	51127671	r073
     6.515461410	2956681	r075
     6.515461410	39971407	r004
     6.515461410	235455	r016
     6.515461410	6189	r017
     7.016321956	350604984	r0FF
     7.016321956	115040504	r01B
     7.016321956	51092844	r073
     7.016321956	2961039	r075
     7.016321956	39967958	r004
     7.016321956	218836	r016
     7.016321956	5103	r017
     7.517141460	350573971	r0FF
     7.517141460	115244374	r01B
     7.517141460	51171002	r073
     7.517141460	2969705	r075
     7.517141460	40043455	r004
     7.517141460	140638	r016
     7.517141460	2470	r017
     8.018023422	350617489	r0FF
     8.018023422	115069704	r01B
     8.018023422	51118899	r073
     8.018023422	2958478	r075
     8.018023422	39975398	r004
     8.018023422	232709	r016
     8.018023422	5655	r017
     8.518863426	350588791	r0FF
     8.518863426	115070220	r01B
     8.518863426	51124909	r073
     8.518863426	2956835	r075
     8.518863426	39966510	r004
     8.518863426	238356	r016
     8.518863426	6435	r017
     9.019994137	350793112	r0FF
     9.019994137	115239357	r01B
     9.019994137	51167067	r073
     9.019994137	2969664	r075
     9.019994137	40040837	r004
     9.019994137	160992	r016
     9.019994137	3344	r017
     9.520817975	350578048	r0FF
     9.520817975	115141469	r01B
     9.520817975	51145965	r073
     9.520817975	2961653	r075
     9.520817975	40000323	r004
     9.520817975	201695	r016
     9.520817975	4533	r017
    10.021710978	350625299	r0FF
    10.021710978	115080984	r01B
    10.021710978	51123148	r073
    10.021710978	2958862	r075
    10.021710978	39977107	r004
    10.021710978	233158	r016
    10.021710978	5943	r017
    10.522702607	350590866	r0FF
    10.522702607	115147825	r01B
    10.522702607	51149786	r073
    10.522702607	2960957	r075
    10.522702607	40000850	r004
    10.522702607	215408	r016
    10.522702607	5050	r017
    11.023527111	350681792	r0FF
    11.023527111	115228066	r01B
    11.023527111	51166571	r073
    11.023527111	2968734	r075
    11.023527111	40032658	r004
    11.023527111	152985	r016
    11.023527111	3099	r017
    11.524375698	350592914	r0FF
    11.524375698	115061046	r01B
    11.524375698	51118107	r073
    11.524375698	2957487	r075
    11.524375698	39966984	r004
    11.524375698	234258	r016
    11.524375698	5797	r017
    12.025218536	350591809	r0FF
    12.025218536	115043301	r01B
    12.025218536	51101767	r073
    12.025218536	2959126	r075
    12.025218536	39964798	r004
    12.025218536	232092	r016
    12.025218536	6089	r017
    12.526761955	351081089	r0FF
    12.526761955	115386529	r01B
    12.526761955	51242656	r073
    12.526761955	2971316	r075
    12.526761955	40087227	r004
    12.526761955	157836	r016
    12.526761955	3214	r017
    13.027630751	350607575	r0FF
    13.027630751	115118201	r01B
    13.027630751	51133481	r073
    13.027630751	2961509	r075
    13.027630751	39992391	r004
    13.027630751	208264	r016
    13.027630751	4816	r017
    13.528433296	350564910	r0FF
    13.528433296	115069645	r01B
    13.528433296	51123119	r073
    13.528433296	2957448	r075
    13.528433296	39968490	r004
    13.528433296	234422	r016
    13.528433296	5657	r017
    14.029280217	350594719	r0FF
    14.029280217	115094691	r01B
    14.029280217	51116405	r073
    14.029280217	2962700	r075
    14.029280217	39985945	r004
    14.029280217	200342	r016
    14.029280217	4588	r017
    14.530117055	350586599	r0FF
    14.530117055	115219022	r01B
    14.530117055	51172162	r073
    14.530117055	2966006	r075
