#Timestamp	r011	r008	r001	r003	r017
1418759179476019322	172777	450892689	1385457	258485	172893
1418759179976327693	82943	475184366	601121	141900	82940
1418759180476531231	116915	463649619	813436	182024	116918
1418759180976731477	67612	476267762	628691	123773	67605
1418759181476937182	98918	470753959	743852	164489	98921
1418759181977231887	67740	482254323	401037	110403	67739
1418759182477446550	83681	474342575	629197	140708	83685
1418759182977646879	66549	476580230	621214	123040	66546
1418759183477844001	99875	470635766	715131	165172	99873
1418759183978046081	98555	470979427	717008	164436	98558
1418759184478261285	73952	481147832	472910	119626	73957
1418759184978481448	76827	476885070	549875	130505	76833
1418759185478803236	70583	476147992	623699	125729	70578
1418759185979019149	104897	469069578	776567	170289	104893
1418759186479239438	111947	468459124	762551	176332	111944
1418759186979459517	67745	481893740	405391	111017	67738
1418759187479675806	52167	480489953	518329	98472	52190
1418759187979892927	109322	469418669	794894	167394	109317
1418759188480111007	106983	469426593	797821	165195	106981
1418759188980333712	103501	469856501	779178	163246	103499
1418759189480549959	36137	488407022	278867	68324	36129
1418759189980779830	81360	475071140	625916	135412	81377
1418759190481018868	97721	470661448	733417	164871	97740
1418759190981237365	104028	469131567	779618	167974	104004
1418759191481459278	69877	476007830	635618	124729	69869
1418759191981670900	66586	482232504	398858	108094	66578
1418759192481883813	93748	473159849	652639	146132	93761
1418759192982159310	100121	470519298	743034	161712	100128
1418759193482538181	67865	476478143	617342	124208	67860
1418759193982756928	99052	470674034	714661	163191	99045
1418759194482983008	67964	482620050	397968	107981	67968
1418759194983202838	80694	474796595	625545	135768	80699
1418759195483418877	70580	475922326	634019	124145	70575
1418759195983635623	98379	470694288	735149	162268	98380
1418759196483850829	105279	468733978	790914	169153	105275
1418759196984071909	65343	482847503	382420	106139	65337
1418759197484309697	56825	478869164	554342	104895	56832
1418759197984522611	99040	470928644	735682	161467	99045
1418759198484738441	99640	470722964	728038	164465	99635
1418759198984961688	98485	470426253	730908	164276	98486
1418759199485206727	65087	484025526	342098	102571	65086
1418759199985424974	54742	479299201	562844	102275	54744
1418759200485636637	107706	469679220	797863	164366	107706
1418759200985850801	108497	468935874	858287	164786	108497
1418759201486072548	113869	467833417	830374	169076	113869
1418759201986890126	31629	490071846	255738	61765	31617
1418759202487151790	89135	472910591	667491	146557	89148
1418759202987363121	100129	470313363	749807	165365	100133
1418759203487583951	99538	470542775	728434	164048	99543
1418759203987800781	64846	477566181	586646	118997	64833
1418759204488025070	70418	483147080	356159	105128	70419
1418759204988234734	94396	471105517	743336	155816	94398
1418759205488444940	99483	470452919	725648	164862	99483
1418759205988664353	70781	475892999	647099	124452	70781
1418759206488881059	106426	469137497	772788	168874	106418
1418759206989115890	55027	485159783	334795	89062	55036
1418759207489489136	98511	471083873	706676	163563	98516
1418759207989703842	77528	470582124	867298	136135	77524
1418759208489917089	100813	470512680	730769	165485	100814
1418759208990129962	91890	472751310	679199	156293	91878
1418759209490350167	55124	485060628	340901	89729	55135
1418759209990564498	87315	472312375	721651	163599	87303
1418759210490773620	104003	470036316	730184	167723	104006
1418759210990984618	100485	470163392	754971	166326	100488
1418759211491214948	255951	435154480	2200952	379864	255962
1418759211991482279	2386012	188205256	402408	5277419	2386032
1418759212491751735	1355081	349327272	1405048	3546583	1355078
1418759212992007149	2094872	256958702	816208	3714236	2094846
1418759213492313562	1842756	264556311	847408	4846156	1842784
1418759213992543768	1548238	337593421	1065545	3134976	1548205
1418759214492796932	2429183	186191683	479298	5318524	2429212
1418759214993043388	1305645	351581879	1553886	3602503	1305645
1418759215493293302	2078668	266495162	777187	3579830	2078666
1418759215993554258	1933822	250767871	775033	5016907	1933826
1418759216493802297	1486928	342217090	1024941	3114943	1486910
1418759216994044044	2458946	186931696	461666	5200978	2458961
1418759217494304750	1320072	345553940	1398432	3634749	1320076
1418759217994543873	2054374	269306224	790123	3648998	2054367
1418759218495245577	1984731	245951951	711474	4926399	1984710
1418759218995497825	1449163	347377221	823367	3198676	1449180
1418759219495756697	2450631	191702824	485122	5016531	2450636
1418759219996023778	1426647	336171628	1199245	3795912	1426649
1418759220496291859	1992056	274350714	766598	3669700	1992061
1418759220996564773	2027071	240636476	802747	4864623	2027071
1418759221497558435	1431087	346706417	883144	3121951	1431061
1418759221997805308	2472776	184919576	615531	5014202	2472798
1418759222498062931	1357554	342955333	1221488	3629019	1357555
1418759222998321053	2049875	268683921	932900	3654015	2049874
1418759223498598093	1983690	246918443	683851	4972606	1983689
1418759223998856924	1462477	347867929	520192	3306964	1462481
1418759224499108838	2439819	190832458	656151	4871163	2439815
1418759224999359294	1422323	336155920	1198075	3767841	1422325
1418759225499624167	1968636	275608776	1174295	3711177	1968639
1418759225999923665	2052452	239243859	645226	4951263	2052448
1418759226500194621	1417529	351947842	597256	3270418	1417528
1418759227000439369	2438476	193472334	685715	4762701	2438479
1418759227500703325	1429361	331628511	1359699	3842737	1429359
1418759228000952531	1959342	276991500	1340564	3758370	1959333
1418759228502052359	2107171	236204886	556290	4974575	2107153
1418759229002412899	1355453	354906974	715043	3238483	1355480
1418759229502658272	2415098	198878167	699546	4659356	2415096
1418759230002903270	1438341	327698826	1316269	3981908	1438334
1418759230503156768	1941402	279559055	1382183	3841610	1941409
1418759231003419515	2115033	234239666	511612	4837183	2115034
1418759231503679888	1380715	351959267	749738	3282303	1380721
1418759232003925303	2325940	211862725	665539	4509356	2325933
1418759232504192551	1546228	313675787	1268196	4122661	1546232
1418759233004440883	1872346	289205359	1158453	3799265	1872347
1418759233504724881	2155963	228895751	432871	4871092	2155956
1418759234004994379	1355202	352552682	842640	3297557	1355204
1418759234505246418	2326940	217639728	622527	4362553	2326941
1418759235005657416	1587304	308078459	1009371	4290472	1587309
1418759235505911539	1856614	298693895	1027487	3641337	1856600
1418759236006187996	2225105	217681465	345350	5013780	2225116
1418759236506462535	1364897	350592143	1024197	3322649	1364903
1418759237006720200	2238808	234780203	643575	4203883	2238804
1418759237506969115	1704823	292757086	968224	4517198	1704819
1418759238007247947	1700506	326708108	1011462	3416510	1700481
1418759238507522278	2358502	196726405	408197	5208888	2358534
1418759239007774776	1314844	352021645	1454828	3489809	1314836
1418759239508017983	2158453	257376641	633972	3830577	2158430
1418759240008275481	1840659	266342651	934105	4873393	1840685
1418759240509280602	1543554	340951218	1041175	3165374	1543529
1418759241009557267	2483714	185446188	439607	5314981	2483744
1418759241509822640	1315564	351141280	1477061	3627391	1315559
1418759242010076222	2070377	267803312	818177	3659604	2070375
1418759242510382929	1969037	248412207	729318	4982459	1969030
1418759243010637510	1208632	209278844	812984	1811498	1208609
1418759243510876176	58932	24741340	824570	101309	58940
1418759244011130466	1675008	263121362	1186970	4572336	1675032
1418759244511376214	1705858	321518245	1261597	3332575	1705839
1418759245011648171	2312939	196410560	691095	4975398	2312961
1418759245322853076	781215	243935977	483226	1826221	781178
