Start:	1419944702656555715
Event1 Name:	r011
Event2 Name:	r004
Event3 Name:	r014
Event4 Name:	r008
Event5 Name:	r013
     0.500409892	45830728	r011
     0.500409892	45795260	r004
     0.500409892	131202832	r014
     0.500409892	236283466	r008
     0.500409892	45829945	r013
     1.002073030	13292344	r011
     1.002073030	13267772	r004
     1.002073030	148052794	r014
     1.002073030	414630023	r008
     1.002073030	13292212	r013
     1.503388336	41241347	r011
     1.503388336	41214198	r004
     1.503388336	158088304	r014
     1.503388336	345598114	r008
     1.503388336	41241347	r013
     2.004844474	25297001	r011
     2.004844474	25275197	r004
     2.004844474	161611994	r014
     2.004844474	382940549	r008
     2.004844474	25297001	r013
     2.506115239	21990233	r011
     2.506115239	21964767	r004
     2.506115239	147701219	r014
     2.506115239	402772148	r008
     2.506115239	21990233	r013
     3.009920247	41880168	r011
     3.009920247	41848576	r004
     3.009920247	158285779	r014
     3.009920247	332731882	r008
     3.009920247	41880168	r013
     3.511230928	13768611	r011
     3.511230928	13747180	r004
     3.511230928	160368624	r014
     3.511230928	406810938	r008
     3.511230928	13768611	r013
     4.012393192	33389269	r011
     4.012393192	33363056	r004
     4.012393192	146169269	r014
     4.012393192	380005329	r008
     4.012393192	33389269	r013
     4.513984873	41168621	r011
     4.513984873	41141876	r004
     4.513984873	159521707	r014
     4.513984873	337274732	r008
     4.513984873	41168621	r013
     5.015268345	7631268	r011
     5.015268345	7611274	r004
     5.015268345	161412246	r014
     5.015268345	424879342	r008
     5.015268345	7631268	r013
     5.516400651	41906993	r011
     5.516400651	41863072	r004
     5.516400651	143231375	r014
     5.516400651	346363707	r008
     5.516400651	41906993	r013
     6.017856290	34941842	r011
     6.017856290	34914768	r004
     6.017856290	157654835	r014
     6.017856290	348259738	r008
     6.017856290	34941842	r013
     6.519274012	11971952	r011
     6.519274012	11951479	r004
     6.519274012	154927197	r014
     6.519274012	431825982	r008
     6.519274012	11971952	r013
     7.020541735	41589070	r011
     7.020541735	41561964	r004
     7.020541735	155966056	r014
     7.020541735	347628953	r008
     7.020541735	41589070	r013
     7.521975707	26839038	r011
     7.521975707	26813286	r004
     7.521975707	156937545	r014
     7.521975707	365298805	r008
     7.521975707	26839038	r013
     8.023176096	20627793	r011
     8.023176096	20605510	r004
     8.023176096	152598903	r014
     8.023176096	417470349	r008
     8.023176096	20627793	r013
     8.524741360	41169804	r011
     8.524741360	41141054	r004
     8.524741360	158719164	r014
     8.524741360	338451764	r008
     8.524741360	41169804	r013
     9.026137040	15578404	r011
     9.026137040	15552793	r004
     9.026137040	155431134	r014
     9.026137040	385820865	r008
     9.026137040	15578404	r013
     9.527323388	31687095	r011
     9.527323388	31665584	r004
     9.527323388	153158776	r014
     9.527323388	399924260	r008
     9.527323388	31687095	r013
    10.028843569	41021693	r011
    10.028843569	40994508	r004
    10.028843569	159413166	r014
    10.028843569	338624894	r008
    10.028843569	41021693	r013
    10.532218661	9408587	r011
    10.532218661	9384654	r004
    10.532218661	155995252	r014
    10.532218661	404768467	r008
    10.532218661	9408587	r013
    11.033690050	38105082	r011
    11.033690050	38088725	r004
    11.033690050	154609570	r014
    11.033690050	381414854	r008
    11.033690050	38112704	r013
    11.535013189	40804197	r011
    11.535013189	40769723	r004
    11.535013189	160226463	r014
    11.535013189	340340667	r008
    11.535013189	40796575	r013
    12.036286870	5717454	r011
    12.036286870	5694177	r004
    12.036286870	151361259	r014
    12.036286870	419260953	r008
    12.036286870	5717454	r013
    12.537574467	41841428	r011
    12.537574467	41817057	r004
    12.537574467	158460931	r014
    12.537574467	364530204	r008
    12.537574467	41841428	r013
    13.039010148	34195164	r011
    13.039010148	34168050	r004
    13.039010148	157036024	r014
    13.039010148	350190371	r008
    13.039010148	34196539	r013
    13.540395329	13957150	r011
    13.540395329	13906964	r004
    13.540395329	149459705	r014
    13.540395329	416634670	r008
    13.540395329	13955775	r013
    14.041762843	41683652	r011
    14.041762843	41658509	r004
    14.041762843	159730214	r014
    14.041762843	348861705	r008
    14.041762843	41683652	r013
    14.543292440	21971152	r011
    14.543292440	21946512	r004
    14.543292440	155410892	r014
    14.543292440	372067481	r008
    14.543292440	21972326	r013
    15.044734953	24378102	r011
    15.044734953	24355455	r004
    15.044734953	153400720	r014
    15.044734953	419417323	r008
    15.044734953	24376928	r013
    15.546050842	41735895	r011
    15.546050842	41709771	r004
    15.546050842	160456835	r014
    15.546050842	339781783	r008
    15.546050842	41735895	r013
    16.047427731	12929616	r011
    16.047427731	12902036	r004
    16.047427731	151878377	r014
    16.047427731	382011257	r008
    16.047427731	12929616	r013
    16.548670621	33782950	r011
    16.548670621	33762131	r004
    16.548670621	157268960	r014
    16.548670621	404938757	r008
    16.548670621	33782950	r013
    17.049956968	41781718	r011
    17.049956968	41755317	r004
    17.049956968	160006858	r014
    17.049956968	338105264	r008
    17.049956968	41781718	r013
    17.551279357	6543435	r011
    17.551279357	6515842	r004
    17.551279357	147447275	r014
    17.551279357	394999454	r008
    17.551279357	6543435	r013
    18.052518205	40106881	r011
    18.052518205	40086514	r004
    18.052518205	162199679	r014
    18.052518205	392739579	r008
    18.052518205	40106881	r013
    18.553922094	41480485	r011
    18.553922094	41452737	r004
    18.553922094	158213895	r014
    18.553922094	333785943	r008
    18.553922094	41480485	r013
    19.055377149	7304395	r011
    19.055377149	7276348	r004
    19.055377149	143132132	r014
    19.055377149	411391107	r008
    19.055377149	7304395	r013
    19.556599080	40528962	r011
    19.556599080	40509256	r004
    19.556599080	167243235	r014
    19.556599080	374612729	r008
    19.556599080	40528962	r013
    20.058030428	31665718	r011
    20.058030428	31638651	r004
    20.058030428	155580734	r014
    20.058030428	352650278	r008
    20.058030428	31665718	r013
    20.559453025	16279726	r011
    20.559453025	16253105	r004
    20.559453025	145122273	r014
    20.559453025	407360780	r008
    20.559453025	16279726	r013
    21.060695539	40860541	r011
    21.060695539	40838546	r004
    21.060695539	165394100	r014
    21.060695539	358582602	r008
    21.060695539	40860541	r013
    21.562159553	20296947	r011
    21.562159553	20270183	r004
    21.562159553	154375036	r014
    21.562159553	372770798	r008
