#Timestamp	r011	r008	r001	r003	r017
1418759146866062916	950519435	1386118863	1096087	333103	116209
1418759147366281703	950420145	1208613239	2465981	647745	214938
1418759147866439365	950303080	1352461034	1310184	387605	136795
1418759148366598943	950306365	1355442169	1325883	386696	103346
1418759148866754647	950299800	1213820963	2441678	625627	198519
1418759149366910976	950301585	1473811815	379879	169392	62283
1418759149867070554	950303140	1217438630	2358144	611160	189731
1418759150367231342	940842564	1301108528	1554750	427036	129268
1418759150867393629	950307717	1375028107	1183252	351695	112843
1418759151367553916	950309438	1202145893	2462821	637265	194332
1418759151867711411	950304330	1451582938	514004	216454	90250
1418759152367872948	950307580	1236561282	2279236	598257	164218
1418759152868081110	950401087	1307069201	1617100	450974	156536
1418759153368241272	950307293	1383335988	1126153	333300	95191
1418759153868404518	950310805	1214610529	2448745	639060	192624
1418759154368561972	950303743	1435129327	675618	229621	84283
1418759154868723675	950310252	1265929915	2059004	549435	162169
1418759155368883088	945971790	1256836796	1891696	512890	156489
1418759155869041750	950307289	1409545918	852703	277770	85122
1418759156369199412	950296227	1204841329	2462816	640139	199043
1418759156869356616	950301685	1419312200	765490	253616	91816
1418759157369513112	950302825	1271592811	1967512	533795	162059
1418759157869671066	950301945	1264531915	1981004	540618	151319
1418759158369842478	950326285	922898692	1520232	5247623	1078898
1418759158870011974	950325620	594061314	2580802	7524114	1793190
1418759159370177719	950317532	698051585	1197618	8689460	1517785
1418759159870352132	950332615	563029133	2034798	9028211	1956090
1418759160370615294	950470462	565841982	2010697	8883814	2027371
1418759160870792998	950333860	729574867	1083140	8110466	1464589
1418759161370971160	950342860	546389132	2622327	7842387	1856419
1418759161871142406	950333715	598282373	878177	10761035	2002496
1418759162371310443	950320065	646701266	2230203	7369936	1560188
1418759162871483439	950329255	624809808	2108124	8076041	1593495
1418759163371664143	950345345	589464220	1000317	10790884	2004714
1418759163871853972	950365800	575444893	2597014	8005012	1819592
1418759164372035843	950348105	726489394	1021328	8385313	1492863
1418759164872216131	950342940	559968613	2193304	8637562	1913332
1418759165372391293	950339802	565750642	1868146	9285349	2069109
1418759165872565497	950331255	698097021	1260967	8358104	1490567
1418759166372750951	950355813	575744065	2692156	7249091	1810274
1418759166872982031	950444295	599535612	684661	11065020	2001930
1418759167373151193	950323815	605503922	2305462	7706844	1652831
1418759167873315564	890491567	568855983	2572871	7122167	1369845
1418759168373481769	618795916	425304110	487606	6495448	1154719
1418759168873650015	950319695	591354786	2617474	7977771	1689241
1418759169374440134	951505155	626644507	1671719	8731136	1729266
1418759169874611505	950329210	574762194	1442232	9799912	2059118
1418759170374779084	950322570	580383206	2554796	7493414	1834180
1418759170874953788	950326510	715233152	672019	9250852	1540921
1418759171375131034	950344040	548143963	2599373	8080362	1870202
1418759171875297781	950322935	610692298	1335802	9416113	1930336
1418759172375465068	950320895	688683392	1839282	7929057	1462389
1418759172875632481	950320280	557322332	2450276	8083107	1784552
1418759173375799477	950319525	641189726	483731	10766273	1889276
1418759173876072932	950523205	610540492	2734352	7215102	1736542
1418759173944571167	130149895	77702083	327427	1122037	230420
