#Timestamp	CPU_ID	user%	nice%	sys%	idle%	iowait%	irq%	softiq%	steal%	guest%	guest_nice%
1419856887968662682	CPU_4	45.79	0	48.59	0	0	3.73	1.86	0	0	
1419856890065103945	CPU_4	66.19	0	28.63	0	0	3.28	1.87	0	0	
1419856892170486563	CPU_4	64.92	0	29.85	0	0	3.31	1.89	0	0	
1419856894239385807	CPU_4	66.18	0	28.98	0	0	2.89	1.93	0	0	
1419856896296397411	CPU_4	66.99	0	27.66	0	0	3.39	1.94	0	0	
1419856898420116987	CPU_4	66.03	0	28.77	0	0	3.30	1.88	0	0	
1419856900475458886	CPU_4	64.07	0	31.06	0	0	2.91	1.94	0	0	
1419856902633303175	CPU_4	67.77	0	27.01	0	0	3.31	1.89	0	0	
1419856904729582356	CPU_4	65.88	0	28.97	0	0	3.27	1.86	0	0	
1419856906807954911	CPU_4	65.70	0	29.46	0	0	3.38	1.44	0	0	
1419856908864256183	CPU_4	61.83	0	33.33	0	0	2.89	1.93	0	0	
1419856910931372847	CPU_4	65.04	0	29.61	0	0	3.39	1.94	0	0	
1419856913044082949	CPU_4	63.03	0	31.75	0	0	3.31	1.89	0	0	
1419856915104631503	CPU_4	66.18	0	28.98	0	0	2.89	1.93	0	0	
1419856917230341282	CPU_4	66.03	0	28.77	0	0	3.30	1.88	0	0	
1419856919522192722	CPU_4	65.50	0	29.25	0	0	3.49	1.74	0	0	
1419856921719480920	CPU_4	64.09	0	30.90	0	0	3.18	1.81	0	0	
1419856923760362228	CPU_4	66.99	0	28.07	0	0	2.95	1.97	0	0	
1419856925889483250	CPU_4	62.73	0	32.07	0	0	3.30	1.88	0	0	
1419856927980534650	CPU_4	66.82	0	27.96	0	0	3.31	1.89	0	0	
1419856930151311243	CPU_4	63.13	0	31.79	0	0	3.22	1.84	0	0	
1419856932239483234	CPU_4	64.90	0	30.28	0	0	2.88	1.92	0	0	
1419856934362977727	CPU_4	61.61	0	33.17	0	0	3.31	1.89	0	0	
1419856936474220956	CPU_4	61.03	0	33.80	0	0	3.28	1.87	0	0	
1419856938593785833	CPU_4	65.56	0	29.24	0	0	3.30	1.88	0	0	
1419856940726268347	CPU_4	66.35	0	28.50	0	0	3.27	1.86	0	0	
1419856942791347600	CPU_4	64.39	0	30.73	0	0	2.92	1.95	0	0	
1419856944921220786	CPU_4	62.79	0	32.09	0	0	3.25	1.86	0	0	
1419856947026006322	CPU_4	65.23	0	29.52	0	0	3.33	1.90	0	0	
1419856949170384892	CPU_4	64.31	0	30.51	0	0	3.28	1.87	0	0	
1419856951238566387	CPU_4	65.21	0	29.46	0	0	3.38	1.93	0	0	
1419856953362346338	CPU_4	63.03	0	32.70	0	0	2.84	1.42	0	0	
1419856955440672393	CPU_4	63.15	0	31.57	0	0	3.34	1.91	0	0	
1419856957540371316	CPU_4	63.98	0	30.80	0	0	3.31	1.89	0	0	
1419856959650977505	CPU_4	64.92	0	29.85	0	0	3.31	1.89	0	0	
1419856961750940927	CPU_4	63.33	0	31.42	0	0	3.33	1.90	0	0	
