Start:	1419837782665635403
Event1 Name:	r011
Event2 Name:	r004
Event3 Name:	r014
Event4 Name:	r008
Event5 Name:	r013
     0.500327016	300385813	r011
     0.500327016	54954110	r004
     0.500327016	105062230	r014
     0.500327016	363128107	r008
     0.500327016	54936591	r013
     1.001521114	300719430	r011
     1.001521114	28855330	r004
     1.001521114	87895468	r014
     1.001521114	317543232	r008
     1.001521114	28861413	r013
     1.502637795	300671556	r011
     1.502637795	51872604	r004
     1.502637795	105672620	r014
     1.502637795	396656721	r008
     1.502637795	51877036	r013
     2.003606810	300582336	r011
     2.003606810	36667361	r004
     2.003606810	101345038	r014
     2.003606810	373566682	r008
     2.003606810	36671100	r013
     2.504581783	300585333	r011
     2.504581783	42827947	r004
     2.504581783	92541536	r014
     2.504581783	357356149	r008
     2.504581783	42832180	r013
     3.005920422	300802261	r011
     3.005920422	46127428	r004
     3.005920422	107622198	r014
     3.005920422	424183129	r008
     3.005920422	46130773	r013
     3.506889187	300579081	r011
     3.506889187	33142796	r004
     3.506889187	85655893	r014
     3.506889187	307413006	r008
     3.506889187	33147035	r013
     4.007988368	300664824	r011
     4.007988368	41451118	r004
     4.007988368	110297462	r014
     4.007988368	455340485	r008
     4.007988368	41454293	r013
     4.508933467	300563623	r011
     4.508933467	32889791	r004
     4.508933467	95092832	r014
     4.508933467	297265032	r008
     4.508933467	32893924	r013
     5.009901273	300582186	r011
     5.009901273	48245358	r004
     5.009901273	99838766	r014
     5.009901273	422717482	r008
     5.009901273	48248754	r013
     5.510850872	300570110	r011
     5.510850872	54189909	r004
     5.510850872	102398931	r014
     5.510850872	363528032	r008
     5.510850872	54193507	r013
     6.011821303	300584152	r011
     6.011821303	26774215	r004
     6.011821303	88822008	r014
     6.011821303	348543528	r008
     6.011821303	26778309	r013
     6.512881984	300639054	r011
     6.512881984	43694164	r004
     6.512881984	110163372	r014
     6.512881984	439517932	r008
     6.512881984	43697315	r013
     7.013858541	300582876	r011
     7.013858541	34103287	r004
     7.013858541	90313248	r014
     7.013858541	273502722	r008
     7.013858541	34107592	r013
     7.514811223	300577256	r011
     7.514811223	43019813	r004
     7.514811223	107853534	r014
     7.514811223	460863795	r008
     7.514811223	43022644	r013
     8.015916362	300625799	r011
     8.015916362	57451539	r004
     8.015916362	100293468	r014
     8.015916362	310755645	r008
     8.015916362	57455698	r013
     8.516892127	300588100	r011
     8.516892127	22724117	r004
     8.516892127	94163842	r014
     8.516892127	410891608	r008
     8.516892127	22727458	r013
     9.017984767	300654240	r011
     9.017984767	55768575	r004
     9.017984767	105404663	r014
     9.017984767	368487450	r008
     9.017984767	55772366	r013
     9.518965240	300588995	r011
     9.518965240	25133610	r004
     9.518965240	93313769	r014
     9.518965240	331136340	r008
     9.518965240	25137729	r013
    10.019943922	300591390	r011
    10.019943922	45679211	r004
    10.019943922	102041112	r014
    10.019943922	448998445	r008
    10.019943922	45682316	r013
    10.520923603	300584389	r011
    10.520923603	42011735	r004
    10.520923603	95830058	r014
    10.520923603	271947490	r008
    10.520923603	42016092	r013
    11.021885743	300583350	r011
