Start:	1419994746608263779
Event1 Name:	r011
Event2 Name:	r004
Event3 Name:	r014
Event4 Name:	r008
Event5 Name:	r013
     0.500411975	52592639	r011
     0.500411975	52642470	r004
     0.500411975	157223907	r014
     0.500411975	298691233	r008
     0.500411975	52591352	r013
     1.001786780	17831102	r011
     1.001786780	17806753	r004
     1.001786780	182288383	r014
     1.001786780	463764637	r008
     1.001786780	17830970	r013
     1.502896670	31267804	r011
     1.502896670	31241212	r004
     1.502896670	170075325	r014
     1.502896670	455595939	r008
     1.502896670	31267804	r013
     2.004144184	40436118	r011
     2.004144184	40414296	r004
     2.004144184	192071186	r014
     2.004144184	443924850	r008
     2.004144184	40436118	r013
     2.505229657	42396541	r011
     2.505229657	42367884	r004
     2.505229657	184364079	r014
     2.505229657	412241535	r008
     2.505229657	42396541	r013
     3.006426005	18823466	r011
     3.006426005	18796578	r004
     3.006426005	177985786	r014
     3.006426005	449618210	r008
     3.006426005	18823466	r013
     3.507456436	28450028	r011
     3.507456436	28428938	r004
     3.507456436	182924222	r014
     3.507456436	482289556	r008
     3.507456436	28450028	r013
     4.008682325	42804554	r011
     4.008682325	42777535	r004
     4.008682325	180900497	r014
     4.008682325	420970593	r008
     4.008682325	42804554	r013
     4.509873090	41730246	r011
     4.509873090	41703176	r004
     4.509873090	183619085	r014
     4.509873090	412446563	r008
     4.509873090	41730246	r013
     5.010916646	27093973	r011
     5.010916646	27073573	r004
     5.010916646	188805954	r014
     5.010916646	467526619	r008
     5.010916646	27093973	r013
     5.511990203	20824716	r011
     5.511990203	20797062	r004
     5.511990203	171059978	r014
     5.511990203	461973473	r008
     5.511990203	20824716	r013
     6.013281967	41861028	r011
     6.013281967	41834778	r004
     6.013281967	183609198	r014
     6.013281967	430189120	r008
     6.013281967	41861028	r013
     6.514362523	41015045	r011
     6.514362523	40993309	r004
     6.514362523	192020829	r014
     6.514362523	434930828	r008
     6.514362523	41015045	r013
     7.015515621	29117228	r011
     7.015515621	29090914	r004
     7.015515621	178926878	r014
     7.015515621	434540461	r008
     7.015515621	29117228	r013
     7.516625552	18624189	r011
     7.516625552	18600242	r004
     7.516625552	177357158	r014
     7.516625552	474228871	r008
     7.516625552	18624189	r013
     8.017773858	42314538	r011
     8.017773858	42288876	r004
     8.017773858	184707657	r014
     8.017773858	440214869	r008
     8.017773858	42314538	r013
     8.519078706	41336288	r011
     8.519078706	41309875	r004
     8.519078706	183716505	r014
     8.519078706	414777824	r008
     8.519078706	41336288	r013
     9.020190845	32055200	r011
     9.020190845	32030940	r004
