#Timestamp	r011	r004	r014	r008	r013
1419823676020298883	600483519	86269210	210987954	807896852	86251533
1419823676521018315	600865512	75422048	194876665	754776269	75426378
1419823677021601039	600707604	51245642	198480608	866594863	51248662
1419823677522169680	600679209	86386600	203949106	766915532	86390053
1419823678022758154	600711006	68154970	200762048	866418364	68157906
1419823678523415253	600786996	62300879	198032340	794936547	62304221
1419823679024008144	600711978	93299032	210533328	835173577	93302217
1419823679524602202	600717188	60584790	196278658	830250612	60587946
1419823680025195509	600710899	61746953	201556935	794973722	61750130
1419823680525781900	600705894	89717183	205292705	866483538	89720382
1419823681026667790	601046758	64828360	194369452	795484295	64831832
1419823681527256139	600709656	83669410	209324894	841032520	83672375
1419823682027840030	600700683	72301956	194930456	778246967	72305546
1419823682528488962	600782229	48621570	205918174	878410257	48624410
1419823683029072853	600699699	97648778	195419622	747432266	97652531
1419823683529649119	600699984	54077305	204317868	931955673	54079944
1419823684030235551	600697335	76382876	189053690	699482855	76386791
1419823684530807525	600699057	78070659	219830793	931501234	78073319
1419823685031369833	600664155	74251349	189862320	728230859	74255269
1419823685531951307	600706691	74919258	217061835	892198599	74921883
1419823686032628239	600733701	77645504	194914816	752894471	77649034
1419823686533300172	600812774	49168529	203526554	880976145	49171371
1419823687033886479	600701941	91808283	203631668	773870241	91811888
1419823687534475953	600710685	64185418	199688154	857455878	64188348
1419823688035058219	600698988	64037703	194126134	781311624	64041144
1419823688535642568	600704462	92185673	206139670	831273308	92188814
1419823689036306209	600792379	59256949	196975495	841856094	59260090
1419823689536899016	600714717	61819283	202217405	785249337	61822735
1419823690037483949	600707052	92079899	210719819	852486449	92083009
1419823690538158922	600809134	65343756	199239648	793369099	65347169
1419823691038871480	600771365	80901568	214930980	864509679	80904479
1419823691539453079	600698013	75392234	193516503	754086588	75395930
1419823692040027595	600698419	45034371	206080828	896091305	45037053
1419823692540608444	600689660	90801533	194599912	726574651	90805230
1419823693041178418	600695474	63797822	213896043	938972554	63800376
1419823693541746392	600671794	74485883	190452342	718505169	74489712
1419823694042316200	600695541	80371945	215672911	901697102	80374375
1419823694542983382	600699207	70553504	189959335	751439315	70569402
1419823695043573981	600809070	67669746	215644560	867263359	67660610
1419823695544162455	600703569	84881189	197912508	785453645	84884858
1419823696044890596	600790382	54967904	196801143	860926770	54971056
1419823696545483528	600707277	78841327	200901307	765396326	78844955
1419823697046072335	600709266	77843046	197678969	838078506	77846195
1419823697546661143	600708999	62034635	191334519	803320651	62037979
1419823698047249700	600708462	87952779	208456717	807418615	87956194
1419823698547819383	600661469	68064300	197853062	821004572	68067536
1419823699048481523	600801786	59735477	198133287	815251061	59738668
1419823699549046248	600678117	90942118	211487347	844662413	90945106
1419823700049634430	600704673	65394008	194816100	792981518	65397435
1419823700550203029	600685068	64628217	214004404	868273699	64631246
1419823701051340502	601356906	91660250	196399930	760842165	91664101
1419823701551896101	600668507	44181442	207563694	922783039	44184081
1419823702052515159	600735956	81509682	193545851	715772911	81513706
1419823702553204299	600835601	72306676	217559343	954646219	72309199
1419823703053766440	600665233	73871764	189749606	724111896	73875591
1419823703554351206	600707298	82221636	216302587	907403870	82224349
1419823704054913097	600670531	69388528	190383299	762626399	69392050
1419823704555496362	600704922	71005821	211406940	866881299	71008830
1419823705056079753	600695232	118386422	190113356	682463413	118390491
1419823705556703269	600746565	208107170	216789054	650204255	208110579
1419823706057465993	600855786	202477051	219340456	635897384	202480497
1419823706558178008	600854898	200147732	212990437	619086916	200151409
1419823707058808441	600757785	211700268	219775248	664336461	211703681
1419823707559440748	600756534	194784250	209172148	596368081	194788255
1419823708060079597	600768540	216862109	222940564	685659527	216865444
1419823708560828612	600903049	189604284	205691629	573740745	189608302
1419823709061557461	600876479	219536844	230335203	706555174	219539822
1419823709562269768	600855035	189812606	200049410	563856969	189816552
1419823710063029409	600912895	225658556	233910712	731172191	225661435
1419823710563762882	600881157	181392079	201894116	541144096	181396149
1419823711064807981	601250175	221342356	231317432	713440863	221345553
1419823711565553663	600895720	192736868	201946185	575358317	192740598
1419823712066296261	600892722	213605092	226924185	683045140	213608217
1419823712567044943	600899346	196262118	210465682	601498837	196266093
1419823713067785709	600889965	209837093	218147674	656265902	209840484
1419823713568588349	600966210	204271103	215058874	633565863	204274599
1419823714069327365	600886254	202351651	213985914	625877969	202355335
1419823714570104588	600933999	206366111	221856674	651667591	206369475
