Start:	1419913974767451131
Event1 Name:	r011
Event2 Name:	r004
Event3 Name:	r014
Event4 Name:	r008
Event5 Name:	r013
     0.500743307	100317295	r011
     0.500743307	17985217	r004
     0.500743307	30563854	r014
     0.500743307	57002337	r008
     0.500743307	17968451	r013
     1.004155733	100684599	r011
     1.004155733	11945397	r004
     1.004155733	36539505	r014
     1.004155733	97634235	r008
     1.004155733	11948739	r013
     1.506709286	100510541	r011
     1.506709286	35869712	r004
     1.506709286	33729639	r014
     1.506709286	105921205	r008
     1.506709286	35873253	r013
     2.009567589	100571882	r011
     2.009567589	21578653	r004
     2.009567589	32190914	r014
     2.009567589	99689735	r008
     2.009567589	21581955	r013
     2.512492974	100585618	r011
     2.512492974	7242570	r004
     2.512492974	31109127	r014
     2.512492974	129348870	r008
     2.512492974	7245532	r013
     3.015000985	100502438	r011
     3.015000985	6880135	r004
     3.015000985	30247818	r014
     3.015000985	132457397	r008
     3.015000985	6883197	r013
     3.517896996	100575158	r011
     3.517896996	12662575	r004
     3.517896996	29496372	r014
     3.517896996	95360737	r008
     3.517896996	12666012	r013
     4.020542507	100532645	r011
     4.020542507	11813516	r004
     4.020542507	34650393	r014
     4.020542507	76707404	r008
     4.020542507	11816990	r013
     4.523453767	100582785	r011
     4.523453767	28910810	r004
     4.523453767	36263163	r014
     4.523453767	120150794	r008
     4.523453767	28914083	r013
     5.025926237	100494240	r011
     5.025926237	20532404	r004
     5.025926237	35271701	r014
     5.025926237	146834346	r008
     5.025926237	20535654	r013
     5.528845664	100583462	r011
     5.528845664	11882657	r004
     5.528845664	29855906	r014
     5.528845664	102703166	r008
     5.528845664	11886119	r013
     6.031383842	100509175	r011
     6.031383842	12092858	r004
     6.031383842	29203133	r014
     6.031383842	100734450	r008
     6.031383842	12096230	r013
     6.534481061	100612430	r011
     6.534481061	11262740	r004
     6.534481061	29164026	r014
     6.534481061	105508546	r008
     6.534481061	11266234	r013
     7.037014614	100508454	r011
     7.037014614	4664730	r004
     7.037014614	39349186	r014
     7.037014614	121542694	r008
     7.037014614	4667590	r013
     7.539785124	100553635	r011
     7.539785124	37316388	r004
     7.539785124	34804569	r014
     7.539785124	116968759	r008
     7.539785124	37319820	r013
     8.042564593	100555608	r011
     8.042564593	19346145	r004
     8.042564593	31688957	r014
     8.042564593	102052341	r008
     8.042564593	19349532	r013
     8.545061855	100498834	r011
     8.545061855	12322132	r004
     8.545061855	29798091	r014
     8.545061855	99224882	r008
     8.545061855	12325287	r013
     9.047819991	100553305	r011
     9.047819991	3762937	r004
     9.047819991	31072893	r014
     9.047819991	151560359	r008
     9.047819991	3765612	r013
     9.550279252	100491595	r011
     9.550279252	11308269	r004
     9.550279252	30050772	r014
     9.550279252	100733855	r008
     9.550279252	11311633	r013
    10.053221512	100588095	r011
    10.053221512	11582754	r004
    10.053221512	34755335	r014
    10.053221512	77644251	r008
    10.053221512	11586079	r013
    10.556297773	100615923	r011
    10.556297773	28837055	r004
    10.556297773	35439696	r014
    10.556297773	113036256	r008
    10.556297773	28840319	r013
    11.059827240	100706962	r011
    11.059827240	21867654	r004
    11.059827240	35900277	r014
    11.059827240	147909265	r008
    11.059827240	21870610	r013
    11.563424040	100704321	r011
    11.563424040	9907945	r004
    11.563424040	30384662	r014
    11.563424040	114827251	r008
    11.563424040	9911096	r013
    12.066489967	100612350	r011
    12.066489967	12650171	r004
    12.066489967	29133740	r014
    12.066489967	98456082	r008
    12.066489967	12653780	r013
    12.569846893	100672941	r011
    12.569846893	11774082	r004
    12.569846893	29098401	r014
    12.569846893	103043422	r008
    12.569846893	11777448	r013
    13.073261361	100683010	r011
    13.073261361	5598520	r004
    13.073261361	37814130	r014
    13.073261361	105284806	r008
    13.073261361	5601535	r013
    13.576357788	100619583	r011
    13.576357788	39112826	r004
    13.576357788	37167294	r014
    13.576357788	139926105	r008
    13.576357788	39115951	r013
    14.079371923	100602854	r011
    14.079371923	15577762	r004
    14.079371923	31436541	r014
    14.079371923	101480536	r008
    14.079371923	15581201	r013
    14.586398257	101404992	r011
    14.586398257	11964000	r004
    14.586398257	30155302	r014
    14.586398257	103349061	r008
    14.586398257	11967660	r013
    15.089356559	100592757	r011
    15.089356559	6903655	r004
    15.089356559	30369476	r014
    15.089356559	132142029	r008
    15.089356559	6906752	r013
    15.591970445	100523391	r011
    15.591970445	7197719	r004
    15.591970445	32217132	r014
    15.591970445	116506794	r008
    15.591970445	7200815	r013
    16.095119538	100628736	r011
    16.095119538	12469794	r004
    16.095119538	34194507	r014
    16.095119538	78801042	r008
    16.095119538	12473449	r013
    16.598373840	100651317	r011
    16.598373840	34977210	r004
    16.598373840	35032823	r014
    16.598373840	114710373	r008
    16.598373840	34980549	r013
    17.100987809	100523924	r011
    17.100987809	18966159	r004
    17.100987809	33708702	r014
    17.100987809	129348148	r008
    17.100987809	18969035	r013
    17.603929528	100588078	r011
    17.603929528	7208104	r004
    17.603929528	31052401	r014
    17.603929528	130588124	r008
    17.603929528	7211128	r013
    18.106541997	100521864	r011
    18.106541997	11925800	r004
    18.106541997	29076330	r014
    18.106541997	102283623	r008
    18.106541997	11929251	r013
    18.609598591	100610066	r011
    18.609598591	11674309	r004
    18.609598591	29663816	r014
    18.609598591	100752076	r008
    18.609598591	11677783	r013
    19.112846934	100652782	r011
    19.112846934	8181340	r004
    19.112846934	36990106	r014
    19.112846934	92821990	r008
    19.112846934	8184382	r013
    19.615497695	100530461	r011
    19.615497695	40668917	r004
    19.615497695	38120623	r014
    19.615497695	151465691	r008
    19.615497695	40671758	r013
    20.118496247	100599179	r011
    20.118496247	12866637	r004
    20.118496247	30924952	r014
    20.118496247	97569442	r008
    20.118496247	12869948	r013
    20.621128633	100525974	r011
    20.621128633	11969638	r004
    20.621128633	29850564	r014
    20.621128633	101708343	r008
    20.621128633	11973193	r013
    21.124138435	100601595	r011
    21.124138435	11224983	r004
    21.124138435	29497451	r014
    21.124138435	105914832	r008
    21.124138435	11228239	r013
    21.626964445	100564963	r011
    21.626964445	3193157	r004
    21.626964445	33681404	r014
    21.626964445	139326735	r008
    21.626964445	3196003	r013
    22.129962164	100600479	r011
    22.129962164	13219979	r004
    22.129962164	34921674	r014
    22.129962164	86749649	r008
    22.129962164	13223459	r013
    22.633023424	100612632	r011
    22.633023424	36036425	r004
    22.633023424	34339571	r014
    22.633023424	109046251	r008
    22.633023424	36039683	r013
    23.135708352	100536678	r011
    23.135708352	21305024	r004
    23.135708352	32046675	r014
    23.135708352	105287454	r008
    23.135708352	21308415	r013
    23.638776237	100615280	r011
    23.638776237	4516130	r004
    23.638776237	31822610	r014
    23.638776237	146502558	r008
    23.638776237	4519076	r013
    24.141390831	100520797	r011
    24.141390831	10545216	r004
    24.141390831	29472817	r014
    24.141390831	110996686	r008
    24.141390831	10548464	r013
    24.644467508	100616344	r011
    24.644467508	12114325	r004
    24.644467508	29825003	r014
    24.644467508	97219437	r008
    24.644467508	12117722	r013
    25.147432268	100536019	r011
    25.147432268	11147444	r004
    25.147432268	35076320	r014
    25.147432268	79827659	r008
    25.147432268	11160980	r013
    25.650066321	100585108	r011
    25.650066321	36854618	r004
    25.650066321	38440940	r014
    25.650066321	151216190	r008
    25.650066321	36847139	r013
    26.153056206	100598007	r011
    26.153056206	11975560	r004
    26.153056206	32567157	r014
    26.153056206	120448457	r008
    26.153056206	11978456	r013
    26.656203466	100620924	r011
    26.656203466	12254565	r004
    26.656203466	29748397	r014
    26.656203466	100688893	r008
    26.656203466	12257726	r013
    27.159256851	100611515	r011
    27.159256851	12782995	r004
    27.159256851	29289202	r014
    27.159256851	98284191	r008
    27.159256851	12786172	r013
    27.661876112	100525195	r011
    27.661876112	5644140	r004
    27.661876112	32243022	r014
    27.661876112	129109814	r008
    27.661876112	5646817	r013
    28.164809706	100586233	r011
    28.164809706	12530553	r004
    28.164809706	38069735	r014
    28.164809706	109348384	r008
    28.164809706	12533466	r013
    28.667629925	100563809	r011
    28.667629925	37784396	r004
    28.667629925	33853300	r014
    28.667629925	111966843	r008
    28.667629925	37787662	r013
    29.170299145	100533626	r011
    29.170299145	16305146	r004
    29.170299145	31275060	r014
    29.170299145	98620263	r008
    29.170299145	16308408	r013
    29.673541071	100649556	r011
    29.673541071	8632966	r004
    29.673541071	30726056	r014
    29.673541071	121319626	r008
    29.673541071	8635814	r013
    30.176139165	100519722	r011
    30.176139165	5073248	r004
    30.176139165	30479029	r014
    30.176139165	143345338	r008
    30.176139165	5075887	r013
    30.679120342	100595581	r011
    30.679120342	11678147	r004
    30.679120342	32000587	r014
    30.679120342	91028844	r008
    30.679120342	11681155	r013
    31.181957311	100568171	r011
    31.181957311	11926536	r004
    31.181957311	34747967	r014
    31.181957311	83696380	r008
    31.181957311	11929611	r013
    31.685051738	100617977	r011
    31.685051738	38368691	r004
    31.685051738	35775228	r014
    31.685051738	124813776	r008
    31.685051738	38371806	r013
    32.187946040	100580334	r011
    32.187946040	10834905	r004
    32.187946040	33997233	r014
    32.187946040	145109030	r008
    32.187946040	10837608	r013
    32.690531885	100515840	r011
    32.690531885	11897038	r004
    32.690531885	29738179	r014
    32.690531885	102239454	r008
    32.690531885	11900254	r013
    33.193754728	100644855	r011
    33.193754728	12437908	r004
    33.193754728	29175046	r014
    33.193754728	100319325	r008
    33.193754728	12441117	r013
    33.696497697	100548910	r011
    33.696497697	10077717	r004
    33.696497697	30761191	r014
    33.696497697	105439057	r008
    33.696497697	10080843	r013
    34.199452999	100592855	r011
    34.199452999	13355245	r004
    34.199452999	40828605	r014
    34.199452999	129394277	r008
    34.199452999	13357855	r013
    34.702421051	100527999	r011
    34.702421051	37244020	r004
    34.702421051	33565944	r014
    34.702421051	110287303	r008
    34.702421051	37258042	r013
    35.205065770	100593219	r011
    35.205065770	12704772	r004
    35.205065770	30878913	r014
    35.205065770	96982995	r008
    35.205065770	12696994	r013
    35.708046114	100594023	r011
    35.708046114	12237599	r004
    35.708046114	29865296	r014
    35.708046114	100530175	r008
    35.708046114	12240700	r013
    36.210776625	100550422	r011
    36.210776625	2991184	r004
    36.210776625	30945006	r014
    36.210776625	156098037	r008
    36.210776625	2993800	r013
    36.713917176	100625528	r011
    36.713917176	9373083	r004
    36.713917176	33885284	r014
    36.713917176	96802624	r008
    36.713917176	9376179	r013
    37.216570021	100530019	r011
    37.216570021	16279000	r004
    37.216570021	34436425	r014
    37.216570021	88800795	r008
    37.216570021	16282169	r013
    37.719539114	100593996	r011
    37.719539114	37628763	r004
    37.719539114	34158355	r014
    37.719539114	113574467	r008
    37.719539114	37631910	r013
    38.222403833	100528711	r011
    38.222403833	10413688	r004
    38.222403833	33516894	r014
    38.222403833	139915002	r008
    38.222403833	10416559	r013
    38.724998303	100564098	r011
    38.724998303	9238832	r004
    38.724998303	30222804	r014
    38.724998303	118361457	r008
    38.724998303	9241911	r013
    39.227968105	100581035	r011
    39.227968105	13475994	r004
    39.227968105	28993177	r014
    39.227968105	94349571	r008
    39.227968105	13479108	r013
    39.730903657	100587139	r011
    39.730903657	11776412	r004
    39.730903657	30446179	r014
    39.730903657	95600125	r008
    39.730903657	11779696	r013
    40.233764917	100573510	r011
    40.233764917	10708485	r004
    40.233764917	38544369	r014
    40.233764917	109443842	r008
    40.233764917	10711258	r013
    40.737454259	100687304	r011
    40.737454259	38875379	r004
    40.737454259	36105562	r014
    40.737454259	135481555	r008
    40.737454259	38878245	r013
    41.240499728	100657748	r011
    41.240499728	12603793	r004
    41.240499728	30638133	r014
    41.240499728	98136518	r008
    41.240499728	12607114	r013
    41.744042987	100710075	r011
    41.744042987	11003454	r004
    41.744042987	30067606	r014
    41.744042987	107880629	r008
    41.744042987	11006679	r013
    42.247055164	100602454	r011
    42.247055164	7749530	r004
    42.247055164	29968280	r014
    42.247055164	126899236	r008
    42.247055164	7752576	r013
    42.750264465	100642216	r011
    42.750264465	6207190	r004
    42.750264465	34724129	r014
    42.750264465	114566894	r008
    42.750264465	6209981	r013
    43.253657099	100677680	r011
    43.253657099	17586002	r004
    43.253657099	35133209	r014
    43.253657099	94153849	r008
    43.253657099	17589260	r013
    43.756716360	100612185	r011
    43.756716360	38004534	r004
    43.756716360	33883094	r014
    43.756716360	112733186	r008
    43.756716360	38007764	r013
    44.260079536	100673284	r011
    44.260079536	13770305	r004
    44.260079536	31817483	r014
    44.260079536	109219535	r008
    44.260079536	13773386	r013
    44.763422212	100670121	r011
    44.763422212	3609582	r004
    44.763422212	31559426	r014
    44.763422212	152463942	r008
    44.763422212	3612163	r013
    45.266496763	100613294	r011
    45.266496763	12629199	r004
    45.266496763	29197328	r014
    45.266496763	99347388	r008
    45.266496763	12632369	r013
    45.770342022	100768704	r011
    45.770342022	12264765	r004
    45.770342022	31395839	r014
    45.770342022	88576441	r008
    45.770342022	12267797	r013
    46.273706198	100665921	r011
    46.273706198	11161861	r004
    46.273706198	35385431	r014
    46.273706198	87289328	r008
    46.273706198	11164858	r013
    46.776954582	100648195	r011
    46.776954582	38424915	r004
    46.776954582	38698801	r014
    46.776954582	162229269	r008
    46.776954582	38427541	r013
    47.280273509	100662503	r011
    47.280273509	10253708	r004
    47.280273509	30883982	r014
    47.280273509	112538252	r008
    47.280273509	10256896	r013
    47.783686226	100685380	r011
    47.783686226	1943591	r004
    47.783686226	31472495	r014
    47.783686226	162999046	r008
    47.783686226	1945989	r013
    48.286600403	100582845	r011
    48.286600403	1343189	r004
    48.286600403	37522357	r014
    48.286600403	135467683	r008
    48.286600403	1345512	r013
    48.789773705	100634662	r011
    48.789773705	36894460	r004
    48.789773705	39305870	r014
    48.789773705	164863380	r008
    48.789773705	36896830	r013
    49.292941715	100634320	r011
    49.292941715	2014806	r004
    49.292941715	33252251	r014
    49.292941715	161833755	r008
    49.292941715	2017243	r013
    49.795833892	100578832	r011
    49.795833892	1914481	r004
    49.795833892	31140054	r014
    49.795833892	163243864	r008
    49.795833892	1916988	r013
    50.299017568	100636420	r011
    50.299017568	5017553	r004
    50.299017568	40297849	r014
    50.299017568	132990926	r008
    50.299017568	5019894	r013
    50.801909079	100579050	r011
    50.801909079	33283489	r004
    50.801909079	38858690	r014
    50.801909079	172016632	r008
    50.801909079	33285898	r013
    51.305243672	100666792	r011
    51.305243672	1965621	r004
    51.305243672	32212624	r014
    51.305243672	162650091	r008
    51.305243672	1968009	r013
    51.808612598	100673327	r011
    51.808612598	1752013	r004
    51.808612598	32906852	r014
    51.808612598	154712645	r008
    51.808612598	1754471	r013
    52.311526900	100583659	r011
    52.311526900	18502092	r004
    52.311526900	40358910	r014
    52.311526900	141590600	r008
    52.311526900	18504540	r013
    52.814735868	100642173	r011
    52.814735868	19969663	r004
    52.814735868	36093303	r014
    52.814735868	165371094	r008
    52.814735868	19972090	r013
    53.317652587	100583968	r011
    53.317652587	1947367	r004
    53.317652587	31596285	r014
    53.317652587	162806825	r008
    53.317652587	1949775	r013
    53.820028098	100474416	r011
    53.820028098	1438578	r004
    53.820028098	32987587	r014
    53.820028098	137050710	r008
    53.820028098	1440993	r013
    54.322631026	100521478	r011
    54.322631026	32420569	r004
    54.322631026	41108199	r014
    54.322631026	162850630	r008
    54.322631026	32422983	r013
    54.825002788	100474598	r011
    54.825002788	6264161	r004
    54.825002788	34945481	r014
    54.825002788	160400234	r008
    54.825002788	6266568	r013
    55.327459799	100491507	r011
    55.327459799	1923523	r004
    55.327459799	31272544	r014
    55.327459799	162970231	r008
    55.327459799	1925867	r013
    55.829821436	100472902	r011
    55.829821436	1163043	r004
    55.829821436	38665138	r014
    55.829821436	132186491	r008
    55.829821436	1165331	r013
    56.332419239	100472431	r011
    56.332419239	37075084	r004
    56.332419239	39952111	r014
    56.332419239	174499213	r008
    56.332419239	37077418	r013
    56.835689332	100701108	r011
    56.835689332	1946650	r004
    56.835689332	32629805	r014
    56.835689332	162544849	r008
    56.835689332	1948998	r013
    57.338354343	100533329	r011
    57.338354343	1872285	r004
    57.338354343	31283342	r014
    57.338354343	161229398	r008
    57.338354343	1874686	r013
    57.840711313	100471669	r011
    57.840711313	9652158	r004
    57.840711313	40710560	r014
    57.840711313	131647071	r008
    57.840711313	9654452	r013
    58.343433116	100544772	r011
    58.343433116	28595329	r004
    58.343433116	37380368	r014
    58.343433116	168615770	r008
    58.343433116	28597652	r013
    58.845803377	100474671	r011
    58.845803377	1935571	r004
    58.845803377	31843493	r014
    58.845803377	162621697	r008
    58.845803377	1937933	r013
    59.348449222	100528915	r011
    59.348449222	1587159	r004
    59.348449222	32320292	r014
    59.348449222	145014586	r008
    59.348449222	1589511	r013
    59.850841025	100478529	r011
    59.850841025	24946403	r004
    59.850841025	40024146	r014
    59.850841025	148909787	r008
    59.850841025	24948740	r013
    60.353489911	100530145	r011
    60.353489911	13551332	r004
    60.353489911	35807297	r014
    60.353489911	161716612	r008
    60.353489911	13553733	r013
    60.855877173	100477528	r011
    60.855877173	1915802	r004
    60.855877173	31500728	r014
    60.855877173	162796934	r008
    60.855877173	1918107	r013
    61.358545809	100533733	r011
    61.358545809	1357138	r004
    61.358545809	33520685	r014
    61.358545809	131313624	r008
    61.358545809	1359504	r013
    61.861081362	100507516	r011
    61.861081362	36486208	r004
    61.861081362	40714961	r014
    61.861081362	168763039	r008
    61.861081362	36488513	r013
    62.363741748	100532711	r011
    62.363741748	2293448	r004
    62.363741748	33642923	r014
    62.363741748	161750361	r008
    62.363741748	2295832	r013
    62.866101718	100471851	r011
    62.866101718	1907406	r004
    62.866101718	31136589	r014
    62.866101718	163081390	r008
    62.866101718	1909792	r013
    63.368721520	100524120	r011
    63.368721520	3805511	r004
    63.368721520	39795734	r014
    63.368721520	132462416	r008
    63.368721520	3807767	r013
    63.871091574	100474681	r011
    63.871091574	34438842	r004
    63.871091574	39075039	r014
    63.871091574	173299319	r008
    63.871091574	34441224	r013
    64.373718002	100525443	r011
    64.373718002	1935029	r004
    64.373718002	32253405	r014
    64.373718002	162640302	r008
    64.373718002	1937348	r013
    64.876101347	100476850	r011
    64.876101347	1758890	r004
    64.876101347	32450357	r014
    64.876101347	156017225	r008
    64.876101347	1761220	r013
    65.378751483	100530451	r011
    65.378751483	16391914	r004
    65.378751483	40441078	r014
    65.378751483	139257654	r008
    65.378751483	16394319	r013
    65.881110203	100471909	r011
    65.881110203	21983498	r004
    65.881110203	37046667	r014
    65.881110203	165252570	r008
    65.881110203	21985890	r013
    66.384103755	100598716	r011
    66.384103755	1938135	r004
    66.384103755	31639291	r014
    66.384103755	162932698	r008
    66.384103755	1940586	r013
    66.886800307	100534108	r011
    66.886800307	1499222	r004
    66.886800307	33389618	r014
    66.886800307	139987969	r008
    66.886800307	1501617	r013
    67.389830192	100606330	r011
    67.389830192	31355065	r004
    67.389830192	41273921	r014
    67.389830192	161524975	r008
    67.389830192	31357546	r013
    67.892450912	100524265	r011
    67.892450912	7341776	r004
    67.892450912	35781620	r014
    67.892450912	159976184	r008
    67.892450912	7344211	r013
    68.394966090	100503370	r011
    68.394966090	1909534	r004
    68.394966090	31314023	r014
    68.394966090	163086655	r008
    68.394966090	1911913	r013
    68.897703976	100547625	r011
    68.897703976	1237744	r004
    68.897703976	38305335	r014
    68.897703976	132527228	r008
    68.897703976	1240227	r013
    69.400224279	100504072	r011
    69.400224279	37032317	r004
    69.400224279	40384194	r014
    69.400224279	172948800	r008
    69.400224279	37034732	r013
    69.903031706	100561785	r011
    69.903031706	1973271	r004
    69.903031706	32687211	r014
    69.903031706	162233496	r008
    69.903031706	1975685	r013
    70.405561967	100506869	r011
    70.405561967	1907556	r004
    70.405561967	30967222	r014
    70.405561967	163268677	r008
    70.405561967	1909901	r013
    70.908346895	100556971	r011
    70.908346895	9655272	r004
    70.908346895	42216986	r014
    70.908346895	135662687	r008
    70.908346895	9657656	r013
    71.410866156	100504124	r011
    71.410866156	28620305	r004
    71.410866156	37456396	r014
    71.410866156	168713318	r008
    71.410866156	28622642	r013
    71.914030791	100597578	r011
    71.914030791	1945052	r004
    71.914030791	31868797	r014
    71.914030791	162748316	r008
    71.914030791	1947482	r013
    72.416559844	100506386	r011
    72.416559844	1575085	r004
    72.416559844	34439600	r014
    72.416559844	148296177	r008
    72.416559844	1577318	r013
    72.919356521	100558944	r011
    72.919356521	26003805	r004
    72.919356521	39933080	r014
    72.919356521	149395185	r008
    72.919356521	26006133	r013
    73.421870949	100503379	r011
    73.421870949	12555885	r004
    73.421870949	35028544	r014
    73.421870949	163262514	r008
    73.421870949	12558219	r013
    73.924656043	100557446	r011
    73.924656043	1928981	r004
    73.924656043	31440015	r014
    73.924656043	163009054	r008
    73.924656043	1931295	r013
    74.427471429	100562185	r011
    74.427471429	1326022	r004
    74.427471429	37475317	r014
    74.427471429	135561300	r008
    74.427471429	1328379	r013
    74.929997399	100506343	r011
    74.929997399	36925436	r004
    74.929997399	40534692	r014
    74.929997399	171252696	r008
    74.929997399	36927815	r013
    75.432807409	100562254	r011
    75.432807409	1965392	r004
    75.432807409	33024554	r014
    75.432807409	162160483	r008
    75.432807409	1967739	r013
    75.935929628	100624113	r011
    75.935929628	1932530	r004
    75.935929628	31100177	r014
    75.935929628	163217383	r008
    75.935929628	1934871	r013
    76.439255346	100665564	r011
    76.439255346	6542888	r004
    76.439255346	41085265	r014
    76.439255346	134472773	r008
    76.439255346	6545245	r013
    76.942700688	100689458	r011
    76.942700688	31800748	r004
    76.942700688	38271444	r014
    76.942700688	170794604	r008
    76.942700688	31803066	r013
    77.445745740	100609099	r011
    77.445745740	1950561	r004
    77.445745740	32099029	r014
    77.445745740	162727726	r008
    77.445745740	1952968	r013
    77.949099833	100671245	r011
    77.949099833	1712069	r004
    77.949099833	33384072	r014
    77.949099833	152551271	r008
    77.949099833	1714331	r013
    78.452310509	100605833	r011
    78.452310509	21482499	r004
    78.452310509	40291713	r014
    78.452310509	145133517	r008
    78.452310509	21491394	r013
    78.955364519	100647528	r011
    78.955364519	17033000	r004
    78.955364519	35722721	r014
    78.955364519	164214646	r008
    78.955364519	17028836	r013
    79.458822112	100691963	r011
