Start:	1428606092506900057
Event1 Name:	r0FF
Event2 Name:	r01B
Event3 Name:	r073
Event4 Name:	r075
Event5 Name:	r004
Event6 Name:	r016
Event7 Name:	r017
     0.500372921	34373139	r0FF
     0.500372921	689633	r01B
     0.500372921	59847	r073
     0.500372921	0	r075
     0.500372921	6015187	r004
     0.500372921	689885	r016
     0.500372921	59865	r017
     1.001150466	20968091	r0FF
     1.001150466	337607	r01B
     1.001150466	24498	r073
     1.001150466	0	r075
     1.001150466	2551088	r004
     1.001150466	337605	r016
     1.001150466	24498	r017
     1.512226661	17789779	r0FF
     1.512226661	315295	r01B
     1.512226661	6167	r073
     1.512226661	0	r075
     1.512226661	1870256	r004
     1.512226661	315315	r016
     1.512226661	6158	r017
     2.013004915	19946164	r0FF
     2.013004915	363472	r01B
     2.013004915	10235	r073
     2.013004915	0	r075
     2.013004915	2265388	r004
     2.013004915	363466	r016
     2.013004915	10237	r017
     2.513769419	15210097	r0FF
     2.513769419	203907	r01B
     2.513769419	1820	r073
     2.513769419	0	r075
     2.513769419	1454513	r004
     2.513769419	203899	r016
     2.513769419	1815	r017
     3.014600214	8454532	r0FF
     3.014600214	136623	r01B
     3.014600214	1850	r073
     3.014600214	0	r075
     3.014600214	975579	r004
     3.014600214	136639	r016
     3.014600214	1869	r017
     3.515384218	12884999	r0FF
     3.515384218	252965	r01B
     3.515384218	2044	r073
     3.515384218	0	r075
     3.515384218	1503794	r004
     3.515384218	252942	r016
     3.515384218	2027	r017
     4.016156972	17297486	r0FF
     4.016156972	255484	r01B
     4.016156972	2315	r073
     4.016156972	0	r075
     4.016156972	1819912	r004
     4.016156972	255515	r016
     4.016156972	2310	r017
     4.516895184	15728504	r0FF
     4.516895184	219420	r01B
     4.516895184	1934	r073
     4.516895184	0	r075
     4.516895184	1544961	r004
     4.516895184	219268	r016
     4.516895184	1934	r017
     5.017630271	16035076	r0FF
     5.017630271	276601	r01B
     5.017630271	2290	r073
     5.017630271	0	r075
     5.017630271	1577694	r004
     5.017630271	276613	r016
     5.017630271	2292	r017
     5.518392358	14129005	r0FF
     5.518392358	220170	r01B
     5.518392358	3409	r073
     5.518392358	0	r075
     5.518392358	1680078	r004
     5.518392358	220285	r016
     5.518392358	3410	r017
     6.019141571	15596376	r0FF
     6.019141571	311563	r01B
     6.019141571	3013	r073
     6.019141571	0	r075
     6.019141571	2324555	r004
     6.019141571	311472	r016
     6.019141571	3013	r017
     6.519950283	15664440	r0FF
     6.519950283	226638	r01B
     6.519950283	1991	r073
     6.519950283	0	r075
     6.519950283	1530237	r004
     6.519950283	226624	r016
     6.519950283	1991	r017
     7.020687745	19744022	r0FF
     7.020687745	352911	r01B
     7.020687745	17547	r073
     7.020687745	0	r075
     7.020687745	2115155	r004
     7.020687745	352904	r016
     7.020687745	17557	r017
     7.521435874	17146926	r0FF
     7.521435874	272620	r01B
     7.521435874	7213	r073
     7.521435874	0	r075
     7.521435874	1752740	r004
     7.521435874	272622	r016
     7.521435874	7205	r017
     8.022179628	15519459	r0FF
     8.022179628	304322	r01B
     8.022179628	2988	r073
     8.022179628	0	r075
     8.022179628	1625119	r004
     8.022179628	304310	r016
     8.022179628	2988	r017
     8.522960591	8052986	r0FF
     8.522960591	158769	r01B
     8.522960591	1168	r073
     8.522960591	0	r075
     8.522960591	1319354	r004
     8.522960591	158899	r016
     8.522960591	1164	r017
     9.023709678	15832529	r0FF
     9.023709678	276871	r01B
     9.023709678	2220	r073
     9.023709678	0	r075
     9.023709678	1537271	r004
     9.023709678	276750	r016
     9.023709678	2220	r017
     9.524431974	16388354	r0FF
     9.524431974	242260	r01B
     9.524431974	3236	r073
     9.524431974	0	r075
     9.524431974	1648259	r004
     9.524431974	242325	r016
     9.524431974	3290	r017
    10.025273937	18609824	r0FF
    10.025273937	339228	r01B
    10.025273937	3426	r073
    10.025273937	0	r075
    10.025273937	2040329	r004
    10.025273937	339306	r016
    10.025273937	3373	r017
    10.526084732	15683549	r0FF
    10.526084732	264805	r01B
    10.526084732	1942	r073
    10.526084732	0	r075
    10.526084732	1515416	r004
    10.526084732	264794	r016
    10.526084732	1940	r017
    11.026723612	9287621	r0FF
    11.026723612	188282	r01B
    11.026723612	1997	r073
    11.026723612	0	r075
    11.026723612	1510011	r004
    11.026723612	188163	r016
    11.026723612	1999	r017
    11.527401158	14928945	r0FF
    11.527401158	205311	r01B
    11.527401158	2171	r073
    11.527401158	0	r075
    11.527401158	1535648	r004
    11.527401158	205412	r016
    11.527401158	2168	r017
    12.028082454	17554755	r0FF
    12.028082454	317685	r01B
    12.028082454	2720	r073
    12.028082454	0	r075
    12.028082454	1857080	r004
    12.028082454	317692	r016
    12.028082454	2720	r017
    12.528799541	17338911	r0FF
    12.528799541	306427	r01B
    12.528799541	14083	r073
    12.528799541	0	r075
    12.528799541	1696899	r004
    12.528799541	306267	r016
    12.528799541	14139	r017
    13.029474754	15939503	r0FF
    13.029474754	226582	r01B
    13.029474754	5602	r073
    13.029474754	0	r075
    13.029474754	1554812	r004
    13.029474754	226749	r016
    13.029474754	5552	r017
    13.530228342	10260848	r0FF
    13.530228342	190412	r01B
    13.530228342	2484	r073
    13.530228342	0	r075
    13.530228342	1479131	r004
    13.530228342	190282	r016
    13.530228342	2480	r017
    14.030881388	14776337	r0FF
    14.030881388	275467	r01B
    14.030881388	2566	r073
    14.030881388	0	r075
    14.030881388	1684716	r004
    14.030881388	275453	r016
    14.030881388	2568	r017
    14.531535851	15368166	r0FF
    14.531535851	231820	r01B
    14.531535851	1887	r073
    14.531535851	0	r075
    14.531535851	1476497	r004
    14.531535851	231860	r016
    14.531535851	1886	r017
    15.032191147	15760128	r0FF
    15.032191147	231725	r01B
    15.032191147	2438	r073
    15.032191147	0	r075
    15.032191147	1553654	r004
    15.032191147	231711	r016
    15.032191147	2439	r017
    15.532832444	15801491	r0FF
    15.532832444	267174	r01B
    15.532832444	2139	r073
    15.532832444	0	r075
    15.532832444	1539651	r004
    15.532832444	267155	r016
    15.532832444	2137	r017
    16.033472907	12749237	r0FF
    16.033472907	226629	r01B
    16.033472907	1631	r073
    16.033472907	0	r075
    16.033472907	1719531	r004
    16.033472907	226643	r016
    16.033472907	1632	r017
    16.534124620	12581708	r0FF
    16.534124620	209003	r01B
    16.534124620	1734	r073
    16.534124620	0	r075
    16.534124620	1543969	r004
    16.534124620	209000	r016
    16.534124620	1732	r017
    17.034770791	15661566	r0FF
    17.034770791	220332	r01B
    17.034770791	1750	r073
    17.034770791	0	r075
    17.034770791	1548550	r004
    17.034770791	220353	r016
    17.034770791	1750	r017
    17.535532796	15176371	r0FF
    17.535532796	256184	r01B
    17.535532796	6216	r073
    17.535532796	0	r075
    17.535532796	1381881	r004
    17.535532796	256304	r016
    17.535532796	6223	r017
    18.036210300	16920003	r0FF
    18.036210300	267141	r01B
    18.036210300	3132	r073
    18.036210300	0	r075
    18.036210300	1761071	r004
    18.036210300	267108	r016
    18.036210300	3128	r017
    18.536888889	13851064	r0FF
    18.536888889	252367	r01B
    18.536888889	9680	r073
    18.536888889	0	r075
    18.536888889	1640156	r004
    18.536888889	252373	r016
    18.536888889	9687	r017
    19.037574185	12979332	r0FF
    19.037574185	230603	r01B
    19.037574185	8363	r073
    19.037574185	0	r075
    19.037574185	1754275	r004
    19.037574185	230591	r016
    19.037574185	8360	r017
    19.538245523	15919087	r0FF
    19.538245523	264453	r01B
    19.538245523	3064	r073
    19.538245523	0	r075
    19.538245523	1555206	r004
    19.538245523	264455	r016
    19.538245523	3060	r017
    20.038900445	17255842	r0FF
    20.038900445	258485	r01B
    20.038900445	2811	r073
    20.038900445	0	r075
    20.038900445	1823092	r004
    20.038900445	258393	r016
    20.038900445	2811	r017
    20.539577950	15954855	r0FF
    20.539577950	255898	r01B
    20.539577950	2107	r073
    20.539577950	0	r075
    20.539577950	1579907	r004
    20.539577950	255872	r016
    20.539577950	2117	r017
    21.040270413	13714707	r0FF
    21.040270413	269142	r01B
    21.040270413	1958	r073
    21.040270413	0	r075
    21.040270413	1443100	r004
    21.040270413	269142	r016
    21.040270413	1946	r017
    21.540953209	10049637	r0FF
    21.540953209	200919	r01B
    21.540953209	2683	r073
    21.540953209	0	r075
    21.540953209	1484736	r004
    21.540953209	200952	r016
    21.540953209	2686	r017
    22.041606673	17268874	r0FF
    22.041606673	259894	r01B
    22.041606673	2560	r073
    22.041606673	0	r075
    22.041606673	1824686	r004
    22.041606673	259881	r016
    22.041606673	2556	r017
    22.542452136	14911594	r0FF
    22.542452136	250185	r01B
    22.542452136	5657	r073
    22.542452136	0	r075
    22.542452136	1335663	r004
    22.542452136	250201	r016
    22.542452136	5663	r017
    23.043119974	16032803	r0FF
    23.043119974	255406	r01B
    23.043119974	3025	r073
    23.043119974	0	r075
    23.043119974	1580093	r004
    23.043119974	255402	r016
    23.043119974	3021	r017
    23.543781521	14837115	r0FF
    23.543781521	205507	r01B
    23.543781521	1674	r073
    23.543781521	0	r075
    23.543781521	1475673	r004
    23.543781521	205474	r016
    23.543781521	1673	r017
    24.044451318	9470793	r0FF
    24.044451318	200564	r01B
    24.044451318	1547	r073
    24.044451318	0	r075
    24.044451318	1602380	r004
    24.044451318	200580	r016
    24.044451318	1548	r017
    24.545150573	17627630	r0FF
    24.545150573	302817	r01B
    24.545150573	10704	r073
    24.545150573	0	r075
    24.545150573	1791756	r004
    24.545150573	302817	r016
    24.545150573	10713	r017
    25.045815786	16022197	r0FF
    25.045815786	231100	r01B
    25.045815786	4912	r073
    25.045815786	0	r075
    25.045815786	1575833	r004
    25.045815786	231102	r016
    25.045815786	4906	r017
    25.546490541	15975121	r0FF
    25.546490541	220944	r01B
    25.546490541	3002	r073
    25.546490541	0	r075
    25.546490541	1585852	r004
    25.546490541	220945	r016
    25.546490541	3000	r017
    26.047142046	17133780	r0FF
    26.047142046	317331	r01B
    26.047142046	3047	r073
    26.047142046	0	r075
    26.047142046	1767507	r004
    26.047142046	317321	r016
    26.047142046	3045	r017
    26.547914135	8610648	r0FF
    26.547914135	168426	r01B
