Start:	1428583806967759957
Event1 Name:	r0FF
Event2 Name:	r01B
Event3 Name:	r073
Event4 Name:	r075
Event5 Name:	r004
Event6 Name:	r016
Event7 Name:	r017
     0.500330846	29846415	r0FF
     0.500330846	27878961	r01B
     0.500330846	13665132	r073
     0.500330846	554	r075
     0.500330846	8346993	r004
     0.500330846	974899	r016
     0.500330846	169852	r017
     1.001286357	1940691	r0FF
     1.001286357	382068	r01B
     1.001286357	213628	r073
     1.001286357	0	r075
     1.001286357	121956	r004
     1.001286357	11795	r016
     1.001286357	921	r017
     1.502086369	1989801	r0FF
     1.502086369	398115	r01B
     1.502086369	225373	r073
     1.502086369	0	r075
     1.502086369	126552	r004
     1.502086369	11453	r016
     1.502086369	766	r017
     2.002923464	1319245	r0FF
     2.002923464	394192	r01B
     2.002923464	221857	r073
     2.002923464	0	r075
     2.002923464	127012	r004
     2.002923464	10909	r016
     2.002923464	715	r017
     2.503755934	1499767	r0FF
     2.503755934	412613	r01B
     2.503755934	230544	r073
     2.503755934	0	r075
     2.503755934	132501	r004
     2.503755934	13143	r016
     2.503755934	875	r017
     3.004538279	1776101	r0FF
     3.004538279	311325	r01B
     3.004538279	176060	r073
     3.004538279	0	r075
     3.004538279	99540	r004
     3.004538279	9244	r016
     3.004538279	657	r017
     3.505321207	2140883	r0FF
     3.505321207	490494	r01B
     3.505321207	274713	r073
     3.505321207	0	r075
     3.505321207	157731	r004
     3.505321207	15799	r016
     3.505321207	917	r017
     4.006122385	716719	r0FF
     4.006122385	317353	r01B
     4.006122385	177889	r073
     4.006122385	0	r075
     4.006122385	103036	r004
     4.006122385	8760	r016
     4.006122385	683	r017
     4.506932771	2394343	r0FF
     4.506932771	524374	r01B
     4.506932771	294280	r073
     4.506932771	0	r075
     4.506932771	167507	r004
     4.506932771	18079	r016
     4.506932771	1017	r017
     5.007752533	2009741	r0FF
     5.007752533	370081	r01B
     5.007752533	206587	r073
     5.007752533	0	r075
     5.007752533	120991	r004
     5.007752533	11748	r016
     5.007752533	729	r017
     5.508533878	1482482	r0FF
     5.508533878	362654	r01B
     5.508533878	203832	r073
     5.508533878	0	r075
     5.508533878	116245	r004
     5.508533878	10875	r016
     5.508533878	760	r017
     6.009345222	1365246	r0FF
     6.009345222	428916	r01B
     6.009345222	240270	r073
     6.009345222	0	r075
     6.009345222	138587	r004
     6.009345222	12411	r016
     6.009345222	873	r017
     6.510159734	2010086	r0FF
     6.510159734	403543	r01B
     6.510159734	225977	r073
     6.510159734	0	r075
     6.510159734	128727	r004
     6.510159734	11952	r016
     6.510159734	704	r017
     7.011047495	1851319	r0FF
     7.011047495	313202	r01B
     7.011047495	176694	r073
     7.011047495	0	r075
     7.011047495	100355	r004
     7.011047495	9246	r016
     7.011047495	659	r017
     7.512125964	1191526	r0FF
     7.512125964	480449	r01B
     7.512125964	269258	r073
     7.512125964	0	r075
     7.512125964	153426	r004
     7.512125964	13806	r016
     7.512125964	805	r017
     8.013043684	1463730	r0FF
     8.013043684	237721	r01B
     8.013043684	134193	r073
     8.013043684	0	r075
     8.013043684	76826	r004
     8.013043684	6202	r016
     8.013043684	503	r017
     8.513862820	2255497	r0FF
     8.513862820	542951	r01B
     8.513862820	304188	r073
     8.513862820	0	r075
     8.513862820	174224	r004
     8.513862820	17129	r016
     8.513862820	868	r017
     9.014729373	1496094	r0FF
     9.014729373	307205	r01B
     9.014729373	173320	r073
     9.014729373	0	r075
     9.014729373	99164	r004
     9.014729373	8722	r016
     9.014729373	617	r017
     9.515547551	1141008	r0FF
     9.515547551	417306	r01B
     9.515547551	234122	r073
     9.515547551	0	r075
     9.515547551	133551	r004
     9.515547551	12436	r016
     9.515547551	834	r017
    10.016350521	2116217	r0FF
    10.016350521	477357	r01B
    10.016350521	267063	r073
    10.016350521	0	r075
    10.016350521	154453	r004
    10.016350521	15385	r016
    10.016350521	881	r017
    10.517160407	1886447	r0FF
    10.517160407	372092	r01B
    10.517160407	208471	r073
    10.517160407	0	r075
    10.517160407	119703	r004
    10.517160407	11521	r016
    10.517160407	679	r017
    11.018736542	1103704	r0FF
    11.018736542	359822	r01B
    11.018736542	202524	r073
    11.018736542	0	r075
    11.018736542	115485	r004
    11.018736542	9976	r016
    11.018736542	776	r017
    11.519552012	1603108	r0FF
    11.519552012	404627	r01B
    11.519552012	226679	r073
    11.519552012	0	r075
    11.519552012	130515	r004
    11.519552012	12070	r016
    11.519552012	689	r017
    12.020355731	1878666	r0FF
    12.020355731	386603	r01B
    12.020355731	217216	r073
    12.020355731	0	r075
    12.020355731	124070	r004
    12.020355731	10824	r016
    12.020355731	650	r017
    12.521207409	1993320	r0FF
    12.521207409	511155	r01B
    12.521207409	286988	r073
    12.521207409	0	r075
    12.521207409	163781	r004
    12.521207409	16445	r016
    12.521207409	826	r017
    13.022039212	808825	r0FF
    13.022039212	300853	r01B
    13.022039212	168217	r073
    13.022039212	0	r075
    13.022039212	98256	r004
    13.022039212	8786	r016
    13.022039212	575	r017
    13.522905639	2068430	r0FF
    13.522905639	476541	r01B
    13.522905639	268437	r073
    13.522905639	0	r075
    13.522905639	152428	r004
    13.522905639	14457	r016
    13.522905639	879	r017
    14.023737567	1955619	r0FF
    14.023737567	415829	r01B
    14.023737567	231988	r073
    14.023737567	0	r075
    14.023737567	133416	r004
    14.023737567	13005	r016
    14.023737567	799	r017
    14.524555745	1189066	r0FF
    14.524555745	369816	r01B
    14.524555745	209415	r073
    14.524555745	0	r075
    14.524555745	119358	r004
    14.524555745	10829	r016
    14.524555745	628	r017
    15.025375798	1470398	r0FF
    15.025375798	380762	r01B
    15.025375798	214719	r073
    15.025375798	0	r075
    15.025375798	121363	r004
    15.025375798	10964	r016
    15.025375798	719	r017
    15.526176767	1874325	r0FF
    15.526176767	383206	r01B
