Start:	1428544071063479643
Event1 Name:	r0FF
Event2 Name:	r01B
Event3 Name:	r073
Event4 Name:	r075
Event5 Name:	r004
Event6 Name:	r016
Event7 Name:	r017
     0.500276263	249189953	r0FF
     0.500276263	964696	r01B
     0.500276263	63387	r073
     0.500276263	0	r075
     0.500276263	38899006	r004
     0.500276263	964646	r016
     0.500276263	63406	r017
     1.000961816	250345303	r0FF
     1.000961816	738144	r01B
     1.000961816	5560	r073
     1.000961816	0	r075
     1.000961816	37760147	r004
     1.000961816	738136	r016
     1.000961816	5549	r017
     1.501551912	250295890	r0FF
     1.501551912	699146	r01B
     1.501551912	4906	r073
     1.501551912	0	r075
     1.501551912	37744461	r004
     1.501551912	699146	r016
     1.501551912	4905	r017
     2.002139424	250294288	r0FF
     2.002139424	701381	r01B
     2.002139424	4040	r073
     2.002139424	0	r075
     2.002139424	37771565	r004
     2.002139424	701384	r016
     2.002139424	4040	r017
     2.502713228	250286893	r0FF
     2.502713228	710917	r01B
     2.502713228	4030	r073
     2.502713228	0	r075
     2.502713228	37734971	r004
     2.502713228	710923	r016
     2.502713228	4029	r017
     3.003345490	250305788	r0FF
     3.003345490	397061	r01B
     3.003345490	11327	r073
     3.003345490	0	r075
     3.003345490	38290486	r004
     3.003345490	397389	r016
     3.003345490	11361	r017
     3.503936836	250307400	r0FF
     3.503936836	636914	r01B
     3.503936836	5193	r073
     3.503936836	0	r075
     3.503936836	37851271	r004
     3.503936836	636589	r016
     3.503936836	5165	r017
     4.004517848	250290113	r0FF
     4.004517848	673734	r01B
     4.004517848	3902	r073
     4.004517848	0	r075
     4.004517848	37714382	r004
     4.004517848	673726	r016
     4.004517848	3898	r017
     4.505093943	250288626	r0FF
     4.505093943	715191	r01B
     4.505093943	4390	r073
     4.505093943	0	r075
     4.505093943	37741341	r004
     4.505093943	715191	r016
     4.505093943	4389	r017
     5.005668747	250287429	r0FF
     5.005668747	714587	r01B
     5.005668747	3727	r073
     5.005668747	0	r075
     5.005668747	37792243	r004
     5.005668747	714585	r016
     5.005668747	3725	r017
     5.506242343	250288467	r0FF
     5.506242343	433396	r01B
     5.506242343	3169	r073
     5.506242343	0	r075
     5.506242343	38092241	r004
     5.506242343	433400	r016
     5.506242343	3169	r017
     6.006824897	250290492	r0FF
