Start:	1428523003610207311
Event1 Name:	r0FF
Event2 Name:	r01B
Event3 Name:	r073
Event4 Name:	r075
Event5 Name:	r004
Event6 Name:	r016
Event7 Name:	r017
     0.500552765	100315137	r0FF
     0.500552765	48911350	r01B
     0.500552765	21706671	r073
     0.500552765	749645	r075
     0.500552765	17071826	r004
     0.500552765	754765	r016
     0.500552765	45249	r017
     1.001819945	100255031	r0FF
     1.001819945	39387783	r01B
     1.001819945	17736612	r073
     1.001819945	954296	r075
     1.001819945	13658440	r004
     1.001819945	241639	r016
     1.001819945	7726	r017
     1.502967834	100229225	r0FF
     1.502967834	39435443	r01B
     1.502967834	17755785	r073
     1.502967834	956174	r075
     1.502967834	13679892	r004
     1.502967834	213554	r016
     1.502967834	5626	r017
     2.004109180	100228734	r0FF
     2.004109180	39507339	r01B
     2.004109180	17774258	r073
     2.004109180	961526	r075
     2.004109180	13706681	r004
     2.004109180	159376	r016
     2.004109180	4236	r017
     2.505183986	100214707	r0FF
     2.505183986	39379580	r01B
     2.505183986	17739561	r073
     2.505183986	951846	r075
     2.505183986	13658106	r004
     2.505183986	246881	r016
     2.505183986	7439	r017
     3.006280166	100219255	r0FF
     3.006280166	39439273	r01B
     3.006280166	17741137	r073
     3.006280166	959924	r075
     3.006280166	13684132	r004
     3.006280166	190417	r016
     3.006280166	4631	r017
     3.507606096	100266554	r0FF
     3.507606096	39528560	r01B
     3.507606096	17789084	r073
     3.507606096	960186	r075
     3.507606096	13713506	r004
     3.507606096	176472	r016
     3.507606096	4803	r017
     4.008635735	100207360	r0FF
     4.008635735	39407204	r01B
     4.008635735	17752227	r073
     4.008635735	952617	r075
     4.008635735	13661947	r004
     4.008635735	242439	r016
     4.008635735	7345	r017
     4.509753457	100223057	r0FF
     4.509753457	39497346	r01B
     4.509753457	17772409	r073
     4.509753457	960606	r075
     4.509753457	13703353	r004
     4.509753457	172257	r016
     4.509753457	4147	r017
     5.010915554	100226575	r0FF
     5.010915554	39465822	r01B
     5.010915554	17761820	r073
     5.010915554	958766	r075
     5.010915554	13692781	r004
     5.010915554	192605	r016
     5.010915554	5199	r017
     5.512302066	100250107	r0FF
     5.512302066	39420893	r01B
     5.512302066	17759070	r073
     5.512302066	952644	r075
     5.512302066	13675086	r004
     5.512302066	247175	r016
     5.512302066	7508	r017
     6.013487122	100269843	r0FF
     6.013487122	39541850	r01B
     6.013487122	17790224	r073
     6.013487122	962532	r075
     6.013487122	13715074	r004
     6.013487122	157360	r016
     6.013487122	3649	r017
     6.514614677	100227082	r0FF
     6.514614677	39433722	r01B
     6.514614677	17754345	r073
     6.514614677	956082	r075
     6.514614677	13681597	r004
     6.514614677	214857	r016
     6.514614677	5808	r017
     7.015722441	100221726	r0FF
     7.015722441	39399802	r01B
     7.015722441	17745666	r073
     7.015722441	953565	r075
     7.015722441	13660735	r004
     7.015722441	242901	r016
     7.015722441	7131	r017
     7.516887996	100233353	r0FF
     7.516887996	39554258	r01B
     7.516887996	17791881	r073
     7.516887996	964020	r075
     7.516887996	13724412	r004
     7.516887996	137690	r016
     7.516887996	2741	r017
     8.018191884	100261384	r0FF
     8.018191884	39430091	r01B
     8.018191884	17761030	r073
     8.018191884	953760	r075
     8.018191884	13672763	r004
     8.018191884	237227	r016
     8.018191884	6959	r017
     8.519365273	100233054	r0FF
     8.519365273	39414763	r01B
     8.519365273	17750611	r073
     8.519365273	954518	r075
     8.519365273	13669035	r004
     8.519365273	233092	r016
     8.519365273	6509	r017
     9.020484912	100224564	r0FF
     9.020484912	39525132	r01B
     9.020484912	17773049	r073
     9.020484912	964382	r075
     9.020484912	13720049	r004
     9.020484912	138484	r016
     9.020484912	3119	r017
     9.521568634	100217163	r0FF
     9.521568634	39386885	r01B
     9.521568634	17740464	r073
     9.521568634	953314	r075
     9.521568634	13662711	r004
     9.521568634	243364	r016
     9.521568634	7010	r017
    10.023339980	100354441	r0FF
    10.023339980	39497521	r01B
    10.023339980	17783022	r073
    10.023339980	957806	r075
    10.023339980	13703449	r004
    10.023339980	212403	r016
    10.023339980	5709	r017
    10.524526035	100238276	r0FF
    10.524526035	39527596	r01B
    10.524526035	17784793	r073
    10.524526035	961622	r075
    10.524526035	13715767	r004
    10.524526035	159847	r016
    10.524526035	3858	r017
    11.025617258	100217648	r0FF
    11.025617258	39344903	r01B
    11.025617258	17712196	r073
    11.025617258	954162	r075
    11.025617258	13652499	r004
    11.025617258	243630	r016
    11.025617258	6873	r017
    11.526829521	100242794	r0FF
    11.526829521	39499660	r01B
    11.526829521	17779163	r073
    11.526829521	958912	r075
    11.526829521	13700076	r004
    11.526829521	190474	r016
    11.526829521	4752	r017
    12.028163576	100268345	r0FF
    12.028163576	39518985	r01B
    12.028163576	17788492	r073
    12.028163576	959174	r075
    12.028163576	13714524	r004
    12.028163576	182979	r016
    12.028163576	4935	r017
    12.529251382	100217032	r0FF
    12.529251382	39380242	r01B
    12.529251382	17736879	r073
    12.529251382	952794	r075
    12.529251382	13661234	r004
    12.529251382	244988	r016
    12.529251382	6974	r017
    13.030466188	100243805	r0FF
    13.030466188	39470862	r01B
    13.030466188	17747239	r073
    13.030466188	963272	r075
    13.030466188	13700899	r004
    13.030466188	163034	r016
    13.030466188	3943	r017
    13.531599077	100227368	r0FF
    13.531599077	39448013	r01B
    13.531599077	17762572	r073
    13.531599077	956234	r075
    13.531599077	13685909	r004
    13.531599077	207327	r016
    13.531599077	5759	r017
    14.032792632	100238702	r0FF
    14.032792632	39410467	r01B
    14.032792632	17760117	r073
    14.032792632	951989	r075
    14.032792632	13664970	r004
    14.032792632	248116	r016
    14.032792632	7194	r017
    14.533957563	100232705	r0FF
    14.533957563	39540947	r01B
    14.533957563	17784032	r073
    14.533957563	963986	r075
    14.533957563	13722037	r004
    14.533957563	141810	r016
    14.533957563	2595	r017
    15.035099869	100229023	r0FF
    15.035099869	39406184	r01B
    15.035099869	17741925	r073
    15.035099869	955059	r075
    15.035099869	13673910	r004
    15.035099869	228110	r016
    15.035099869	6630	r017
    15.536225174	100224803	r0FF
    15.536225174	39396479	r01B
    15.536225174	17741349	r073
    15.536225174	954243	r075
    15.536225174	13669573	r004
    15.536225174	237272	r016
    15.536225174	6415	r017
    16.037442230	100230340	r0FF
    16.037442230	39559881	r01B
    16.037442230	17794576	r073
    16.037442230	963874	r075
    16.037442230	13729017	r004
    16.037442230	137949	r016
    16.037442230	3109	r017
    16.538523661	100229678	r0FF
    16.538523661	39388660	r01B
    16.538523661	17741696	r073
    16.538523661	952390	r075
    16.538523661	13661760	r004
    16.538523661	246629	r016
    16.538523661	7400	r017
    17.039636217	100223712	r0FF
    17.039636217	39434752	r01B
    17.039636217	17748882	r073
    17.039636217	957809	r075
    17.039636217	13679881	r004
    17.039636217	207316	r016
    17.039636217	5454	r017
    17.540767231	100226160	r0FF
    17.540767231	39522246	r01B
    17.540767231	17782140	r073
    17.540767231	961234	r075
    17.540767231	13713965	r004
    17.540767231	160629	r016
    17.540767231	3882	r017
    18.041838537	100213899	r0FF
    18.041838537	39380207	r01B
    18.041838537	17737511	r073
    18.041838537	952996	r075
    18.041838537	13661026	r004
    18.041838537	243978	r016
    18.041838537	7487	r017
    18.543008260	100234749	r0FF
    18.543008260	39500310	r01B
    18.543008260	17778985	r073
    18.543008260	959314	r075
    18.543008260	13704827	r004
    18.543008260	185492	r016
    18.543008260	4309	r017
    19.044125149	100223535	r0FF
    19.044125149	39433758	r01B
    19.044125149	17739368	r073
    19.044125149	959954	r075
    19.044125149	13687557	r004
    19.044125149	184344	r016
    19.044125149	4866	r017
    19.545174205	100209832	r0FF
    19.545174205	39363628	r01B
    19.545174205	17730262	r073
    19.545174205	952228	r075
    19.545174205	13657249	r004
    19.545174205	246722	r016
    19.545174205	7216	r017
    20.046429469	100251234	r0FF
    20.046429469	39522154	r01B
    20.046429469	17778755	r073
    20.046429469	962156	r075
    20.046429469	13715684	r004
    20.046429469	162583	r016
    20.046429469	3629	r017
