#Timestamp	CPU cycles	L1 Data Cache access	L1 Instructions Cache access	L2 Data Cache access	Bus Access
1453778211343764626	566093697	51008445	314129821	824170	362123
1453778211844306788	700791181	71710144	387129880	385067	82332
1453778212344824660	700729929	77172238	401853827	351238	52894
1453778212845325447	700702028	42464216	388526800	349540	48596
1453778213345817444	700690723	77730834	393601207	334093	46024
1453778213846318023	700698312	75079344	400391159	363827	52936
1453778214346817603	700703252	44897259	383362747	346250	48377
1453778214847309724	700689956	77573600	399658177	342840	48228
1453778215347803303	700691064	66319519	395796544	380991	54125
1453778215848321049	700715041	54079697	386028764	332131	46092
1453778216352296665	705575119	77493256	403658919	366782	56460
1453778216852857494	700788847	57030747	394511093	362167	79109
1453778217353378240	700731156	63589827	385939463	360163	55303
1453778217853945695	700795403	77130542	402207657	350346	49122
1453778218354493357	700727703	46299604	381542655	795648	152003
1453778218855032353	700793527	86127337	372911459	1485570	295974
1453778219355551599	700730029	51704176	366236530	1532813	305502
1453778219856068220	700722415	86940012	375151440	1527437	300944
1453778220356583258	700723048	48678557	374430091	1158156	227117
1453778220857120295	700717765	88758462	369111603	1775466	347990
1453778221357743624	700902135	49823438	368216737	1279388	257518
1453778221858298912	700777779	87165512	373706162	1762904	347801
1453778222358887824	700832204	51886477	361363881	1551242	308636
1453778222859402736	700720785	83285362	386807753	1092070	215839
1453778223359918107	700726348	48681935	373901229	1157701	225593
1453778223860468561	700770096	86817406	373753406	1495626	300035
1453778224360919974	700633181	51853688	363615599	1552215	307168
1453778224861378053	700643960	83705207	383718470	1127317	220920
1453778225361825507	700625504	51479399	367139720	1490138	298074
1453778225862273086	700629793	86693464	374670844	1496598	296987
1453778226362806998	700746718	49076122	375530604	1141711	229692
1453778226863257119	700631281	83398985	378509026	1149300	222618
1453778227363713823	700632323	53870491	370513864	1512452	303693
1453778227864170111	700648018	83832434	372877209	1393734	278815
1453778228364618190	700629724	53985849	378997268	1139340	224909
1453778228865062810	700622306	78542007	375072869	1147851	223723
1453778229365512181	700631914	58790375	374021764	1499672	300455
1453778229865994968	700672830	77721935	371427647	1270382	248962
1453778230366442339	700630908	60802166	378449969	1305839	258906
1453778230866891959	700629726	72897833	372803513	1137073	220219
1453778231367413871	700730748	65416004	374565653	1536685	313205
1453778231867865409	700635008	70001926	373352237	1083504	213148
1453778232368309279	700622112	69169000	375452420	1504166	298522
1453778232868795483	700682064	65869910	372945484	1113589	217281
1453778233369249062	700627386	74124600	377954628	1391852	278510
1453778233869701682	700643400	60942740	370722335	1171142	230977
1453778234370142719	700618022	76748322	377609391	1494640	296143
1453778234870592132	700631636	58447558	370509025	1145766	221836
1453778235371072919	700632976	82299882	386829228	1186715	232726
1453778235871524289	700674238	53059481	361340208	1455772	284332
1453778236372045326	700728110	82597438	380653589	1476343	298320
1453778236872492238	700628229	52654102	366655656	1150346	234110
1453778237373001108	587240121	119912743	244600238	2915777	2346862
1453778237873483103	700679584	154174515	320104058	1611151	2611959
1453778238374004349	700734880	153263007	322549966	1700774	2607718
1453778238874463385	700644975	154915689	320588038	1563273	2545493
1453778239374926506	700645393	153004159	322984644	1721549	2605129
1453778239875404918	700673160	155293486	320983259	1521834	2512608
1453778240375867288	700647356	152650995	322812470	1712237	2664424
1453778240876320866	700637940	155497050	321368738	1511428	2489801
1453778241376861861	700753748	152468734	322340181	1741175	2676748
1453778241877341648	700675747	155425472	321303098	1512274	2500739
1453778242377804602	700650473	152906622	323405344	1669476	2659962
1453778242878263138	700641948	155447000	321282674	1524319	2491241
1453778243378727425	700652776	152285106	322116491	1725214	2707681
1453778243879181170	700636168	155402124	321134424	1542786	2493078
1453778244379635207	700636436	152586803	322736077	1693176	2681815
1453778244880088410	700637072	155188135	320717453	1551998	2520572
1453778245380551405	700648028	152851135	323316406	1671704	2655729
1453778245881027400	700666868	155419417	321220949	1520322	2493888
1453778246381562187	700747388	152614179	322690850	1721744	2669071
1453778246882022932	700649116	155360231	321151225	1520403	2507117
1453778247382479677	700641220	152435412	322391675	1708031	2700232
1453778247883019130	700757224	155515221	321411516	1519123	2493071
1453778248383550958	700743300	152567581	322716779	1704428	2684347
1453778248884133702	700817468	155538564	321458871	1521490	2490689
1453778249384668406	700750400	152581237	322597164	1718285	2676289
1453778249885235525	700790296	155402299	321217556	1526229	2504952
1453778250385791270	700784019	152624754	322689536	1726501	2670746
1453778250886252890	700645057	155490351	321365011	1521232	2485021
1453778251386790634	700753640	152497971	322427734	1739739	2669560
1453778251887269046	700662312	155480701	321509718	1487387	2508870
1453778252387731082	700657027	152493641	322514305	1708038	2690751
1453778252888188952	700641709	155522183	321528592	1502617	2494754
1453778253388698988	700717168	152441131	322397389	1715707	2700720
1453778253889154733	700640272	155524096	321450990	1519195	2486876
1453778254389614936	700643152	152518079	322523697	1719349	2680728
1453778254890073347	700645800	155444002	321313660	1514748	2501331
1453778255390522050	700627427	152419036	322157489	1755552	2670984
1453778255890977253	700638553	155405818	321163835	1535427	2494818
1453778256391515497	700752848	152479170	322503739	1716601	2683798
1453778256891967409	700635132	155650654	321772694	1493523	2490510
1453778257392424070	700635751	152340222	322090902	1747126	2685008
1453778257892888314	700654672	155498594	321385669	1519957	2488924
1453778258393341226	700636333	152359179	322289962	1714400	2704005
1453778258893829012	700683447	155587453	321588526	1501943	2487444
1453778259394270298	700618116	152475965	322488812	1708208	2681302
1453778259894710626	700618973	155271476	320910191	1538826	2517528
1453778260395153662	700619612	152572890	322667353	1706832	2675203
1453778260895590198	700614111	155460939	321271699	1532322	2494568
1453778261396095234	700705481	152360498	322266923	1717549	2696228
1453778261896548562	700637080	155456779	321382718	1513869	2513214
1453778262396997473	700630539	152784693	323150257	1660457	2659797
1453778262897473800	700667720	155463266	321359528	1536891	2497219
1453778263397957503	700678741	152515374	321173121	1727984	2704128
1453778263898413705	700637187	155209100	322168426	1530624	2497878
1453778264398926783	700721704	153034025	321886237	1675278	2667568
1453778264899384152	700641461	155064484	322251127	1542984	2513548
1453778265399840355	700638947	153192128	321816557	1664528	2652482
1453778265900293016	700634992	154961780	322362747	1575240	2502359
1453778266400818760	700732348	153229091	320896057	1676734	2664313
1453778266901277879	700648628	154818462	323069230	1564216	2514829
1453778267401738040	700646473	153355482	320427161	1678923	2652037
1453778267902193200	700636388	154438251	322833187	1617641	2520584
1453778268402646986	700636679	153819489	321093009	1590545	2632767
1453778268903100230	700635496	154088950	322762814	1615213	2566063
1453778269403555891	700639969	154198558	321218081	1592673	2588743
1453778269904115468	585575902	193507655	183911832	3152376	5120052
1453778270404643337	700751265	245713891	219657878	3314007	6140934
1453778270905137623	696795796	241289187	218091728	3343985	6193459
1453778271405669908	581212453	197541935	178916983	2915549	5354836
1453778271906149569	603798632	212263346	190149711	2768576	5173579
1453778272406617896	573318886	194914442	176536408	2871053	5274241
1453778272907092557	630378912	218771184	196578432	3018570	5573879
1453778273407559676	700653209	245753892	219640173	3317080	6139094
1453778273908026753	700657180	245134262	219715974	3306339	6123337
1453778274408486997	673732639	232519415	209869412	3271103	6065000
1453778274909002157	611079578	212094792	191224021	2948938	5301929
1453778275409480485	581597755	201720189	180958281	2833866	5179400
1453778275909946770	661330011	230659214	207203595	3141058	5741475
1453778276410501389	557553023	192768332	173462367	2665368	4967199
1453778276911039341	555708566	192643680	173176702	2683935	4923140
1453778277411519543	491684766	169103693	152338072	2462092	4375238
1453778277911987703	422844117	145200132	131204029	2090242	3739018
1453778278412456113	438357613	148301215	134528670	2239020	4067180
1453778278912915191	606207613	213166722	190650633	2822314	5193695
1453778279413383309	499083689	170335575	154101381	2567698	4489643
1453778279913918594	548604908	191619056	171214110	2618902	4754058
1453778280414397088	594332317	204011174	184058132	2919472	5373348
1453778280914875998	529260671	182672907	165181192	2566777	4603625
1453778281418127988	484999359	168184662	151158047	2287468	4285914
1453778281918670689	472846228	163363115	146318923	2338924	4179258
1453778282419139308	470767777	160062595	145147477	2398586	4311455
1453778282919696635	645373114	225865870	202017864	3053866	5582348
1453778283420280045	664696374	228063490	206464797	3282481	6037942
1453778283920834830	466775918	163177075	146521518	2226613	3945980
1453778284421377865	632975109	217950835	196771037	3133299	5698350
1453778284921927150	583809224	203513525	181906254	2761311	5151908
1453778285422457893	448214697	156395129	139918878	2151021	3864953
1453778285923072428	630095701	217187125	196738826	3021375	5606423
1453778286436517694	423458778	145168361	131214430	2084053	3731006
1453778286937087603	555019701	192592266	173289289	2675911	4901999
1453778287437633472	632597456	217602807	196291060	3121931	5621921
1453778287938208757	618415071	216045196	193778560	2912066	5444994
1453778288438849791	549077228	191794486	170873490	2681127	4817675
1453778288939395284	700557745	241824254	219288131	3354534	6235298
1453778289439967486	556127365	192606817	173247250	2640355	4904206
1453778289940527854	593063676	205246818	184191917	2885149	5319683
1453778290441006431	698471103	244018114	218845120	3353813	6127548
1453778290941474924	631790600	220054977	197400499	3015670	5567040
1453778291442025209	694523831	241898461	216924511	3333881	6148421
1453778291942472452	700628284	243497858	219782344	3350306	6196668
1453778292442937320	700649353	241896178	218127744	3437932	6293762
1453778292943415230	700673572	243236059	218589575	3330268	6302407
1453778293443969306	472270349	165156915	148121905	2241828	3980754
1453778293944441883	662483468	229478574	205855689	3220990	5941892
1453778294444916334	694134395	241615822	217084554	3311750	6128612
1453778294945382994	682964797	237459236	213539138	3288788	6084226
1453778295445847778	694848663	241965881	217297543	3356921	6126291
1453778295946304646	691240400	240623821	216197226	3278206	6131580
1453778296446837181	700749042	244996595	219565541	3327267	6142507
1453778296947289966	700635849	246397796	220341451	3288651	6118031
1453778297447762084	636626998	218442942	198599683	3131078	5706053
1453778297948234618	494751975	169680195	153324781	2385899	4501170
1453778298448733070	475139161	166948588	149203660	2240071	4034532
1453778298949192146	624329674	216680386	194814341	3007695	5541424
1453778299449658055	692093258	240693441	216250700	3363669	6102445
1453778299950133632	557167554	192891963	173570553	2704388	4936638
1453778300450593041	546668058	190936700	170262044	2681763	4796839
1453778300951043284	699671969	242509988	219593365	3343967	6218034
1453778301451540110	700698192	242029609	218139492	3404476	6357934
1453778301952000186	700651610	246447850	220402800	3303530	6127543
1453778302452456804	700639398	244715742	219388073	3350597	6135849
1453778302952950005	700691971	244956757	219644032	3335764	6142883
1453778303453386956	700609100	243809430	218770888	3387817	6161060
1453778303953894616	700714214	244333117	218997765	3369407	6174249
1453778304454325400	700604079	241184004	218438204	3396989	6229800
1453778304954775309	700629157	242000956	218061008	3454351	6332488
1453778305455227469	700629439	245233441	219563513	3338798	6189318
1453778305955687836	700651295	245756328	219890877	3316488	6115464
1453778306456230996	700761517	244594513	219435101	3327795	6139935
1453778306956668530	700617123	245949405	220040382	3276942	6139625
1453778307457098731	700598476	242778611	219629389	3357886	6205163
1453778307957549432	700628485	242106866	218525930	3409498	6325643
1453778308458034174	700688195	244462030	219247116	3325470	6252125
1453778308958469000	700609760	246560845	220437842	3284899	6085292
1453778309458980368	700714549	245449890	219839096	3322806	6118806
1453778309959426027	700625752	246601659	220311848	3315838	6122637
1453778310459881353	700636547	241555671	219101322	3401118	6260380
1453778310960337470	700639721	242650264	218428745	3362488	6370321
1453778311460858963	700731336	244934082	219379305	3356907	6133057
1453778311961309455	700632519	244684005	219204525	3336819	6143280
1453778312461761906	700635797	245122932	219610175	3340930	6134916
1453778312962225607	587117785	201421538	186183027	2901883	4606908
1453778313462699766	700666277	269103713	242400160	2224118	3744153
1453778313963164716	700656689	269366410	242739598	2235316	3740470
1453778314463685750	700634890	269475802	243291882	2198706	3737681
1453778314964147076	700741429	269337657	242157064	2158087	3789085
1453778315464601652	700640439	269036839	241630450	2207850	3818657
1453778315965104852	700704753	269061433	241889638	2251749	3846741
1453778316465637719	700746543	268763398	241321802	2254396	3864662
1453778316966088586	700633417	268721940	241421931	2241603	3845385
1453778317466541704	700632632	267493349	241226284	2288887	3848691
1453778317967101612	700785736	268325522	241656464	2266386	3833179
1453778318467629730	700742848	267875798	241335088	2261020	3838957
1453778318968153055	700732365	267838900	241090556	2272252	3828149
1453778319468692422	700747127	267162892	241755882	2283784	3826767
1453778319969214622	700740900	267619153	241483551	2258999	3848454
1453778320469739031	700738184	268837878	242581741	2199861	3831158
1453778320970260648	700731276	268076184	241810245	2219647	3838359
1453778321470859182	700837503	267120272	241127517	2269237	3856039
1453778321971382340	700732576	268076408	241770427	2257607	3825348
1453778322471907540	700739092	267171011	241021869	2241139	3844454
1453778322972418824	700715828	267748862	241494876	2213685	3843350
1453778323472947774	700741077	267184526	241256088	2276222	3841639
1453778323973479474	700745635	268183879	241928580	2247953	3828726
1453778324474072591	700831705	267850199	241669805	2252442	3833579
1453778324974592166	700728712	268079205	241760846	2229675	3843490
1453778325475115867	700736184	268333555	242067547	2229304	3823858
1453778325975640400	700729848	269408390	243122240	2180879	3762678
1453778326492041243	722965983	277926698	249451956	2289648	3943934
1453778326992553401	700717608	266779808	240762342	2259343	3859641
1453778327493079185	700730816	266567103	241302297	2287636	3861338
1453778327993706010	700873724	269082633	242889436	2209219	3771082
1453778328494247251	700767049	269449327	242381455	2241278	3731331
