#Timestamp	Benchmark	CPU(0) Frequency(MHz)	CPU(0) Temperature(C)	A7 Voltage(V)	A7 Current(A)	A7 Power(W)	CPU cycles	L1 Data Cache access	L1 Instructions Cache access	L2 Data Cache access	Bus Access	
1453786777507978952	automotive_bitcount	900	55	1.000000	0.111000	0.117000	450502632	40755105	251001720	363259	57160
1453786778014040960	automotive_bitcount	900	55	1.000000	0.113000	0.120000	450424940	40511262	251439377	332718	48662
1453786778520022509	automotive_bitcount	900	54	1.000000	0.118000	0.125000	450385311	40774771	250868606	368855	55080
1453786779026030808	automotive_bitcount	900	54	1.000000	0.123000	0.130000	450394056	40910863	250678173	379731	55794
1453786779532096441	automotive_bitcount	900	54	1.000000	0.123000	0.130000	450379284	40515814	252292590	346000	47889
1453786780038056407	automotive_bitcount	900	54	1.000000	0.121000	0.128000	450390462	40584990	252265257	369267	50714
1453786780543962748	automotive_bitcount	900	54	1.000000	0.117000	0.124000	450386631	40523541	252884754	358988	49235
1453786781049924922	automotive_bitcount	900	54	1.000000	0.113000	0.120000	450452952	40639902	255924599	376133	51710
1453786781555884222	automotive_bitcount	900	54	1.000000	0.124000	0.131000	450412575	44359772	254567094	330720	47554
1453786782062443104	automotive_bitcount	900	54	1.000000	0.121000	0.128000	450560884	44722145	254012451	363818	55480
1453786782568492820	automotive_bitcount	900	54	1.000000	0.114000	0.121000	450401144	46681774	251741155	367627	50338
1453786783074425286	automotive_bitcount	900	54	1.000000	0.118000	0.125000	450399267	46942528	250878384	389075	56603
1453786783580436918	automotive_bitcount	900	54	1.000000	0.123000	0.130000	450396372	46479086	252928268	353591	49485
1453786784086481801	automotive_bitcount	900	54	1.000000	0.122000	0.129000	450399273	46042230	253459719	366559	50135
1453786784592435683	automotive_bitcount	900	54	1.000000	0.120000	0.127000	450396822	44684918	253139868	362979	50249
1453786785098320649	automotive_bitcount	900	54	1.000000	0.117000	0.124000	450390992	40803323	251004913	361655	50014
1453786785604323115	automotive_bitcount	900	54	1.000000	0.112000	0.118000	450392551	40726034	251156843	352577	49276
1453786786110306081	automotive_bitcount	900	54	1.000000	0.113000	0.120000	450395994	40755225	251037403	359027	51073
1453786786616237380	automotive_bitcount	900	54	1.000000	0.115000	0.122000	450442761	40744458	251084644	363775	48984
1453786787122274262	automotive_bitcount	900	54	1.000000	0.120000	0.127000	450463702	40940368	250563542	395309	66783
1453786787628232687	automotive_bitcount	900	54	1.000000	0.123000	0.130000	450388025	40780862	250928455	364509	51495
1453786788134146152	automotive_bitcount	900	54	1.000000	0.122000	0.129000	450390942	40784475	250969197	366664	52347
1453786788640033035	automotive_bitcount	900	54	1.000000	0.119000	0.126000	450391674	40752301	250981323	363118	51438
1453786789145936459	automotive_bitcount	900	54	1.000000	0.117000	0.124000	450429210	40852091	250826629	385433	55230
1453786789652035425	automotive_bitcount	900	54	1.000000	0.123000	0.130000	450400128	40728238	251087470	363878	50643
1453786790158023640	automotive_bitcount	900	54	1.000000	0.123000	0.130000	450402312	40822688	250748101	378442	54063
1453786790663945439	automotive_bitcount	900	54	1.000000	0.120000	0.127000	450400053	40603428	251718093	351223	48250
1453786791169819947	automotive_bitcount	900	54	1.000000	0.118000	0.125000	450393546	40757511	251898893	394698	55438
1453786791675695079	automotive_bitcount	900	54	1.000000	0.112000	0.118000	450409404	40586380	252162791	370441	52815
1453786792181706670	automotive_bitcount	900	54	1.000000	0.123000	0.130000	450512124	40427202	255349162	348165	52229
1453786792687588427	automotive_bitcount	900	54	1.000000	0.122000	0.129000	450393957	42611210	254875279	357522	49979
