#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU cycles	L1 Data Cache access	L1 Instructions Cache access	L2 Data Cache access	Bus Access	
1453756105994820248	automotive_bitcount	500	48	0.900000	0.275000	0.252000	250721645	48345994	98380489	1146747	338588
1453756106534770337	automotive_bitcount	500	48	0.900000	0.260000	0.238000	250605279	10008878	89632254	303482	56901
1453756107084652867	automotive_bitcount	500	48	0.900000	0.285000	0.261000	250533486	40601311	98395391	350984	63918
1453756107632855359	automotive_bitcount	500	48	0.900000	0.254000	0.232000	250552796	9759748	89416066	296376	45958
1453756108169726911	automotive_bitcount	500	48	0.900000	0.252000	0.231000	250597425	35890606	87362819	286626	28126
1453756108709630334	automotive_bitcount	500	48	0.900000	0.276000	0.253000	250533554	38834400	97990228	165422	17157
1453756109267900017	automotive_bitcount	500	48	0.900000	0.252000	0.231000	250534976	12629479	91667989	214352	24902
1453756109804655236	automotive_bitcount	500	48	0.900000	0.260000	0.238000	250533368	32246262	84822819	294766	28051
1453756110344617951	automotive_bitcount	500	48	0.900000	0.285000	0.261000	250541457	40112901	99142581	297228	28350
1453756110894669189	automotive_bitcount	500	48	0.900000	0.252000	0.231000	250590463	14339085	92452182	297640	24252
1453756111444961053	automotive_bitcount	500	48	0.900000	0.252000	0.231000	250535693	31570970	84177878	324046	54705
1453756111994700834	automotive_bitcount	500	48	0.900000	0.277000	0.254000	250538191	40106621	98815257	298183	28973
1453756112544731615	automotive_bitcount	500	48	0.900000	0.265000	0.243000	250535844	14345178	92384256	295437	24409
1453756113102960965	automotive_bitcount	500	48	0.900000	0.285000	0.261000	250537608	40121420	99083760	297998	27450
1453756113639737560	automotive_bitcount	500	48	0.900000	0.252000	0.231000	250538512	15375215	92686335	294795	21192
1453756114179631191	automotive_bitcount	500	48	0.900000	0.252000	0.231000	250537098	30356606	84480416	296684	28483
1453756114739815663	automotive_bitcount	500	48	0.900000	0.281000	0.257000	250543049	38842349	99132313	158863	16557
1453756115274978886	automotive_bitcount	500	48	0.900000	0.273000	0.250000	250609721	22404987	93671393	212703	19179
1453756115824674334	automotive_bitcount	500	48	0.900000	0.251000	0.230000	250538477	22517362	83459793	295894	21581
1453756116374654949	automotive_bitcount	500	48	0.900000	0.253000	0.232000	250535517	40095641	98849545	291165	20592
1453756116924636605	automotive_bitcount	500	48	0.900000	0.287000	0.263000	250539903	23772134	92880174	291798	19389
1453756117474899219	automotive_bitcount	500	48	0.900000	0.257000	0.235000	250597646	22343350	83054202	361490	96194
1453756118024681584	automotive_bitcount	500	48	0.900000	0.251000	0.229000	250542895	40350126	98420516	331977	50125
1453756118574733490	automotive_bitcount	500	48	0.900000	0.266000	0.243000	250546861	22842911	83198547	295176	30133
1453756119124657647	automotive_bitcount	500	48	0.900000	0.283000	0.259000	250537352	40123540	98577885	295332	27785
1453756119674722761	automotive_bitcount	500	48	0.900000	0.252000	0.231000	250590833	23976091	93670447	291111	23126
1453756120224782876	automotive_bitcount	500	48	0.900000	0.252000	0.231000	250542639	20693772	83082826	185588	15759
1453756120775717281	automotive_bitcount	500	48	0.900000	0.280000	0.256000	250536260	39051920	99512415	184893	16279
1453756121324680773	automotive_bitcount	500	48	0.900000	0.268000	0.245000	250535759	30527094	94392680	295108	22274
1453756121874707554	automotive_bitcount	500	48	0.900000	0.251000	0.230000	250596773	16167742	82139733	414260	47391
1453756122432929572	automotive_bitcount	500	48	0.900000	0.253000	0.232000	250542148	40112886	99278565	294605	33671
1453756122969693418	automotive_bitcount	500	48	0.900000	0.286000	0.262000	250545447	28406663	93901219	359897	65310
1453756123509887675	automotive_bitcount	500	48	0.900000	0.253000	0.232000	250586292	18172777	82458785	346766	74238
1453756124059759498	automotive_bitcount	500	48	0.900000	0.252000	0.231000	250546257	40122876	99063990	297028	35797
1453756124609701447	automotive_bitcount	500	48	0.900000	0.273000	0.250000	250541354	18212043	82669924	297448	25329
1453756125159879104	automotive_bitcount	500	48	0.900000	0.275000	0.252000	250545112	40141581	99488291	297940	26091
1453756125709855136	automotive_bitcount	500	48	0.900000	0.252000	0.231000	250534832	28310484	93919906	286676	22979
1453756126259665168	automotive_bitcount	500	48	0.900000	0.253000	0.232000	250603509	15529289	83243352	116772	13814
1453756126805773207	automotive_bitcount	500	48	0.900000	0.252000	0.231000	250533719	39867950	98104182	258882	20029
1453756127354674699	automotive_bitcount	500	48	0.900000	0.278000	0.254000	250532092	32783512	94682823	294811	19374
1453756127904659440	automotive_bitcount	500	48	0.900000	0.276000	0.253000	250539409	12833671	81954697	296828	23088
