#Timestamp	CPU cycles	L1 Data Cache access	L1 Instructions Cache access	L2 Data Cache access	Bus Access
1453747927397493163	450442994	111370588	153626710	6787857	4782548
1453747927898345403	450784332	42654501	161699524	372633	131097
1453747928399017934	450605601	42140393	160228219	300385	46856
1453747928899678340	450595200	41542376	165718613	293508	30616
1453747929400345413	450599898	72438126	172247481	315596	44782
1453747929901075986	450657866	47037529	164716517	290350	29643
1453747930401739309	450597191	42176184	161260701	299435	28908
1453747930902406507	450600159	40809997	163203279	187952	17369
1453747931403071371	450597891	62205554	174095463	191073	17946
1453747931903733319	450595313	55848958	165574390	287580	21509
1453747932404434808	450628542	42844523	160817554	371044	80672
1453747932905110964	450610126	42184183	160589229	300224	32534
1453747933405864953	450677304	43879501	169775534	362562	79325
1453747933906550358	450615381	75457655	171546106	320350	74331
1453747934407220930	450603143	42226602	162267456	303678	47685
1453747934907886669	450599757	42155435	160224227	296318	31411
1453747935408553574	450601193	41705754	164654489	297073	28026
1453747935909222104	450601591	67842348	173197673	292711	23870
1453747936409883510	450593993	51404832	164948414	295183	22046
1453747936910595456	450641076	42154119	160469280	291938	20157
1453747937411256903	450593663	42600157	161450180	358300	48278
1453747937911930558	450606854	48371202	173434519	293826	25596
1453747938412592254	450594009	70540073	168150436	299611	25857
1453747938913255242	450597216	42187096	162102427	289360	21647
1453747939413926397	450601795	42550713	159767624	358661	91921
1453747939914675260	450675420	40453701	168063103	188787	27283
1453747940415378081	450632353	76275909	174355065	189080	22963
1453747940916125152	450671104	42224688	162053104	293626	27483
1453747941416819806	450626087	42178204	160475426	295666	25418
1453747941917523002	450632085	41746376	163164762	292022	23431
1453747942418223282	450630372	64150760	172525901	308705	27000
1453747942918957227	450659369	55413272	165629081	333481	47554
1453747943419668506	450639136	42226507	161818910	297844	27120
1453747943920364994	450626254	42090102	161680949	293450	21915
1453747944421128314	450687726	46696374	171930859	297789	21392
1453747944921824301	450626151	72196836	169787356	291145	19497
1453747945422528955	450630972	42645807	161401925	365219	83540
1453747945923234025	450636267	42186655	161160252	297000	33295
1453747946423934304	450629273	41618924	167213895	299121	29781
1453747946924636874	450632531	71935552	171391233	291236	23514
1453747947425328277	450622107	47473022	164776254	297769	22259
1453747947926088639	450683842	42425917	160782126	323629	32400
1453747948426801667	450641047	41947257	163391267	293436	29336
1453747948927498778	450627083	57861371	174309286	146006	15210
1453747949428192223	450623943	59141940	166659182	230390	19994
1453747949928894626	450631056	42166885	161117398	289908	22756
1453747950429588737	450625312	42184426	161003694	299138	22480
1453747950930282348	450623907	45267089	171136586	294173	19792
1453747951431051293	450687983	75465902	167842796	513308	128132
1453747951931921404	450783957	42248266	162710073	296413	53110
1453747952432753056	450748906	42222562	160979539	303088	37874
1453747952933587209	450751217	41758010	165731539	292917	27144
1453747953434515278	450833211	66128451	172842192	348951	63702
1453747953935200889	450617830	53560893	165423896	294408	31407
1453747954435932166	450658841	42209368	161355264	303704	29619
1453747954936598943	450599638	42065552	160999042	294203	23684
1453747955437263178	450597036	47803288	172406308	295688	24412
1453747955937928330	450597824	71124378	169671302	291714	20783
1453747956438595357	450600484	42195296	161816575	295447	21441
1453747956939255009	450593639	42141021	160844948	288443	19952
1453747957439920160	450595872	41975319	166181161	362217	85136
1453747957940672770	450677769	75422815	172662415	211259	47375
1453747958441352838	450612586	42035203	162229132	193259	26318
1453747958942055323	450630094	42498997	160754888	336701	54301
1453747959442739475	450616850	41977760	164251718	318430	47384
1453747959943489626	450666913	72800614	157256143	2934567	865171
1453747960444228235	450664589	165164421	175853301	3121857	1240093
1453747960944952095	450651909	171630220	185037042	1842798	597244
1453747961445758038	450725046	171527352	185008244	1856351	611109
1453747961946483564	450651625	171713614	184860183	1847930	597512
1453747962447215756	450658955	172807928	183542535	1794868	658649
1453747962947948532	450658578	173747500	183154181	1756153	601557
1453747963448680766	450660081	172234221	184214026	1821337	636974
1453747963949404208	450649994	170874732	184565399	1904152	624069
1453747964450146484	450667742	171678972	185001218	1841365	601065
1453747964950939134	450713570	171691684	185002496	1836389	574433
1453747965451659743	450647361	171517794	184848116	1844262	598883
1453747965952379060	450647445	171731627	184906632	1832258	605057
1453747966453093835	450643119	171573739	185140264	1844948	614086
1453747966953890736	450716619	173090192	185851820	1731312	535103
1453747967454610469	450647605	172930845	185439268	1759535	535328
1453747967955337161	450654215	173702321	183336700	1757542	595059
1453747968456156019	450735605	173782490	183229388	1755347	590543
1453747968956881752	450652012	172122911	184679920	1800782	568281
1453747969457644110	450686393	170210420	184182725	1956918	786647
1453747969958385343	450665272	171543427	184881645	1840369	640945
1453747970459111701	450654420	170946275	184499555	1891491	702284
1453747970959836267	450651138	171695773	184931586	1841623	608274
1453747971460625292	450710109	171503284	184942995	1854808	619048
1453747971961348399	450651714	171653280	184909892	1843816	596666
1453747972462071215	450649635	172665409	183949239	1811949	609169
1453747972962801531	450655285	173788694	183423379	1731472	592513
1453747973463526513	450653864	172445185	184275236	1798902	634489
1453747973964245162	450647523	171390782	184696455	1867384	646711
1453747974464965853	450646999	170760484	184596440	1909122	643499
1453747974965770002	450723804	171706790	185257088	1855345	591593
1453747975466483151	450640856	171428370	184954901	1870745	633737
1453747975968338259	451669776	174276860	186496122	1676991	502187
1453747976469050365	450639007	172164131	185168872	1812935	555040
1453747976969775931	450654125	171420149	185859325	1844037	572198
1453747977470530996	450676152	172629169	184425689	1814309	596201
1453747977971258977	450656850	173703448	183142001	1742007	604734
1453747978471988251	450656451	171450505	183242769	1911602	783599
1453747978972719732	450657292	170960519	184682666	1889477	654467
1453747979473447339	450653969	171253346	184499703	1893262	634753
1453747979974293862	450762456	170463275	184154447	1940107	685852
1453747980475067385	450695283	171125844	184625621	1898607	627283
1453747980975922033	450769284	169650250	183803073	2021813	749355
1453747981476685805	450685692	172288069	182980256	1860957	737291
1453747981977453328	450691201	173515115	182223260	1803792	638923
1453747982478213059	450682472	171298563	184455300	1874388	645841
1453747982978969623	450681536	171041954	184520680	1889091	642698
1453747983479719646	450674992	171182160	184757483	1885224	617250
1453747983980554460	450751952	171458355	184767001	1897686	590200
1453747984481293691	450663955	172292234	185213806	1811190	564991
1453747984982042713	450673857	172811732	185288612	1782010	524691
1453747985482840777	450718083	170685213	184290078	1947792	649723
