#Timestamp	Benchmark	CPU(0) Frequency(MHz)	CPU(0) Temperature(C)	A7 Voltage(V)	A7 Current(A)	A7 Power(W)	CPU cycles	L1 Data Cache access	L1 Instructions Cache access	L2 Data Cache access	Bus Access	
1357342393656513896	automotive_bitcount	1000	62	1.100000	0.046000	0.050000	8885918	1346843	2092015	160277	28867
1357342394186107076	automotive_bitcount	1000	62	1.100000	0.045000	0.049000	9490375	1397137	2173392	163740	27088
1357342394716112046	automotive_bitcount	1000	63	1.100000	0.045000	0.049000	9558073	1422065	2202734	169188	27413
1357342395246100391	automotive_bitcount	1000	63	1.100000	0.045000	0.049000	20501949	3043447	4688382	346688	93575
1357342395776102194	automotive_bitcount	1000	63	1.100000	0.046000	0.050000	9749912	1453545	2263854	171058	31784
1357342396306106247	automotive_bitcount	1000	63	1.100000	0.046000	0.050000	6743483	976923	1526021	119378	19021
1357342396836094300	automotive_bitcount	1000	64	1.100000	0.045000	0.049000	9666275	1454640	2272826	171533	29550
1357342397366092311	automotive_bitcount	1000	64	1.100000	0.046000	0.050000	9411734	1412151	2184273	168059	25998
1357342397896100531	automotive_bitcount	1000	64	1.100000	0.046000	0.050000	10037679	1500878	2335147	179171	30701
1357342398426090251	automotive_bitcount	1000	65	1.100000	0.047000	0.051000	9275768	1402070	2181534	163744	25898
1357342398956092512	automotive_bitcount	1000	65	1.100000	0.045000	0.049000	9719338	1467882	2282838	173494	27468
1357342399486089524	automotive_bitcount	1000	64	1.100000	0.045000	0.049000	9311617	1404791	2190894	166255	26279
1357342400016093535	automotive_bitcount	1000	63	1.100000	0.046000	0.050000	9835225	1481000	2313673	173707	27952
1357342400546087422	automotive_bitcount	1000	63	1.100000	0.046000	0.050000	9391144	1419601	2215399	164267	25302
1357342401076088933	automotive_bitcount	1000	63	1.100000	0.050000	0.055000	20492080	3067753	4686213	361105	66548
1357342401606091570	automotive_bitcount	1000	63	1.100000	0.045000	0.049000	6842729	995622	1559623	120904	19339
1357342402136091165	automotive_bitcount	1000	63	1.100000	0.046000	0.050000	8581032	1317300	2038249	154953	24495
1357342402664046016	automotive_bitcount	1000	63	1.100000	0.046000	0.050000	9208282	1396380	2165635	164504	26332
1357342403196097646	automotive_bitcount	1000	63	1.100000	0.046000	0.050000	9438313	1417790	2195665	167843	26884
1357342403726090116	automotive_bitcount	1000	63	1.100000	0.046000	0.050000	9300731	1389155	2151765	164863	26824
1357342404256102919	automotive_bitcount	1000	64	1.100000	0.045000	0.049000	9262256	1406682	2182252	163941	24990
1357342404786090472	automotive_bitcount	1000	64	1.100000	0.046000	0.050000	9501739	1435125	2218366	170101	26275
1357342405316097025	automotive_bitcount	1000	64	1.100000	0.046000	0.050000	9336437	1415759	2196369	166391	25406
1357342405846088411	automotive_bitcount	1000	65	1.100000	0.045000	0.049000	15195014	2256621	3448023	273744	54426
1357342406376099673	automotive_bitcount	1000	64	1.100000	0.045000	0.049000	6878050	1010116	1573459	122303	19347
1357342406906107851	automotive_bitcount	1000	64	1.100000	0.046000	0.050000	60796761	8914343	13469641	1001510	321050
1357342407436292528	automotive_qsort1	1000	63	1.100000	0.055000	0.060000	14458309	1889000	2876533	254253	47842
1357342407966355123	automotive_qsort1	1000	63	1.100000	0.045000	0.049000	11771425	1740263	2720518	205254	39470
1357342408496300176	automotive_qsort1	1000	63	1.100000	0.046000	0.050000	11214433	1654377	2569070	198606	31951
1357342409026283271	automotive_qsort1	1000	63	1.100000	0.046000	0.050000	11387406	1675265	2623537	201655	34762
1357342409556295491	automotive_qsort1	1000	63	1.100000	0.046000	0.050000	11237461	1656447	2579250	197800	32397
1357342410086277877	automotive_qsort1	1000	63	1.100000	0.046000	0.050000	11752685	1717085	2673367	209817	37124
1357342410616295180	automotive_qsort1	1000	63	1.100000	0.045000	0.049000	11508889	1706370	2661571	203773	33195
1357342411146293109	automotive_qsort1	1000	63	1.100000	0.050000	0.055000	11038156	1638363	2559331	195871	34506
1357342411673513046	automotive_qsort1	1000	63	1.100000	0.046000	0.050000	11190379	1658098	2598874	199571	35731
1357342412206300381	automotive_qsort1	1000	63	1.100000	0.045000	0.049000	11189125	1650227	2583393	197511	32474
1357342412736334518	automotive_qsort1	1000	63	1.100000	0.045000	0.049000	11417079	1686995	2634497	201236	34199
1357342413266298529	automotive_qsort1	1000	63	1.100000	0.046000	0.050000	11408716	1684331	2634272	199974	32752
1357342413796356749	automotive_qsort1	1000	63	1.100000	0.047000	0.051000	11848997	1741183	2726306	210477	37866
1357342414326299344	automotive_qsort1	1000	63	1.100000	0.046000	0.050000	11493852	1707229	2660420	204018	33275
1357342414856306855	automotive_qsort1	1000	63	1.100000	0.046000	0.050000	11526961	1727168	2700043	205688	34313
1357342415386294034	automotive_qsort1	1000	63	1.100000	0.046000	0.050000	11255162	1658227	2582001	197451	33673
1357342415916289503	automotive_qsort1	1000	63	1.100000	0.047000	0.051000	24920100	3540413	5447597	412334	77101
1357342416446300848	automotive_qsort1	1000	63	1.100000	0.046000	0.050000	11230202	1664940	2597211	197742	32589
1357342416976293693	automotive_qsort1	1000	63	1.100000	0.045000	0.049000	21503318	3134146	4788483	381966	82007
1357342417506347288	automotive_qsort1	1000	62	1.100000	0.047000	0.051000	11398503	1666056	2547203	210083	33389
1357342418036327924	automotive_qsort1	1000	63	1.100000	0.047000	0.051000	11624521	1665985	2540653	217145	39645
