#Timestamp	CPU cycles	L1 Data Cache access	L1 Instructions Cache access	L2 Data Cache access	Bus Access
1357409826272978494	36713147	5118152	7683693	713172	288286
1357409826773510729	16983583	2501142	3852496	289034	89017
1357409827273953257	9433384	1423302	2222474	168265	32708
1357409827774378284	9278483	1372597	2140821	163077	28991
1357409828274807020	9366024	1407984	2189481	167939	27708
1357409828775224422	9655669	1452372	2255302	171361	27302
1357409829275642783	7943389	1156349	1802266	140665	23076
1357409829776062727	8166052	1220071	1904901	144727	22567
1357409830276480088	9801726	1457148	2268013	174868	29483
1357409830776896616	9133033	1369999	2126750	161082	25181
1357409831277312226	9494226	1433527	2233774	167746	26873
1357409831777726504	9835534	1469405	2290364	173621	28543
1357409832278252656	14373629	2058522	3162021	251080	58070
1357409832778667059	9663485	1443310	2246158	168921	27697
1357409833279082169	9379444	1407285	2183050	167763	27801
1357409833779497197	9573021	1435040	2225617	167941	26319
1357409834279913974	6582550	945905	1472241	119520	20942
1357409834780332294	9370783	1404614	2176078	164773	25796
1357409835280747029	9117875	1358568	2098419	161058	25075
1357409835781161974	9086261	1359818	2107279	160668	25830
1357409836281701042	9019754	1394967	2177534	163125	25850
1357409836782115403	9229633	1385214	2146747	162146	25345
1357409837282581180	12317695	1795821	2766042	218533	47449
1357409837783028000	9417760	1405564	2170410	167010	26175
1357409838283439652	9587813	1429314	2214335	171163	29011
1357409838783853846	9339145	1387293	2144038	166274	25835
1357409839284321582	6828043	997063	1561553	123050	19842
1357409839784753318	10031729	1504835	2344428	178562	28948
1357409840285185345	9279127	1391137	2176172	164885	26077
1357409840785641414	17087338	2275937	3413616	311911	51661
1357409841286143400	11691726	1730419	2695696	207567	36075
1357409841786641094	17331418	3129799	6178559	217655	54430
1357409842287198662	22251766	3237075	4979861	378349	87819
1357409842787688023	10885016	1623781	2533727	191544	32019
1357409843288214717	12037679	1783602	2778580	213542	37135
1357409843788707869	10740807	1564211	2450438	190981	33361
1357409844289183729	9582806	1392173	2177242	170980	29089
1357409844789656173	11317050	1689828	2635431	199837	33386
1357409845290141284	11545490	1715051	2678589	203444	34127
1357409845790630020	11345662	1680131	2623890	201152	32845
1357409846291118047	11567743	1701654	2655703	204513	35271
1357409846791600866	11019915	1628164	2549566	191955	31593
1357409847292202268	79044745	11516844	17506211	1275048	386981
1357409847792788711	11683038	1682678	2625798	204144	39515
1357409848293402196	11763079	1700428	2643030	207067	38893
1357409848793960515	8789217	1254954	1969075	155874	26802
1357409849294530750	11137171	1642196	2553147	198250	33725
1357409849795097736	10888726	1601807	2495906	192460	31496
1357409850295662554	11426677	1659937	2582172	201297	35637
1357409850796228790	11328230	1652982	2574523	198685	32536
1357409851296795025	11454563	1672617	2609208	200823	33888
1357409851797362385	11394636	1680243	2623588	201234	33802
1357409852298060662	16216208	2327704	3605878	279247	70868
1357409852798651230	14540364	2115186	3257506	258980	56330
1357409853299233632	11511168	1683636	2616998	203615	36087
1357409853799723785	8251686	1192386	1868178	147350	24612
1357409854300224312	11160335	1649944	2574966	197066	36786
1357409854800741172	48301251	6726936	10508109	744719	171293
1357409855301233658	58293178	8254388	13392287	858267	295965
1357409855801744143	91800473	13186347	20905166	1398058	371651
1357409856302228921	72668207	10394739	16530063	1109926	323716
1357409856802735365	69576568	9929128	15820518	1034235	301999
1357409857303296475	70530853	10140602	16017457	1065929	283290
1357409857803793502	77860958	11235214	17459078	1248524	278164
1357409858304272529	61770932	8823868	14020891	928665	249417
1357409858804781598	67136891	9606319	15169634	1025791	263324
1357409859305304834	71244267	10424281	16385616	1113177	261216
1357409859805810194	82988650	12094406	19008592	1277321	286244
1357409860306333471	70951673	10303715	16206447	1090592	253694
1357409860806854748	151345549	22213799	34579079	2394931	503892
1357409861307375401	125792046	18355887	28834914	1955133	459320
1357409861807923261	46034213	6492544	10729455	691477	285910
1357409862308403538	43536233	6185074	10353825	631273	287080
1357409862808877149	72774211	10532659	16591609	1116026	275053
1357409863309386176	98887011	14269036	22412512	1537898	376970
1357409863809883787	57625350	8236193	13121708	876766	247058
1357409864310391564	67500019	9745023	15390114	1037824	261361
1357409864810903799	63790018	9194055	14564849	969467	244069
1357409865311402410	73928467	10577699	16581409	1133719	271795
1357409865811906520	62219566	8864145	14182788	952725	295340
1357409866312411464	88698712	12818015	20086814	1364328	302501
1357409866812987075	82026358	11936628	18930412	1274868	342633
1357409867316511175	70627089	10178915	16229881	1060820	295724
1357409867816996994	80990558	11650042	18145211	1270053	276247
1357409868317464521	76957934	10993228	17269360	1145598	256603
1357409868818241589	82425018	11953304	18691325	1255587	266485
1357409869318720533	72510754	10542683	16530331	1125229	257775
1357409869819186394	53754763	7719552	12315490	815962	233755
1357409870319673046	69879023	10116467	16153822	1069530	306644
1357409870820166782	60383204	8742350	13898968	929879	251221
1357409871320664184	80467246	11675451	18230705	1240538	265413
1357409871821146878	73962859	10770827	17036436	1131376	296402
1357409872321641738	82813791	12022281	18831095	1275865	286678
1357409872822134307	56005903	8081551	12987895	852421	256165
1357409873322611626	57771815	8348606	13179280	889305	230045
1357409873823162445	77133336	11264745	17708228	1192578	286605
1357409874323627764	69373684	9941734	15678787	1070128	274830
1357409874824121999	63669213	9265199	14654529	981821	248553
1357409875324619277	56390435	8037106	12860897	841715	249484
1357409875825117220	82911570	12055402	18915990	1282035	284928
1357409876325600956	65901328	9565916	14987699	1072694	279704
1357409876826090067	71225648	10340358	16257921	1094324	262900
1357409877330281123	80475198	11658339	18433639	1232994	314968
1357409877830792150	64326637	9342342	14657876	1000407	243967
1357409878331399094	76162774	10907689	17052631	1155740	251852
1357409878831971579	85828738	12577805	19604932	1334595	270102
1357409879332516606	98425685	14320620	22392028	1546643	345995
1357409879833105050	56669427	7916362	12673614	862832	260127
1357409880333681202	59176836	8457247	13307244	918455	234548
1357409880834208521	84113339	12236604	19079460	1301863	270573
1357409881334703173	72927638	10305502	16264414	1130713	346226
1357409881835196533	43636892	6220109	9989889	678166	216050
1357409882335731185	90806635	13300073	20813597	1423946	321921
1357409882836204921	72473387	10689991	16850387	1143537	266297
1357409883336697282	74790184	10857936	16947490	1187554	265413
1357409883837203225	78699001	11507785	17899658	1252460	254575
1357409884337684044	84653378	12377422	19144981	1365366	272245
1357409884838263780	72286142	10601646	16593036	1140365	246724
1357409885338759640	52617140	7555670	11957815	835907	229265
1357409885839242584	61842602	8988858	14112498	983492	236005
1357409886339747736	89116966	13001109	20261636	1390867	276265
1357409886840242680	66010792	9563880	15097612	1017440	250888
1357409887340873957	88267755	12919945	20246925	1374770	302700
1357409887841351859	92400170	13279307	20714883	1437316	324464
1357409888341855178	84035708	12122297	19021255	1283757	284762
1357409888842355039	99348051	14581462	22812383	1560244	328618
1357409889342839899	56868315	8205362	12933305	895646	226238
1357409889843372260	54719943	7948297	12561142	857661	221592
1357409890343871245	52227275	7634441	12149273	830047	233523
1357409890844352606	53827367	7953876	12667231	869020	224456
1357409891344821758	54536364	7898009	12488810	878658	234776
1357409891845312160	49729350	7236569	11558438	784033	231437
1357409892346082437	46707595	6839576	11023647	739859	243514
1357409892846555589	51022365	7454985	11901794	812938	225697
1357409893347045491	43297739	6246485	9952414	700034	203245
1357409893847549019	49614610	7139884	11389111	780092	222134
1357409894348064087	21319541	2887351	4471599	347197	84552
1357409894848531656	11808979	1726797	2745389	199799	49944
1357409895348998892	20451340	3007835	4726033	338150	75969
1357409895849494836	16896610	2449992	3862543	281783	69688
1357409896349955280	21425453	3171734	4939192	352620	72104
1357409896850428682	15691026	2251948	3559986	260674	65236
1357409897351033792	31122094	4577903	7124338	501617	117553
1357409897851501320	21407081	3092947	4814017	350920	76779
1357409898351974722	24135888	3562536	5551040	396439	82854
1357409898852455458	21262126	3108490	4861974	353428	75391
1357409899352951318	21702834	3184176	4972310	352357	71936
1357409899853413554	23005528	3375186	5306529	375610	83622
1357409900353875456	19366110	2883460	4490964	325713	65195
1357409900854335109	31671801	4738119	7354326	525893	99636
1357409901354790469	23341097	3405137	5300189	380787	74537
1357409901855256955	25807875	3810318	5970992	423516	87673
1357409902355776899	26111013	3794270	5894764	432411	100542
1357409902856249884	25970265	4337807	8121316	339280	103231
1357409903356717703	15674080	2261681	3552765	257421	59936
1357409903857198272	23273515	3130843	4874771	363115	79650
1357409904357668550	10412373	1461156	2260509	174939	30222
1357409904858205368	10128137	1445634	2241933	172021	29224
1357409905358659771	10496783	1482843	2302848	175713	29676
1357409905859130340	10237976	1460716	2273267	174819	28986
1357409906359601617	10487568	1489135	2319977	176740	30998
1357409906860073019	11139445	1601799	2495524	189960	31899
1357409907360698588	24637660	3498157	5392839	395240	87262
1357409907861207532	12380531	1712080	2654487	213416	56998
1357409908361781809	10234380	1459489	2267811	172451	29951
1357409908862328544	10601367	1510447	2358742	179640	31534
1357409909362933446	10556010	1511310	2355707	178638	29610
1357409909863500139	10524036	1521656	2358223	180918	29610
1357409910364044833	10580082	1503254	2332761	179515	31685
1357409910864603152	10037152	1470909	2294953	171724	29114
1357409911365135137	10126526	1446657	2242225	170997	28453
1357409911865710998	16914562	2422710	3739125	288985	59882
1357409912366270025	8159749	1088484	1703761	135133	27030
1357409912866845135	11310776	1627255	2543017	193104	34918
1357409913367395537	10575538	1518318	2362432	178499	29775
1357409913867969772	11155825	1592353	2485061	190234	31898
1357409914368540466	10551484	1506671	2345135	178546	32215
1357409914869086368	11118365	1600665	2503275	189841	31429
1357409915369648812	10547401	1519502	2368456	178733	29593
1357409915870233339	67684189	9532489	13378118	861902	1849668
1357409916370854824	83846597	12134438	18959698	1247898	288893
1357409916871459726	82027181	11957681	18739275	1215088	286959
1357409920135873719	441888069	66459462	105549984	6560670	1809116
1357409920636447871	39411829	5858340	9497391	553923	201944
1357409921137033731	41308144	5762491	9540809	540541	283822
1357409921637594508	76190977	11079995	17276687	1165045	276680
1357409922138175952	36165027	5376136	8583031	546165	186987
