#Timestamp	CPU cycles	L1 Data Cache access	L1 Instructions Cache access	L2 Data Cache access	Bus Access
1357142206213100534	1772156	19965	27717	2587	3762
1357142206714175976	223820	14894	18546	1046	865
1357142207215093210	103110	17309	22133	1367	948
1357142207716005528	84025	16095	20337	1178	480
1357142208217269094	111563	17375	22122	1234	500
1357142208718254787	232724	39445	54045	4683	3454
1357142209219354270	106047	15868	20053	1188	412
1357142209720238546	110066	17194	21497	1257	460
1357142210221130030	108644	15821	19587	1163	412
1357142210722020806	109080	17230	21154	1204	418
1357142211222987040	103775	17587	22147	1535	579
1357142211723872233	112598	15441	19525	1053	389
1357142212224761050	104400	15916	19356	1232	448
1357142212725651243	230688	38830	52106	4352	1579
1357142213226827643	111095	17292	21729	1271	448
1357142213727698002	86781	15898	19631	1159	388
1357142214228691069	99440	17259	21047	1231	444
1357142214729576178	102628	15901	19340	1166	384
1357142215230466329	108481	17251	21038	1236	408
1357142215731355647	103133	15929	19338	1145	384
1357142216232246840	108036	17277	20819	1239	404
1357142216733212115	224967	39423	52751	3978	1278
1357142217234145516	105320	15847	21030	1347	517
1357142217735019459	113179	17208	20936	1101	385
1357142218236176817	106880	15857	19471	1159	388
1357142218737060676	108055	17204	21156	1253	396
1357142219238021868	103058	18812	23818	1488	564
1357142219738880478	95115	14132	17413	996	361
1357142220239922295	88846	15839	19529	1152	388
1357142220740810571	224553	39277	52560	3954	1314
1357142221241700305	125240	17254	21943	1182	392
1357142221742629831	101944	15839	19448	1121	384
1357142222243608981	112044	17253	20776	1173	412
1357142222744503007	101062	15838	19179	1119	376
1357142223245715157	107396	17271	20884	1159	392
1357142223746600308	101920	15841	19467	1146	416
1357142224247466917	107612	17283	20895	1209	396
1357142224748457318	225193	38836	51045	4195	1522
1357142225249325761	102721	15814	19537	1107	384
1357142225750186912	108536	17151	21068	1240	404
1357142226251025938	76122	15855	19726	945	384
1357142226751886880	105112	17289	21147	1144	408
1357142227252811239	101492	15852	19400	1141	478
1357142227753711515	110400	17220	21637	1293	431
1357142228254891665	122410	15850	19158	1099	384
1357142228755909649	222377	39357	52249	3955	1286
1357142229256896800	109976	17244	21628	1232	388
1357142229757934242	102893	15844	21660	1442	572
1357142230258916392	118479	17295	19716	1076	387
1357142230759948751	297852	15879	19476	1103	376
1357142231261051526	180227	17188	21043	1177	416
1357142231762139968	174362	15835	19372	1094	380
1357142232263377493	180675	17275	21075	1189	380
1357142232764463476	263939	39375	52373	3918	1266
1357142233265891917	173828	15855	19877	1199	376
1357142233766993859	181244	17222	21132	1214	388
1357142234268103217	179161	15872	19281	1131	368
1357142234769226993	179266	17224	21109	1210	380
1357142235270386226	168112	15833	19348	1179	372
1357142235771414168	177691	17292	20950	1224	380
1357142236272435068	172403	15841	19233	1201	372
1357142236773658177	293687	39313	51653	3996	1212
1357142237274717827	176026	17243	21681	1225	372
1357142237775745102	169265	15880	19374	1141	364
1357142238278862579	181109	17204	21091	1225	384
1357142238779993229	160301	15899	19351	1144	364
1357142239281076004	156706	17236	21027	1187	376
1357142239782207363	169016	15907	19252	1168	372
1357142240283514971	176918	17245	21060	1224	380
1357142240784616288	292809	39476	51944	3921	1242
1357142241285731229	172605	15872	19574	1167	372
1357142241786877338	171357	17227	21121	1185	380
1357142242288105238	176576	15853	19278	1396	506
1357142242789219554	180827	17210	21702	1091	339
1357142243290801786	171076	15838	19168	1159	372
1357142243791991561	173291	17309	21282	1196	401
1357142244293252086	169094	15886	19077	1156	408
1357142244794338028	293160	39220	51392	3987	1286
1357142245295372470	150779	17293	21462	1154	408
1357142245796562078	166735	15948	19408	1119	390
1357142246297932644	181297	17206	22084	1581	596
1357142246799023586	179176	16780	19898	1008	333
1357142247300140819	176211	17227	20658	1226	380
1357142247801251636	169519	15815	19061	1125	368
1357142248302902243	169532	17202	20490	1200	583
