#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU cycles	L1 Data Cache access	L1 Instructions Cache access	L2 Data Cache access	Bus Access	
1357142206738273021	automotive_bitcount	200	53	0.900000	0.110000	0.100000	103110	17309	22133	1367	948
1357142207284403936	automotive_bitcount	200	53	0.900000	0.072000	0.066000	84025	16095	20337	1178	480
1357142207823249376	automotive_bitcount	200	53	0.900000	0.073000	0.067000	111563	17375	22122	1234	500
1357142208368147129	automotive_bitcount	200	54	0.900000	0.072000	0.066000	232724	39445	54045	4683	3454
1357142208901924837	automotive_bitcount	200	54	0.900000	0.073000	0.067000	106047	15868	20053	1188	412
1357142209463238618	automotive_bitcount	200	54	0.900000	0.072000	0.066000	110066	17194	21497	1257	460
1357142210002291807	automotive_bitcount	200	54	0.900000	0.072000	0.066000	108644	15821	19587	1163	412
1357142210548309640	automotive_bitcount	200	54	0.900000	0.073000	0.067000	109080	17230	21154	1204	418
1357142211082832136	automotive_bitcount	200	54	0.900000	0.073000	0.067000	103775	17587	22147	1535	579
1357142211622788698	automotive_bitcount	200	54	0.900000	0.073000	0.067000	112598	15441	19525	1053	389
1357142212172837100	automotive_bitcount	200	53	0.900000	0.073000	0.067000	104400	15916	19356	1232	448
1357142212713249993	automotive_bitcount	200	54	0.900000	0.073000	0.067000	230688	38830	52106	4352	1579
1357142213263243312	automotive_bitcount	200	54	0.900000	0.073000	0.067000	86781	15898	19631	1159	388
1357142213815247875	automotive_bitcount	200	54	0.900000	0.073000	0.067000	99440	17259	21047	1231	444
1357142214348339084	automotive_bitcount	200	54	0.900000	0.073000	0.067000	102628	15901	19340	1166	384
1357142214908209037	automotive_bitcount	200	54	0.900000	0.073000	0.067000	108481	17251	21038	1236	408
1357142215448378556	automotive_bitcount	200	54	0.900000	0.072000	0.066000	103133	15929	19338	1145	384
1357142215993144185	automotive_bitcount	200	54	0.900000	0.072000	0.066000	108036	17277	20819	1239	404
1357142216528269346	automotive_bitcount	200	54	0.900000	0.072000	0.066000	224967	39423	52751	3978	1278
1357142217077864333	automotive_bitcount	200	54	0.900000	0.073000	0.067000	105320	15847	21030	1347	517
1357142217622905169	automotive_bitcount	200	54	0.900000	0.072000	0.066000	113179	17208	20936	1101	385
1357142218183197870	automotive_bitcount	200	53	0.900000	0.073000	0.067000	106880	15857	19471	1159	388
1357142218728323997	automotive_bitcount	200	54	0.900000	0.073000	0.067000	108055	17204	21156	1253	396
1357142219273128334	automotive_bitcount	200	54	0.900000	0.072000	0.066000	95115	14132	17413	996	361
1357142219810409071	automotive_bitcount	200	54	0.900000	0.073000	0.067000	88846	15839	19529	1152	388
1357142220368168114	automotive_bitcount	200	54	0.900000	0.073000	0.067000	224553	39277	52560	3954	1314
1357142220905766725	automotive_bitcount	200	54	0.900000	0.073000	0.067000	125240	17254	21943	1182	392
1357142221448208528	automotive_bitcount	200	54	0.900000	0.073000	0.067000	101944	15839	19448	1121	384
1357142222003460788	automotive_bitcount	200	54	0.900000	0.073000	0.067000	112044	17253	20776	1173	412
1357142222548350250	automotive_bitcount	200	54	0.900000	0.073000	0.067000	101062	15838	19179	1119	376
1357142223082932704	automotive_bitcount	200	54	0.900000	0.073000	0.067000	107396	17271	20884	1159	392
1357142223628304956	automotive_bitcount	200	54	0.900000	0.072000	0.066000	101920	15841	19467	1146	416
1357142224173196000	automotive_bitcount	200	54	0.900000	0.073000	0.067000	107612	17283	20895	1209	396
1357142224707976621	automotive_bitcount	200	54	0.900000	0.073000	0.067000	225193	38836	51045	4195	1522
1357142225252961582	automotive_bitcount	200	54	0.900000	0.073000	0.067000	108536	17151	21068	1240	404
1357142225792815310	automotive_bitcount	200	54	0.900000	0.073000	0.067000	76122	15855	19726	945	384
1357142226333340870	automotive_bitcount	200	54	0.900000	0.073000	0.067000	105112	17289	21147	1144	408
1357142226872843391	automotive_bitcount	200	54	0.900000	0.072000	0.066000	101492	15852	19400	1141	478
1357142227412851202	automotive_bitcount	200	54	0.900000	0.073000	0.067000	110400	17220	21637	1293	431
1357142227959094451	automotive_bitcount	200	54	0.900000	0.073000	0.067000	122410	15850	19158	1099	384
1357142228508108482	automotive_bitcount	200	54	0.900000	0.072000	0.066000	222377	39357	52249	3955	1286
1357142229048072710	automotive_bitcount	200	54	0.900000	0.073000	0.067000	109976	17244	21628	1232	388
1357142229598180904	automotive_bitcount	200	54	0.900000	0.073000	0.067000	102893	15844	21660	1442	572
1357142230143180740	automotive_bitcount	200	54	0.900000	0.072000	0.066000	118479	17295	19716	1076	387
1357142230673441917	automotive_qsort1	200	54	0.900000	0.073000	0.067000	297852	15879	19476	1103	376
1357142231228653885	automotive_qsort1	200	54	0.900000	0.073000	0.067000	180227	17188	21043	1177	416
1357142231763744588	automotive_qsort1	200	54	0.900000	0.073000	0.067000	180675	17275	21075	1189	380
1357142232316848897	automotive_qsort1	200	54	0.900000	0.073000	0.067000	263939	39375	52373	3918	1266
1357142232853874093	automotive_qsort1	200	54	0.900000	0.073000	0.067000	173828	15855	19877	1199	376
1357142233403550330	automotive_qsort1	200	54	0.900000	0.073000	0.067000	181244	17222	21132	1214	388
1357142233948868873	automotive_qsort1	200	54	0.900000	0.073000	0.067000	179161	15872	19281	1131	368
1357142234483329662	automotive_qsort1	200	54	0.900000	0.074000	0.068000	179266	17224	21109	1210	380
1357142235038777338	automotive_qsort1	200	54	0.900000	0.073000	0.067000	168112	15833	19348	1179	372
1357142235573500083	automotive_qsort1	200	54	0.900000	0.073000	0.067000	177691	17292	20950	1224	380
1357142236138566477	automotive_qsort1	200	54	0.900000	0.073000	0.067000	172403	15841	19233	1201	372
1357142236673441389	automotive_qsort1	200	54	0.900000	0.073000	0.067000	293687	39313	51653	3996	1212
1357142237223568291	automotive_qsort1	200	54	0.900000	0.073000	0.067000	176026	17243	21681	1225	372
1357142237768544294	automotive_qsort1	200	54	0.900000	0.073000	0.067000	169265	15880	19374	1141	364
1357142238313844712	automotive_qsort1	200	54	0.900000	0.073000	0.067000	160301	15899	19351	1144	364
