#Timestamp	Benchmark	CPU(0) Frequency(MHz)	CPU(0) Temperature(C)	A7 Voltage(V)	A7 Current(A)	A7 Power(W)	CPU cycles	Instructions architecturally executed	Exceptions taken	Predictable branch speculatively executed	Mispredicted or not predicted branch speculatively executed	
1357741222391545134	automotive_bitcount	900	62	1.000000	0.040000	0.042000	8205847	2820243	127	308671	74192
1357741222921128813	automotive_bitcount	900	63	1.000000	0.040000	0.042000	8635357	2884536	125	315366	75706
1357741223451113491	automotive_bitcount	900	63	1.000000	0.040000	0.042000	8863106	2965085	139	325031	78778
1357741223981112461	automotive_bitcount	900	63	1.000000	0.039000	0.041000	6777289	2270412	93	252072	58878
1357741224511126181	automotive_bitcount	900	63	1.000000	0.040000	0.042000	8919994	3023425	134	330654	79983
1357741225041114442	automotive_bitcount	900	63	1.000000	0.040000	0.042000	8945683	3010171	132	328948	79293
1357741225571108329	automotive_bitcount	900	63	1.000000	0.040000	0.042000	8843712	3010180	136	329989	79616
1357741226101095715	automotive_bitcount	900	64	1.000000	0.039000	0.041000	9138391	3082628	135	337409	81796
1357741226631100143	automotive_bitcount	900	64	1.000000	0.041000	0.043000	14145410	4579450	187	506175	120416
1357741227161106030	automotive_bitcount	900	64	1.000000	0.040000	0.042000	9666482	3234170	135	360401	84131
1357741227691100666	automotive_bitcount	900	65	1.000000	0.039000	0.041000	9403575	3162993	140	347135	84047
1357741228221102261	automotive_bitcount	900	64	1.000000	0.040000	0.042000	8845838	3032798	130	332774	80678
1357741228751112689	automotive_bitcount	900	64	1.000000	0.040000	0.042000	9135322	3093812	135	338864	81774
1357741229281102826	automotive_bitcount	900	63	1.000000	0.040000	0.042000	6495824	2140285	91	237498	57419
1357741229811099295	automotive_bitcount	900	63	1.000000	0.040000	0.042000	8830720	3036878	132	332955	80787
1357741230341107390	automotive_bitcount	900	63	1.000000	0.039000	0.041000	10302831	3490254	147	383878	93468
1357741230871101735	automotive_bitcount	900	63	1.000000	0.040000	0.042000	8488954	2935914	127	320827	78561
1357741231400251749	automotive_bitcount	900	63	1.000000	0.041000	0.043000	18222001	5946505	270	655805	160430
1357741231931099091	automotive_bitcount	900	63	1.000000	0.041000	0.043000	8743199	2962607	129	323979	78410
1357741232461093728	automotive_bitcount	900	63	1.000000	0.040000	0.042000	9050343	3043720	135	333142	80623
1357741232991101989	automotive_bitcount	900	63	1.000000	0.039000	0.041000	8860794	3010818	131	329656	79203
1357741233511115826	automotive_bitcount	900	64	1.000000	0.040000	0.042000	9313865	3129596	139	342957	82674
1357741234056111454	automotive_bitcount	900	64	1.000000	0.040000	0.042000	6497832	2116451	95	234065	57333
1357741234586108007	automotive_bitcount	900	64	1.000000	0.040000	0.042000	9043570	3050287	130	334798	80994
1357741235116097977	automotive_bitcount	900	65	1.000000	0.040000	0.042000	8613577	2919564	124	319464	77233
1357741235646112821	automotive_bitcount	900	65	1.000000	0.040000	0.042000	9079078	3034162	137	332149	80765
1357741236176302166	automotive_qsort1	900	63	1.000000	0.040000	0.042000	13971321	4210514	172	466091	113133
1357741236706292344	automotive_qsort1	900	63	1.000000	0.040000	0.042000	14208516	4625788	188	512683	123594
1357741237236275647	automotive_qsort1	900	63	1.000000	0.040000	0.042000	10857221	3655924	151	403201	97590
1357741237766332241	automotive_qsort1	900	63	1.000000	0.040000	0.042000	10789787	3649904	158	403568	97188
1357741238296286253	automotive_qsort1	900	64	1.000000	0.040000	0.042000	11262605	3757424	157	414422	100531
1357741238826270890	automotive_qsort1	900	64	1.000000	0.040000	0.042000	8441254	2776558	118	310146	74908
1357741239356296151	automotive_qsort1	900	63	1.000000	0.040000	0.042000	10720439	3626086	148	399576	96253
1357741239886276787	automotive_qsort1	900	64	1.000000	0.040000	0.042000	10229629	3525950	149	388526	93783
1357741240408616075	automotive_qsort1	900	64	1.000000	0.041000	0.043000	11037224	3788426	161	418621	101679
1357741240951277419	automotive_qsort1	900	64	1.000000	0.040000	0.042000	10664573	3633334	151	400580	96734
1357741241481320305	automotive_qsort1	900	64	1.000000	0.039000	0.041000	13504476	4465896	185	493907	119940
1357741242011301691	automotive_qsort1	900	64	1.000000	0.040000	0.042000	10901165	3683205	156	406599	98539
1357741242541351953	automotive_qsort1	900	64	1.000000	0.041000	0.043000	11189767	3761913	160	415442	100353
1357741243071292339	automotive_qsort1	900	64	1.000000	0.040000	0.042000	10795048	3669434	151	404524	97546
1357741243601310142	automotive_qsort1	900	64	1.000000	0.040000	0.042000	8533406	2792231	115	312165	75933
1357741244131303071	automotive_qsort1	900	64	1.000000	0.040000	0.042000	11104521	3744328	152	412487	99909
1357741244661313374	automotive_qsort1	900	64	1.000000	0.041000	0.043000	11340070	3800469	158	419203	101401
1357741245191330677	automotive_qsort1	900	63	1.000000	0.041000	0.043000	11063295	3722954	155	410565	98906
1357741245721287563	automotive_qsort1	900	64	1.000000	0.040000	0.042000	11275532	3813189	160	421848	101801
1357741246251346408	automotive_qsort1	900	63	1.000000	0.040000	0.042000	11131489	3724262	158	411826	99480
1357741246781303836	automotive_qsort1	900	64	1.000000	0.040000	0.042000	13619557	4495307	184	497915	120562
1357741247311279764	automotive_qsort1	900	63	1.000000	0.040000	0.042000	10499364	3552005	152	392013	94214
1357741247841298942	automotive_qsort1	900	63	1.000000	0.040000	0.042000	11147348	3738821	163	413104	100096
1357741248371286537	automotive_qsort1	900	64	1.000000	0.040000	0.042000	10768473	3609657	151	397759	95690
1357741248901349757	automotive_qsort1	900	63	1.000000	0.041000	0.043000	10597193	3653978	153	402378	97233
1357741249431299352	automotive_qsort1	900	64	1.000000	0.041000	0.043000	10789278	3685956	159	408135	98546
1357741249961297697	automotive_qsort1	900	63	1.000000	0.040000	0.042000	26506795	8346111	259	925338	197655
1357741250491369791	automotive_susan_c	900	63	1.000000	0.040000	0.042000	50695210	16976650	549	1885922	391621
1357741251021398261	automotive_susan_c	900	63	1.000000	0.045000	0.047000	109839142	36323226	1485	4040191	895658
1357741251551394856	automotive_susan_c	900	64	1.000000	0.054000	0.057000	97947094	32154256	1259	3601691	779267
1357741252078628960	automotive_susan_c	900	63	1.000000	0.048000	0.051000	66764085	22295933	852	2481585	532300
1357741252611399545	automotive_susan_c	900	62	1.000000	0.045000	0.047000	51005002	16965155	590	1878165	396410
1357741253137931943	automotive_susan_c	900	57	1.000000	0.046000	0.048000	57972811	19250764	763	2137913	466023
1357741253655098790	automotive_susan_c	900	58	1.000000	0.045000	0.047000	55641566	18526664	723	2055441	448958
