#Timestamp	CPU cycles	Instructions architecturally executed	Exceptions taken	Predictable branch speculatively executed	Mispredicted or not predicted branch speculatively executed
1357754684272062642	31811104	11349264	387	1419113	246048
1357754684772590961	8848423	3030148	138	333041	80307
1357754685273023489	6180368	2056968	91	228836	54750
1357754685773478349	8791042	2985382	130	328381	79067
1357754686273967460	16057192	5240170	222	578174	136410
1357754686774391696	8672259	2953578	127	324600	78065
1357754687274817265	9000510	3085440	139	339608	81678
1357754687775247626	14861956	7860510	140	1209798	148671
1357754688275674486	9310318	3166251	136	348001	84109
1357754688776093139	9209858	3139653	132	343852	83409
1357754689276517708	9067648	3127637	133	343542	83420
1357754689776939277	8901165	3064494	129	335548	81645
1357754690277363055	6770926	2238124	100	250082	60728
1357754690777785916	8883389	3068350	129	336433	82036
1357754691278330568	11352675	3738628	160	410999	99966
1357754691778796845	9083748	3111276	134	341463	83103
1357754692279218872	9135394	3109536	136	341256	82493
1357754692779632358	8844594	3010639	128	329349	80163
1357754693280049011	9115105	3106742	136	341357	83006
1357754693780466872	8584074	2937849	126	320661	77735
1357754694280882899	8718076	3080057	135	337690	82275
1357754694781302135	8014702	2706985	114	297858	72211
1357754695281720621	7387708	2504290	107	276236	67220
1357754695782142981	9220100	3131668	136	343971	83362
1357754696282608134	11177247	3714789	159	409822	99339
1357754696783030078	8675586	2970373	126	325336	79116
1357754697283508647	9291457	3150105	134	345875	84011
1357754697783933883	8917818	3018621	124	330814	80410
1357754698284350077	9356641	3165865	138	347638	84682
1357754698784789271	14154600	4256232	169	471091	114487
1357754699285271132	11186029	3763969	153	415843	100693
1357754699785752159	8393823	2771095	114	310248	74936
1357754700286230186	11125988	3727374	151	411621	99706
1357754700786712838	10979463	3671191	150	405232	98017
1357754701287320907	18572819	5692984	331	648851	161400
1357754701787801976	11419930	3826265	168	422115	102792
1357754702288279336	11316724	3778626	160	418388	101187
1357754702788831530	10326668	3546057	148	390299	94823
1357754703289312724	25914924	8240129	303	922244	210595
1357754703789899876	11109416	3726284	159	411087	99833
1357754704290460070	11112984	3717530	159	409423	99089
1357754704791024472	8374497	2757320	111	307450	74510
1357754705291585207	11108458	3787042	156	419197	101209
1357754705792150984	10978538	3738121	153	412627	100091
1357754706292874510	13643033	4475016	185	497266	119506
1357754706793466787	11132970	3751969	152	413672	100345
1357754707294026523	11102296	3725923	158	411282	98869
1357754707794589591	11260454	3781594	161	418604	101075
1357754708295157493	11105514	3723763	158	410789	99228
1357754708795715145	10958221	3681642	154	406282	98084
1357754709296284464	12054660	3953584	177	437560	106107
1357754709796841991	8333386	2758978	112	307790	74252
1357754710297402101	11427044	3838892	166	424871	102855
1357754710797956920	11020379	3707249	152	408744	98926
1357754711298672905	12866681	4247162	178	470646	113820
1357754711799212932	10824589	3700425	156	408296	98625
1357754712299695001	10685073	3617654	158	399580	96815
1357754712800195486	27283203	8514108	264	944650	201514
1357754713300703305	65214514	21782327	872	2417356	531291
1357754713801182249	85754065	28528193	1160	3165763	694440
1357754714301676735	62383768	20466647	807	2272401	497434
1357754714802202637	51852110	17281463	610	1918104	405748
1357754715302703039	72480926	24159502	1031	2680078	599205
1357754715803194691	70557828	23625874	1017	2617857	589538
1357754716303851926	87394443	29484899	1292	3275948	737927
1357754716804332245	66760171	22244864	945	2466148	557204
1357754717304825898	64912337	21369404	878	2370083	528482
1357754717805305133	70961497	23546263	986	2607451	588514
1357754718305808244	81526809	26979794	1172	2993849	687564
1357754718806338646	75686516	25292348	1102	2802713	638345
1357754719306833631	67567182	22295501	929	2472237	556219
1357754719807325450	66999240	22427557	841	2486354	532917
1357754720307821936	65472063	21665070	915	2402346	539159
1357754720808316338	63166027	20885272	824	2316428	511204
1357754721331231040	70585856	23491451	933	2609237	573841
1357754721831729651	53938153	17954988	738	1987304	444017
