#Timestamp	CPU cycles	Instructions architecturally executed	Exceptions taken	Predictable branch speculatively executed	Mispredicted or not predicted branch speculatively executed
1357490192563448317	124316897	97431320	3209	16812372	547941
1357490193064391343	255615	71566	2	15267	1785
1357490193565107911	88014	31050	1	6484	456
1357490194065805812	114584	33769	1	7126	508
1357490194566522464	112282	29357	1	6146	408
1357490195067235407	118393	32046	1	6799	453
1357490195567944142	110846	29354	1	6084	363
1357490196068706043	116190	32046	2	7826	592
1357490196569420611	117715	28939	1	4945	331
1357490197070121846	234734	68939	3	14105	1437
1357490197571050414	290286	99614	3	19069	1859
1357490198071755024	116703	30638	2	6576	457
1357490198572463758	109297	27928	2	5895	395
1357490199073164243	114860	30776	2	6610	465
1357490199573992936	109295	27834	1	5873	358
1357490200074718004	114315	30631	1	6548	399
1357490200575419447	107953	27684	1	5819	365
1357490201076120349	227687	67155	2	14118	1274
1357490201576817792	97498	30666	1	6573	411
1357490202077543860	93829	28001	3	6022	410
1357490202578542719	114384	30610	2	6424	386
1357490203079300954	109343	27906	2	5889	366
1357490203580010522	114001	30781	2	6558	376
1357490204080720048	108615	27998	2	5900	362
1357490204581429700	113741	30435	2	6512	383
1357490205082140976	226846	67221	3	14154	1242
1357490205582853753	128801	28264	2	5974	371
1357490206083756195	113998	39515	2	8459	486
1357490206584614388	126250	26299	2	5517	336
1357490207085302790	115589	31504	2	6762	401
1357490207586137149	109378	28976	2	6095	346
1357490208086828009	115303	31612	2	6779	393
1357490208587519494	108779	27744	2	5857	344
1357490209088208271	226987	67083	2	14184	1255
1357490209589037630	99205	30816	2	6608	428
1357490210089737198	95006	27851	1	5891	360
1357490210590441475	113634	30784	2	6606	370
1357490211091137126	109278	27998	2	5924	358
1357490211591834319	114152	30690	2	6597	358
1357490212092532513	108383	27990	2	5935	357
1357490212593408955	113850	30455	2	6527	374
1357490213094173732	226381	66977	2	14178	1213
1357490213594871425	110235	28039	2	5923	375
1357490214095565868	114699	30693	2	6570	385
1357490214596269770	108937	28054	2	5921	361
1357490215096965588	114199	30690	2	6586	379
1357490215597653239	108841	27848	1	5894	349
1357490216098357224	114561	30720	2	6567	372
1357490216599261208	109414	27796	2	5828	350
1357490217100058193	464334	67190	3	14136	1237
1357490217601104177	188802	30778	2	6615	404
1357490218101952786	161345	28231	2	5948	380
1357490218602814020	194453	30165	2	6540	381
1357490219103833462	187560	39663	2	8486	489
1357490219604700072	216497	28284	2	5976	376
1357490220105562264	194261	30796	2	6588	383
1357490220606424624	182480	27369	2	5768	360
1357490221107293191	739113	224026	30	48980	5157
1357490221608207967	193476	28267	2	5949	465
1357490222109207701	191316	30215	2	6492	471
1357490222610152060	188741	28106	2	5895	392
1357490223110932461	188141	31037	2	6604	486
1357490223611716613	188514	27420	2	5772	392
1357490224112499556	191665	30239	2	6499	386
1357490224613274874	182593	27781	2	5842	371
1357490225114160774	308481	66858	2	14187	1360
1357490225614940342	177122	30995	2	6628	449
1357490226115706619	169906	27823	2	5899	373
1357490226616835602	196525	30861	2	6599	389
1357490227117791045	181953	28059	2	5910	373
1357490227618965736	190983	30321	2	6543	403
1357490228119845345	181871	28047	2	5902	363
1357490228620716371	190375	30077	2	6478	395
1357490229121606772	304972	67287	3	14222	1303
1357490229622488007	184506	28144	2	5941	410
1357490230123362991	190357	30381	2	6546	412
1357490230624363808	180836	27975	2	5923	431
1357490231125264042	191621	29882	2	6445	394
1357490231626398817	185922	28172	2	5935	364
1357490232127353510	186767	30738	2	6567	412
1357490232629798739	184566	27202	2	5791	356
1357490233130687515	300612	67447	3	14188	1278
1357490233631565666	190452	30183	2	6522	417
1357490234132376775	157724	28231	2	5950	380
1357490234633227218	182785	30381	2	6535	406
1357490235134207410	184476	27593	2	5871	363
1357490235635105686	187093	31069	2	6629	450
1357490236135987212	184300	27319	2	5789	359
1357490236636862779	190292	30467	2	6532	417
1357490237137837263	297455	67336	3	14169	1233
1357490237638847164	184616	27590	2	5853	375
1357490238139656315	187513	30883	2	6595	414
1357490238640477299	180860	27553	2	5863	348
1357490239141285992	189132	30683	2	6578	383
1357490239642086977	179098	28050	2	5917	364
1357490240142888545	188149	30370	2	6534	396
1357490240643851320	182053	27717	2	5877	424
1357490241144635597	300410	66294	2	14003	1226
1357490241645413956	190500	30816	2	6585	410
