#Timestamp	Benchmark	CPU(0) Frequency(MHz)	CPU(0) Temperature(C)	A7 Voltage(V)	A7 Current(A)	A7 Power(W)	CPU cycles	L1 Data Cache access	L1 Instructions Cache access	L2 Data Cache access	Bus Access	
1357439754003729341	automotive_bitcount	300	50	0.900000	0.017000	0.015000	6810261	1254292	2009985	141767	22473
1357439754510128890	automotive_bitcount	300	50	0.900000	0.016000	0.014000	6577273	1216999	1957205	135696	21673
1357439755016346314	automotive_bitcount	300	50	0.900000	0.017000	0.015000	6707081	1242648	2001860	137707	22149
1357439755522556739	automotive_bitcount	300	50	0.900000	0.016000	0.014000	7242271	1335172	2160071	147561	26876
1357439756028700331	automotive_bitcount	300	50	0.900000	0.016000	0.014000	6681837	1243044	1993340	138136	21648
1357439756535223171	automotive_bitcount	300	50	0.900000	0.017000	0.015000	6724756	1251057	2011835	138839	21719
1357439757041491137	automotive_bitcount	300	50	0.900000	0.016000	0.014000	5449771	994437	1602537	112549	17984
1357439757547702562	automotive_bitcount	300	50	0.900000	0.017000	0.015000	5539005	1013142	1633838	114066	18301
1357439758053839987	automotive_bitcount	300	50	0.900000	0.016000	0.014000	6588234	1250370	1998566	139741	21865
1357439758560094453	automotive_bitcount	300	50	0.900000	0.016000	0.014000	6635735	1259181	2022936	140976	22580
1357439759066211920	automotive_bitcount	300	50	0.900000	0.017000	0.015000	6676023	1246565	1992807	138458	21578
1357439759572359011	automotive_bitcount	300	51	0.900000	0.016000	0.014000	6753224	1261711	2026006	140151	21702
1357439760078474353	automotive_bitcount	300	50	0.900000	0.016000	0.014000	6641163	1236532	1983878	138018	21646
1357439760584712444	automotive_bitcount	300	51	0.900000	0.016000	0.014000	6459704	1205866	1922466	136644	20802
1357439761091250993	automotive_bitcount	300	51	0.900000	0.017000	0.015000	6996959	1305263	2094154	143800	24964
1357439761597629084	automotive_bitcount	300	50	0.900000	0.017000	0.015000	5559865	1008323	1621834	114997	18300
1357439762103845717	automotive_bitcount	300	50	0.900000	0.017000	0.015000	5957286	1091432	1758860	122327	19696
1357439762610120349	automotive_bitcount	300	51	0.900000	0.016000	0.014000	6204270	1143353	1824750	128306	20386
1357439763116270858	automotive_bitcount	300	50	0.900000	0.017000	0.015000	6539163	1204859	1929668	136324	21324
1357439763622465741	automotive_bitcount	300	51	0.900000	0.016000	0.014000	6609765	1208411	1831430	164734	22457
1357439764128618916	automotive_bitcount	300	51	0.900000	0.016000	0.014000	6754120	1246187	2000519	138973	22479
1357439764634856840	automotive_bitcount	300	50	0.900000	0.017000	0.015000	6883046	1267916	2036082	143133	22793
1357439765140980932	automotive_bitcount	300	50	0.900000	0.016000	0.014000	6836188	1261325	2031046	141299	22711
1357439765647142315	automotive_bitcount	300	50	0.900000	0.016000	0.014000	6724464	1251404	2002307	139056	22209
1357439766153343448	automotive_bitcount	300	50	0.900000	0.017000	0.015000	7053065	1305960	2105170	144668	25597
1357439766659768997	automotive_bitcount	300	50	0.900000	0.017000	0.015000	5460252	994048	1597328	113845	17910
1357439767165986922	automotive_bitcount	300	50	0.900000	0.016000	0.014000	7258274	1074940	1696304	131575	22384
