#Timestamp	CPU cycles	L1 Data Cache access	L1 Instructions Cache access	L2 Data Cache access	Bus Access
1357437605068420661	9614449	1285389	2033362	144687	24673
1357437605568998729	7117756	1244204	1968786	139516	21864
1357437606069546381	7149127	1256058	1985151	138715	22266
1357437606570013034	7857438	1348756	2147822	151041	28514
1357437607070496227	7180810	1240940	1877730	161163	23195
1357437607570972005	5783312	999381	1584357	113536	18174
1357437608071444032	5847836	1008043	1602962	112951	18358
1357437608571922309	7094057	1242604	1953980	139341	22114
1357437609072413795	7070487	1245100	1944829	141460	22177
1357437609572891864	7049053	1245914	1954674	138745	21640
1357437610073381849	6891653	1236787	1960270	139441	22198
1357437610573886293	6969637	1221088	1928155	136177	21881
1357437611074434945	6894854	1194157	1879909	132196	21963
1357437611574931056	7727213	1329112	2099293	151785	29531
1357437612075502166	6486427	1100446	1763187	124726	23069
1357437612575992193	6160129	1061608	1695230	119198	19228
1357437613076488096	6995902	1200487	1840683	152592	22584
1357437613576979248	7077816	1238363	1958184	136609	21993
1357437614077465692	7061481	1239704	1964098	137283	22213
1357437614577957552	7119389	1231320	1935156	140314	26233
1357437615078449121	6998338	1223997	1947042	134863	21792
1357437615578936357	7156718	1256150	1984162	138323	22591
1357437616079489884	7250511	1261342	1999870	141357	23168
1357437616579982161	6926266	1217074	1927364	134303	21736
1357437617080544397	6264380	1078106	1705267	122717	22604
1357437617581037299	5876486	1010288	1601583	114161	18687
1357437618081577243	7157515	1251983	1967966	144021	22520
1357437618582082853	7097579	1254585	1977648	137189	22167
1357437619082618338	8965714	1318616	1990324	169998	26980
1357437619583184240	7068845	1215549	1910486	135946	22036
1357437620083751601	7075289	1209424	1910732	136418	22170
1357437620584318878	7219186	1223308	1939234	136566	23267
1357437621084894530	7231882	1226367	1956079	135367	23135
1357437621585467432	7217600	1231865	1956625	136049	22824
1357437622086151750	6670762	1108361	1776987	124986	24632
1357437622586705527	6055928	1017160	1611814	114138	19857
1357437623087260262	7094879	1218212	1929501	134519	22511
1357437623587841456	7138581	1220574	1927836	135115	23125
1357437624088408025	7134559	1219573	1920887	135709	22677
1357437624588979052	7246079	1241111	1965238	138175	23275
1357437625089601370	7233603	1248136	1971610	138173	22770
1357437625590169772	7370571	1249080	1939204	150980	23943
1357437626090740132	7190402	1240530	1960924	136377	23100
1357437626591327659	7189625	1238383	1955810	137564	23325
1357437627092011602	14394536	2470136	3777936	265308	212747
1357437627592718171	6118728	1030744	1635737	116367	20416
1357437628093373656	7208429	1247460	1967687	138110	23215
1357437628594029474	7259665	1254343	1970235	140070	23200
1357437629094737584	7070365	1221889	1927856	135980	22418
1357437629595402402	7014798	1209807	1908983	133867	21786
1357437630096040554	7380881	1251891	1983116	139998	24585
1357437630596658872	7259694	1238617	1967433	136896	23156
1357437631097283066	7215265	1229384	1948668	136294	23025
1357437631597923718	6099180	1015903	1613950	115865	19780
1357437632098726869	6604823	1080744	1728508	124872	26570
1357437632599314271	7107812	1186053	1777662	161111	23031
1357437633099876173	9571007	1365646	2160713	159881	31327
1357437633600465991	12934680	1845368	3055005	200037	69750
1357437634101051852	13277733	1900879	3145178	207021	72828
1357437634601607295	11533587	1721045	2807239	188990	57376
1357437635102143864	10084182	1555241	2527204	171603	46821
1357437635602689766	9567114	1490601	2403021	167748	41603
1357437636103216877	9580152	1480892	2380198	168116	43031
1357437636603780695	8332281	1263887	2039427	146037	39238
1357437637104527055	8783804	1346464	2192838	151788	40979
1357437637605044249	9400092	1482921	2388837	168354	42260
1357437638105595692	10510439	1627874	2623500	181887	48462
1357437638606127095	10295225	1585633	2573693	175491	50853
