#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU cycles	L1 Data Cache access	L1 Instructions Cache access	L2 Data Cache access	Bus Access	
1357145212792812949	automotive_bitcount	800	55	0.900000	0.251000	0.230000	139369	15347	20108	1072	349
1357145213302542820	automotive_bitcount	800	55	0.900000	0.251000	0.230000	129343	15868	21268	1182	364
1357145213812233191	automotive_bitcount	800	55	0.900000	0.251000	0.230000	291042	39038	54726	4226	1598
1357145214321893813	automotive_bitcount	800	55	0.900000	0.251000	0.230000	128128	15920	19922	1207	371
1357145214831604184	automotive_bitcount	800	55	0.900000	0.251000	0.230000	138274	16996	21856	1209	362
1357145215341284639	automotive_bitcount	800	55	0.900000	0.251000	0.230000	126055	15833	20002	1202	371
1357145215850951718	automotive_bitcount	800	55	0.900000	0.251000	0.230000	132452	17388	22202	1250	387
1357145216360675048	automotive_bitcount	800	55	0.900000	0.251000	0.230000	126551	15824	20100	1221	368
1357145216870344294	automotive_bitcount	800	55	0.900000	0.251000	0.230000	118168	17210	21823	1237	392
1357145217380419914	automotive_bitcount	800	55	0.900000	0.252000	0.231000	261945	38559	51689	4088	1534
1357145217890195285	automotive_bitcount	800	55	0.900000	0.252000	0.231000	127539	15952	20356	1246	375
1357145218400009531	automotive_bitcount	800	55	0.900000	0.252000	0.231000	134100	17333	22441	1343	392
1357145218909727111	automotive_bitcount	800	55	0.900000	0.251000	0.230000	133394	15742	19706	1148	351
1357145219419457024	automotive_bitcount	800	55	0.900000	0.252000	0.231000	134895	17114	22024	1280	400
1357145219929338978	automotive_bitcount	800	55	0.900000	0.252000	0.231000	128893	16000	20270	1181	415
1357145220439101474	automotive_bitcount	800	55	0.900000	0.252000	0.231000	133842	17206	21936	1232	430
1357145220948882928	automotive_bitcount	800	55	0.900000	0.252000	0.231000	128487	15835	20283	1236	383
1357145221458862382	automotive_bitcount	800	55	0.900000	0.251000	0.230000	278106	39119	52649	3989	1442
1357145221968790586	automotive_bitcount	800	55	0.900000	0.251000	0.230000	135135	17320	22522	1339	396
1357145222478601665	automotive_bitcount	800	55	0.900000	0.252000	0.231000	148292	16362	21157	1266	427
1357145222988502994	automotive_bitcount	800	55	0.900000	0.251000	0.230000	140987	16801	21145	1191	388
1357145223498291365	automotive_bitcount	800	55	0.900000	0.252000	0.231000	125368	16055	20142	1195	371
1357145224008029986	automotive_bitcount	800	55	0.900000	0.251000	0.230000	131072	17276	22723	1300	406
1357145224517777816	automotive_bitcount	800	55	0.900000	0.251000	0.230000	125872	15948	19548	1192	401
1357145225027492812	automotive_bitcount	800	55	0.900000	0.252000	0.231000	132581	17259	22261	1284	407
1357145225537360308	automotive_bitcount	800	55	0.900000	0.252000	0.231000	288129	38950	52095	4082	1561
1357145226047076554	automotive_bitcount	800	55	0.900000	0.251000	0.230000	127727	15922	20447	1219	387
1357145226556777467	automotive_bitcount	800	55	0.900000	0.251000	0.230000	131122	17148	22026	1224	406
1357145227066656004	automotive_bitcount	800	55	0.900000	0.251000	0.230000	132335	15798	20333	1168	371
1357145227576822791	automotive_bitcount	800	55	0.900000	0.252000	0.231000	131754	17397	22239	1252	455
1357145228086640287	automotive_bitcount	800	55	0.900000	0.251000	0.230000	125577	15615	19391	1167	368
1357145228596462241	automotive_bitcount	800	55	0.900000	0.252000	0.231000	130714	17186	22634	1258	451
1357145229106144946	automotive_bitcount	800	55	0.900000	0.251000	0.230000	129666	15808	19807	1253	464
1357145229616003733	automotive_bitcount	800	55	0.900000	0.252000	0.231000	282786	39393	53098	4018	1522
1357145230125825104	automotive_bitcount	800	55	0.900000	0.252000	0.231000	133443	17386	22395	1349	388
1357145230635597100	automotive_bitcount	800	55	0.900000	0.252000	0.231000	126379	15902	20424	1251	425
1357145231145328971	automotive_bitcount	800	55	0.900000	0.252000	0.231000	140720	17112	21380	1214	422
1357145231655146634	automotive_bitcount	800	55	0.900000	0.252000	0.231000	128029	15975	20546	1282	446
1357145232164944255	automotive_bitcount	800	55	0.900000	0.251000	0.230000	133628	17354	21774	1267	450
1357145232674839084	automotive_bitcount	800	55	0.900000	0.251000	0.230000	126572	15745	19808	1194	446
1357145233184717913	automotive_bitcount	800	55	0.900000	0.252000	0.231000	133095	17216	21872	1235	403
1357145233694612908	automotive_bitcount	800	55	0.900000	0.252000	0.231000	280853	39588	52696	3996	1382
1357145234204472363	automotive_bitcount	800	55	0.900000	0.252000	0.231000	126278	15455	19517	1197	430
1357145234714238692	automotive_bitcount	800	55	0.900000	0.252000	0.231000	133826	17325	22860	1320	478
1357145235224122354	automotive_bitcount	800	55	0.900000	0.251000	0.230000	134217	15718	19645	1132	409
1357145235733883434	automotive_bitcount	800	55	0.900000	0.252000	0.231000	131413	17698	22571	1249	435
1357145236244214636	automotive_qsort1	800	55	0.900000	0.252000	0.231000	396374	16324	20957	1302	422
1357145236754462131	automotive_qsort1	800	55	0.900000	0.252000	0.231000	218259	16793	21233	1216	368
1357145237265159290	automotive_qsort1	800	55	0.900000	0.252000	0.231000	211189	15968	20383	1141	362
1357145237775351993	automotive_qsort1	800	55	0.900000	0.252000	0.231000	367562	38794	51411	3962	1359
1357145238285500988	automotive_qsort1	800	55	0.900000	0.252000	0.231000	218942	17244	27099	1897	609
1357145238796128856	automotive_qsort1	800	55	0.900000	0.252000	0.231000	261879	22810	24399	1166	407
1357145239306635183	automotive_qsort1	800	55	0.900000	0.252000	0.231000	224038	17262	21642	1283	386
1357145239816823053	automotive_qsort1	800	55	0.900000	0.252000	0.231000	215497	16663	20429	1218	372
1357145240326983673	automotive_qsort1	800	55	0.900000	0.252000	0.231000	216788	16825	21172	1315	368
1357145240837189584	automotive_qsort1	800	55	0.900000	0.252000	0.231000	209769	15831	19829	1069	357
1357145241347283996	automotive_qsort1	800	55	0.900000	0.252000	0.231000	222244	16981	28593	1522	466
1357145241857404407	automotive_qsort1	800	55	0.900000	0.252000	0.231000	368894	39322	48103	3575	1162
1357145242367482819	automotive_qsort1	800	55	0.900000	0.252000	0.231000	217714	17185	21837	1361	376
1357145242878220603	automotive_qsort1	800	55	0.900000	0.252000	0.231000	222069	16190	20500	1134	359
1357145243388444973	automotive_qsort1	800	55	0.900000	0.252000	0.231000	216924	16777	20826	1160	346
1357145243898684009	automotive_qsort1	800	55	0.900000	0.252000	0.231000	212238	16298	20725	1258	372
1357145244409696793	automotive_qsort1	800	55	0.900000	0.252000	0.231000	215511	16894	20698	1953	364
1357145244919956745	automotive_qsort1	800	55	0.900000	0.252000	0.231000	189787	15563	18873	1810	388
1357145245430056740	automotive_qsort1	800	55	0.900000	0.252000	0.231000	367309	38737	51395	4108	1413
1357145245940263443	automotive_qsort1	800	55	0.900000	0.252000	0.231000	217987	17245	21934	1376	386
1357145246450582938	automotive_qsort1	800	55	0.900000	0.251000	0.230000	216900	15885	20276	1108	358
1357145246960726349	automotive_qsort1	800	55	0.900000	0.252000	0.231000	224049	16985	21876	1228	379
1357145247470958844	automotive_qsort1	800	55	0.900000	0.253000	0.232000	212643	16598	20797	1234	378
1357145247981194130	automotive_qsort1	800	55	0.900000	0.252000	0.231000	219930	16480	21138	1214	368
1357145248491731623	automotive_qsort1	800	55	0.900000	0.253000	0.232000	211878	15991	20056	1241	366
1357145249001982534	automotive_qsort1	800	55	0.900000	0.252000	0.231000	222082	17289	21816	1178	382
1357145249512144154	automotive_qsort1	800	55	0.900000	0.252000	0.231000	368059	38878	51508	4075	1417
1357145250022961147	automotive_qsort1	800	55	0.900000	0.252000	0.231000	216576	15977	20076	1235	353
