#Timestamp	CPU cycles	L1 Data Cache access	L1 Instructions Cache access	L2 Data Cache access	Bus Access
1357172281766143197	1098797	53614	72207	5124	1361
1357172282266912057	154843	18236	21476	1243	350
1357172282767542167	138952	17370	23378	1394	402
1357172283268229110	137494	15971	20807	1174	366
1357172283768857429	136982	17135	22501	1358	390
1357172284269479039	131037	16259	21131	1186	382
1357172284770104233	136472	17326	23971	1318	406
1357172285270722259	131023	15920	19508	1169	374
1357172285771349536	276948	38679	52368	3808	1189
1357172286272107896	138008	17638	24705	1444	457
1357172286774203376	118609	19284	23760	1418	423
1357172287274912777	139846	17778	22894	1351	406
1357172287775582262	129336	16016	20650	1199	366
1357172288276262831	134879	17295	23931	1304	405
1357172288776928149	147339	19295	24227	1315	363
1357172289277600759	135686	17452	23286	1358	390
1357172289778335077	277732	39381	53867	3948	1207
1357172290278970021	130507	15871	20848	1225	360
1357172290779639922	135241	17070	22460	1402	402
1357172291280313407	136536	15828	20555	1155	370
1357172291781209350	135093	17666	22646	1317	398
1357172292281890251	129144	15917	20944	1168	384
1357172292782558028	134751	17273	21991	1343	384
1357172293283276971	129084	15995	20563	1197	366
1357172293783952164	275426	38989	53063	3760	1193
1357172294284628316	136103	17250	22755	1378	386
1357172294785302301	130465	15920	20791	1159	370
1357172295285955203	141777	18439	24408	1495	405
1357172295786750312	148088	18500	23884	1266	377
1357172296287405631	135111	17393	22158	1366	388
1357172296788333656	129055	15904	20510	1190	374
1357172297289013141	133844	17350	22240	1395	398
1357172297789695210	280355	38851	52867	4013	1350
1357172298290369778	128781	15620	20724	1197	361
1357172298791064679	134420	17600	24097	1432	401
1357172299291740123	152813	19599	23649	1395	371
1357172299792409358	133407	17256	22234	1405	394
1357172300293090759	127678	15869	20469	1195	378
1357172300793775869	133206	17059	22345	1332	398
1357172301294451479	126573	16197	20927	1161	374
1357172301795379797	272588	38979	52680	3817	1213
1357172302296068281	133146	17074	22676	1420	398
1357172302796758516	127988	16156	21019	1155	362
1357172303297446751	139299	17321	24165	1338	398
1357172303798189778	127286	15867	19131	1155	366
1357172304298890596	153087	17504	24247	1344	398
1357172304799698914	128089	15812	19325	1146	362
1357172305300480857	133443	17300	23640	1378	406
1357172305801333716	574480	40096	54063	4251	1329
1357172306302220825	238659	18814	24831	1330	372
1357172306803446517	224721	16952	22377	1360	376
1357172307304264418	230074	16439	22013	1212	376
1357172307805093069	225159	18055	23599	1353	399
1357172308305902720	243643	18563	25229	1385	377
1357172308806709121	223100	17365	22017	1337	380
1357172309307610147	223135	16479	22304	1257	380
1357172309808634714	367444	38395	52182	3787	1168
1357172310309466032	225076	17320	23676	1426	384
1357172310810266017	242273	19665	24067	1376	389
1357172311311010418	232504	17253	22177	1376	384
1357172311811862236	224779	16004	20988	1152	388
1357172312312571596	225409	17334	23146	1312	379
1357172312813370580	240226	19715	24530	1322	381
1357172313314096982	228026	17227	24130	1301	378
1357172313814761633	371900	39470	53517	3803	1099
1357172314315420535	225724	15980	20877	1182	363
1357172314816093978	203618	16998	22555	1391	430
1357172315316949879	217810	16230	20687	1151	403
1357172315817735239	223875	17492	23548	1401	377
1357172316318510932	222062	16229	20241	1246	368
1357172316820884078	224897	18017	23257	1450	460
1357172317321637812	247235	18890	23805	1322	420
1357172317822403547	372004	38848	52292	3917	1268
1357172318323176948	228908	16819	23205	1352	404
1357172318823924100	242556	19526	23768	1400	403
1357172319324680793	234394	17345	22572	1381	446
1357172319825379486	224866	15941	21114	1208	432
1357172320326240804	228884	17468	23647	1340	392
1357172320827059705	220502	15920	19609	1159	370
1357172321327953856	229733	18267	27712	1652	563
1357172321828933256	396926	42905	55158	3929	1231
1357172322329791865	227647	15815	19346	1227	380
1357172322830668600	227377	18449	24701	1529	409
1357172323331508251	247378	18792	24132	1259	373
1357172323832407902	229239	16984	23159	1301	407
1357172324333315969	238405	19821	24546	1354	397
1357172324834106995	228066	16831	21558	1288	420
1357172325335018855	223159	16170	22370	1198	412
1357172325835799964	371980	39335	54278	3949	1220
1357172326336589699	227692	17031	23420	1308	388
1357172326837446141	236695	20231	25694	1474	401
1357172327338281001	239901	17648	22373	1399	420
1357172327839020319	236903	18911	23790	1251	404
1357172328339756054	230354	17109	23260	1281	388
1357172328840492663	219906	15964	19812	1155	380
1357172329341283023	230187	18477	24943	1514	416
1357172329842041508	395961	42843	58995	4217	1282
1357172330342743076	237704	18399	23429	1232	370
1357172330843562269	230262	17346	22222	1436	398
1357172331344277795	225361	15958	20802	1187	362
1357172331845134946	229946	17359	23803	1358	425
1357172332345862306	236527	19679	24068	1356	389
1357172332846619041	227813	18314	23904	1406	387
1357172333347341025	240321	18522	25047	1324	373
1357172333848079510	366509	39154	53017	3845	1153
1357172334348818787	232109	17290	24247	1482	429
1357172334849512980	221295	15935	19407	1231	382
1357172335350256298	236970	18377	24323	1363	393
1357172335850984658	237392	18309	23294	1381	359
1357172336351758226	227107	18439	24092	1494	402
1357172336852684585	240114	18327	23704	1205	399
1357172337353469819	753702	17562	24153	1364	397
1357172337854194762	1118307	39177	54215	4081	1237
1357172338354900456	958558	19489	24061	1397	409
1357172338855644524	938888	17343	23534	1463	418
1357172339356359050	1000571	19769	24425	1428	389
1357172339857082910	931446	17968	23189	1406	387
1357172340357931936	946769	19029	25277	1306	485
1357172340858659629	969223	17874	24879	1499	416
1357172341359367614	968132	19489	24980	1386	406
1357172341883005105	1141446	39011	52583	3960	1288
1357172342383711090	932535	17495	23999	1442	459
1357172342884415825	906957	19306	23868	1399	413
1357172343385156768	946229	17284	21781	1451	447
1357172343885969961	929644	19396	24962	1476	413
1357172344386712445	888161	17385	23514	1343	415
1357172344887430055	958168	19535	24844	1340	429
1357172345388307998	938111	17325	24085	1330	440
1357172345889059483	1124770	40000	54294	4096	1154
1357172346389801634	950459	18476	23883	1253	397
1357172346890597785	948313	17124	23611	1437	497
1357172347391301020	988432	19939	24192	1501	448
1357172347892075213	936044	18023	23784	1509	489
1357172348392810573	880353	18539	24212	1194	453
1357172348893614807	913265	17404	23465	1407	450
1357172349394341042	952323	16029	21868	1225	401
1357172349895126443	1093034	39649	54166	3978	1201
1357172350395885261	867733	17055	23443	1311	470
1357172350896605079	986972	19742	24335	1425	391
1357172351397351564	943129	18001	23601	1514	421
1357172351898130882	946891	18763	23615	1283	429
1357172352398897283	981706	16844	21766	1323	432
1357172352899654768	931802	16481	21865	1224	388
1357172353400417836	948475	16962	23692	1271	388
1357172353901187904	1119169	39762	54378	4146	1396
1357172354401908597	938645	15841	19723	1221	402
1357172354902657957	972087	17222	22515	1391	380
1357172355403632691	942288	16380	21604	1280	450
1357172355904431259	939474	18000	23528	1478	518
1357172356405172952	995124	18907	23831	1316	384
1357172356905890645	935780	16999	23204	1276	396
1357172357406672588	942451	15885	19694	1216	409
1357172357907393531	1096705	35663	48046	3697	1152
1357172358408227140	943171	18372	24266	1606	455
1357172358908994792	979661	18533	23600	1271	423
1357172359409743276	959133	18206	23629	1497	447
1357172359910499720	952188	18799	23893	1347	409
1357172360411234538	978632	16951	22916	1286	384
1357172360911952231	927281	16225	19968	1202	384
1357172361412681591	943948	16892	22281	1325	456
1357172361913490367	1108041	39003	52953	3969	1197
1357172362414256143	919675	15884	21035	1223	419
1357172362915032669	951520	17471	22950	1415	426
1357172363415777112	932836	15811	19238	1237	415
1357172363916514972	920911	18232	23504	1532	399
1357172364417244999	975534	18457	23710	1275	376
1357172364918038650	916468	18369	23558	1511	405
1357172365418734385	942321	18489	23801	1203	378
1357172365919400995	1078719	35996	48556	3555	1090
1357172366420124771	925083	18367	24656	1593	417
1357172366921009797	956763	18331	23407	1252	390
1357172367421746157	939434	18441	23982	1481	412
1357172367922446392	933178	18790	23941	1294	404
1357172368423243793	960506	17015	23029	1319	371
1357172368923937236	928486	19855	24858	1338	393
1357172369424626471	915153	18011	23823	1545	424
1357172369925566163	1095843	41624	59202	4073	1167
1357172370426367481	918849	16286	20248	1303	382
1357172370927110591	941655	16634	21898	1296	388
1357172371427858201	932309	16536	21540	1194	400
1357172371928795351	915900	18062	23476	1277	387
1357172372429593753	967904	18857	24211	1383	381
1357172372930308321	910124	17018	23029	1291	399
1357172373431026847	935989	19391	24494	1317	387
1357172373931654666	1087084	39549	54027	3755	1196
1357172374432401942	911803	17293	23773	1413	380
1357172374933354343	921919	15791	19296	1270	403
1357172375434100244	835317	17317	23936	1373	432
1357172375934792271	472485	20048	24430	1415	397
1357172376435488006	460386	17940	23455	1430	367
1357172376936332573	473011	18948	23807	1273	393
1357172377437102808	461287	18064	23937	1452	387
1357172377937922376	622351	42729	59632	4101	1100
1357172378438672902	474598	18856	24428	1334	434
1357172378939440137	463311	17992	23905	1494	416
1357172379440199913	486793	18913	24541	1350	416
1357172379940861606	493177	16907	23378	1437	517
1357172380441609675	474480	16085	19628	1205	415
1357172380942304076	456882	17188	22439	1326	388
1357172381443010853	453406	16033	21702	1180	386
1357172381943813670	579221	35792	47471	3558	945
1357172382444581905	457914	17433	23975	1458	463
1357172382945330390	472320	19401	24186	1363	398
1357172383446116249	465631	17423	23523	1367	413
1357172383946828651	470118	19614	24023	1384	383
1357172384447604386	462524	17360	23579	1356	429
1357172384948453037	504597	19583	24209	1354	405
1357172385449223271	469830	17325	23858	1377	416
1357172385949964214	600316	38885	52448	3922	1177
1357172386450714366	452661	16390	21216	1237	452
1357172386951554142	459187	17001	23681	1403	411
1357172387452280335	472302	19831	24418	1398	381
1357172387953107986	453490	17897	23707	1434	516
1357172388453832637	474382	18503	23384	1209	426
1357172388954548956	454293	17393	24046	1415	492
1357172389455317107	481586	19622	25363	1466	410
1357172389955996342	637221	39090	52531	3836	1183
1357172390456853701	465599	17366	23803	1511	526
1357172390957674894	456590	16186	20070	1281	428
1357172391458537753	459854	16953	23434	1285	403
1357172391959474237	464515	19556	23849	1326	381
1357172392460296013	454166	18351	23998	1497	388
1357172392961124998	467561	18766	23998	1303	376
1357172393461962607	456965	17190	24113	1302	391
1357172393962757175	616933	42499	57182	4150	1146
1357172394463658993	463338	15956	20398	1216	395
1357172394964495519	496147	18418	24464	1520	426
1357172395465313670	478035	18886	24045	1308	400
1357172395966111238	454960	16900	21401	1299	380
1357172396466876847	423270	15617	20351	1472	374
1357172396967995456	448433	17535	23591	1370	406
1357172397468837315	449924	16004	19665	1211	452
1357172397969694758	608328	39138	52542	3965	1442
1357172398470583117	458126	18289	24090	1666	488
1357172398971441393	471306	18806	24130	1321	400
1357172399472417336	473636	17100	23003	1316	432
1357172399973234903	495178	16292	20237	1306	456
1357172400474025055	468082	16895	23085	1312	432
1357172400974766081	454774	15950	19736	1205	424
1357172401475507482	457671	17138	21842	1369	400
1357172401976307509	600680	39080	54221	4031	1189
1357172402477048910	451807	15842	19578	1243	394
1357172402977794895	460612	17243	23381	1424	359
1357172403478591588	473235	19398	24482	1382	395
1357172403979338031	456456	17296	23221	1375	409
1357172404480105849	476111	19682	23972	1347	416
1357172404980811042	492380	18188	23442	1477	419
1357172405481576068	482309	18601	24716	1231	408
1357172405982290178	720989	39166	52567	4158	1308
1357172406483002621	137718	17003	22687	1479	427
1357172406983812106	161774	16208	20358	1184	390
1357172407484502757	165103	17291	22798	1361	426
1357172407985193242	155843	15955	20509	1172	386
1357172408485910769	159938	18361	24520	1501	477
1357172408986607712	149530	18321	23105	1231	415
1357172409487295738	162147	17416	22402	1361	434
1357172409987992265	301034	38933	52293	3992	1199
1357172410488674583	157542	15923	20397	1216	384
1357172410989376318	166776	17291	22491	1441	386
1357172411490076428	129931	15872	21050	1184	388
1357172411990883121	161279	17322	23141	1354	400
1357172412491557856	154493	15896	19163	1183	390
1357172412992242299	160141	17270	22637	1371	406
1357172413492947242	153844	16010	22179	1619	540
1357172413993673519	315402	45710	60404	4104	1235
1357172414494453920	156890	16364	21133	1349	474
1357172414995150821	168842	16846	21749	1299	416
1357172415495837598	154539	15919	20322	1172	434
1357172415996533875	161754	17290	22163	1353	434
1357172416497286109	154152	16003	20821	1145	400
1357172416998240552	135024	17192	21700	1354	456
1357172417498922787	155511	15831	19719	1176	449
1357172417999614688	300335	38846	52297	3855	1267
1357172418500276381	164360	17293	22099	1422	400
1357172419000979325	161059	16055	20830	1175	380
1357172419501694851	134580	17182	22039	1441	432
1357172420002376711	156534	15960	20673	1204	382
1357172420503033571	160686	16971	22130	1350	406
1357172421003709223	155036	16221	20849	1164	374
1357172421504356999	160587	17280	22261	1375	398
1357172422005141526	276520	38630	51884	3948	1194
1357172422505781344	156030	16086	20592	1207	366
1357172423006434037	165046	17190	23276	1366	381
1357172423507063981	171753	19371	23314	1319	363
1357172424007740299	144874	17291	23001	1423	417
1357172424508574159	123186	19383	23285	1335	363
1357172425009279352	159343	17267	21904	1389	454
1357172425510095545	158379	16118	21220	1212	460
