#Timestamp	Benchmark	CPU(0) Frequency(MHz)	CPU(0) Temperature(C)	A7 Voltage(V)	A7 Current(A)	A7 Power(W)	CPU cycles	Instructions architecturally executed	Exceptions taken	Predictable branch speculatively executed	Mispredicted or not predicted branch speculatively executed	
1357758644145841458	automotive_bitcount	500	51	0.900000	0.022000	0.020000	7111901	2737130	121	301528	73159
1357758644652009092	automotive_bitcount	500	51	0.900000	0.022000	0.020000	5756158	2196120	99	242821	58482
1357758645158044892	automotive_bitcount	500	51	0.900000	0.021000	0.019000	7134309	2763939	121	304159	73907
1357758645664171775	automotive_bitcount	500	51	0.900000	0.022000	0.020000	7122992	2766260	120	305160	73646
1357758646170196659	automotive_bitcount	500	51	0.900000	0.022000	0.020000	7114622	2753889	123	302949	73646
1357758646676213293	automotive_bitcount	500	51	0.900000	0.022000	0.020000	6916098	2690849	121	295988	72109
1357758647182193926	automotive_bitcount	500	51	0.900000	0.022000	0.020000	7215909	2755739	120	304204	73848
1357758647688237685	automotive_bitcount	500	51	0.900000	0.022000	0.020000	6024922	2283887	106	252069	61368
1357758648194289610	automotive_bitcount	500	51	0.900000	0.022000	0.020000	7077761	2829515	129	309574	75427
1357758648700601034	automotive_bitcount	500	51	0.900000	0.022000	0.020000	7019728	2739255	120	301381	73432
1357758649206664460	automotive_bitcount	500	51	0.900000	0.021000	0.019000	5893685	2246671	101	247024	60389
1357758649712764551	automotive_bitcount	500	51	0.900000	0.022000	0.020000	7118707	2705869	120	297283	72351
1357758650218782768	automotive_bitcount	500	51	0.900000	0.022000	0.020000	7080777	2751232	121	301798	73480
1357758650724858069	automotive_bitcount	500	51	0.900000	0.021000	0.019000	7134407	2755705	123	302452	74063
1357758651230874494	automotive_bitcount	500	51	0.900000	0.022000	0.020000	6903836	2668662	119	293156	71344
1357758651736871961	automotive_bitcount	500	51	0.900000	0.022000	0.020000	7030488	2715000	120	298858	72611
1357758652242872303	automotive_bitcount	500	51	0.900000	0.022000	0.020000	7123487	2749673	122	302993	73298
1357758652748841229	automotive_bitcount	500	51	0.900000	0.022000	0.020000	5773068	2197061	99	241853	59187
1357758653254969279	automotive_bitcount	500	51	0.900000	0.022000	0.020000	7462508	2893272	131	318749	77010
1357758653760998829	automotive_bitcount	500	51	0.900000	0.022000	0.020000	7048333	2719029	121	299698	72359
1357758654267021754	automotive_bitcount	500	51	0.900000	0.022000	0.020000	5828320	2229036	101	246478	59773
1357758654772993638	automotive_bitcount	500	51	0.900000	0.021000	0.019000	7028687	2725461	120	299932	73101
1357758655278919272	automotive_bitcount	500	51	0.900000	0.021000	0.019000	7076114	2738112	121	302158	72778
1357758655784981281	automotive_bitcount	500	51	0.900000	0.022000	0.020000	7139925	2754172	122	303151	73964
