#Timestamp	CPU cycles	Instructions architecturally executed	Exceptions taken	Predictable branch speculatively executed	Mispredicted or not predicted branch speculatively executed
1357765134605702871	10244444	2464604	113	268854	65455
1357765135106228190	8683763	2740786	124	300474	73214
1357765135606668176	8576200	2725118	124	299139	72928
1357765136107095703	8576853	2735587	124	300098	73608
1357765136607521439	8463468	2710122	124	297313	72510
1357765137107944925	8622527	2749950	124	302109	74262
1357765137608369827	7013758	2202656	100	242303	59475
1357765138108790063	8555008	2729546	121	298826	73023
1357765138609208174	8630782	2685932	122	292871	71646
1357765139109641285	7469150	2287612	106	251442	60971
1357765139612906178	9160199	2846531	133	311673	75884
1357765140113388663	8601401	2711497	125	296257	72387
1357765140613825816	8481303	2654900	124	290555	70844
1357765141114273260	8678139	2711656	124	297495	72286
1357765141614737912	8664159	2707412	124	296500	72016
1357765142115185064	8656513	2729722	126	299710	73008
1357765142615620175	7236261	2236874	104	246948	60254
1357765143116064703	8624077	2699239	123	295660	72089
1357765143616500897	8544856	2699530	124	296353	72484
1357765144116935632	7251764	2266330	104	250347	60953
1357765144617460993	9165340	2868132	132	313579	76573
1357765145117910145	8631456	2744764	126	302397	74015
1357765145618347048	8568382	2743755	124	301426	73828
1357765146118784575	8774112	2762030	127	302574	74124
1357765146619225019	8726346	2766808	126	303517	74150
1357765147119659922	8507542	2704162	124	296549	72672
1357765147620200532	7093333	2220388	104	245301	60609
1357765148120663768	8805439	2789926	127	304486	74947
1357765148621147295	10596936	2859036	131	312368	76067
1357765149121673030	7461470	2235166	104	245312	60146
1357765149622325140	9602580	2874153	132	313762	76697
1357765150122866043	8813568	2707872	125	295770	72183
1357765150623396320	9044182	2740491	126	299620	72755
1357765151123920597	8860782	2717729	124	297777	72418
1357765151624424332	8940708	2712648	124	297696	72099
1357765152124937276	7482683	2239708	105	246291	60046
1357765152625519428	8922183	2728227	124	299048	72661
1357765153126048997	8703738	2695186	124	295911	72236
1357765153626585607	7916317	2435836	111	268537	65660
1357765154127114176	8518755	2616418	117	287318	70012
1357765154627741119	9287627	2874396	132	314770	76640
1357765155128274897	8773536	2748909	124	302064	73859
1357765155628807965	8831960	2727306	124	298875	72955
1357765156129343367	8724946	2713116	124	298120	72849
1357765156629866478	8793818	2740491	124	300744	73466
1357765157130430630	7283557	2235325	103	246026	60325
1357765157630939407	8711708	2722527	125	298926	73559
1357765158131468684	8776511	2742737	125	299407	73634
1357765158631991378	7446827	2236238	105	246097	60146
