#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU cycles	Instructions architecturally executed	Exceptions taken	Predictable branch speculatively executed	Mispredicted or not predicted branch speculatively executed	
1357692266197469144	automotive_bitcount	1900	53	1.100000	0.608000	0.711000	224218	39911	5	8501	599
1357692266706984474	automotive_bitcount	1900	53	1.100000	0.606000	0.709000	211520	43007	5	9151	617
1357692267216536804	automotive_bitcount	1900	53	1.100000	0.604000	0.707000	209589	43108	5	8816	586
1357692267726156467	automotive_bitcount	1900	53	1.100000	0.604000	0.707000	208034	41488	5	8860	562
1357692268235772047	automotive_bitcount	1900	53	1.100000	0.603000	0.706000	207916	41466	5	8788	572
1357692268745318211	automotive_bitcount	1900	53	1.100000	0.601000	0.703000	207341	40980	5	8720	554
1357692269254919791	automotive_bitcount	1900	53	1.100000	0.601000	0.703000	420520	83644	6	17501	1552
1357692269764473704	automotive_bitcount	1900	52	1.100000	0.600000	0.702000	183717	41368	5	9595	638
1357692270274510783	automotive_bitcount	1900	52	1.100000	0.600000	0.702000	230824	47774	5	9107	594
1357692270792211169	automotive_bitcount	1900	52	1.100000	0.600000	0.702000	211037	41380	5	9166	644
1357692271301755666	automotive_bitcount	1900	52	1.100000	0.598000	0.700000	211068	43105	5	8997	571
1357692271811278162	automotive_bitcount	1900	52	1.100000	0.598000	0.700000	209714	42263	5	8990	561
1357692272320865326	automotive_bitcount	1900	52	1.100000	0.598000	0.700000	208103	41425	5	8780	561
1357692272830366698	automotive_bitcount	1900	52	1.100000	0.598000	0.700000	206511	40912	5	8704	552
1357692273339971194	automotive_bitcount	1900	52	1.100000	0.597000	0.699000	429691	83987	6	17822	1593
1357692273849585066	automotive_bitcount	1900	52	1.100000	0.597000	0.699000	216151	43144	5	8879	557
1357692274359201688	automotive_bitcount	1900	52	1.100000	0.597000	0.699000	207522	39686	5	8463	540
1357692274868736809	automotive_bitcount	1900	52	1.100000	0.596000	0.697000	205429	39654	5	8458	551
1357692275378480472	automotive_bitcount	1900	52	1.100000	0.596000	0.697000	208503	41401	5	9003	598
