#Timestamp	CPU cycles	Instructions architecturally executed	Exceptions taken	Predictable branch speculatively executed	Mispredicted or not predicted branch speculatively executed
1357486048102257509	891266	62035	5	10469	675
1357486048603010119	181010	37751	5	7129	473
1357486049103627812	149849	34551	5	7964	557
1357486049604236256	163662	34378	5	6729	428
1357486050104849616	305558	70160	6	14924	1377
1357486050605472643	152874	32863	5	7054	520
1357486051106071920	159624	31966	5	6387	437
1357486051606678405	147453	32839	5	7314	492
1357486052107349806	158582	31960	5	6617	432
1357486052607987125	120369	32836	5	7121	497
1357486053108737110	155704	32864	5	6392	404
1357486053609368678	147012	33501	5	7803	513
1357486054110004288	381849	87143	6	17802	1585
1357486054610629190	161236	31966	5	6366	455
1357486055111265467	146456	32839	5	7312	507
1357486055611940202	160069	41495	5	8143	568
1357486056112568937	178075	30783	5	7140	433
1357486056613205755	147808	32316	5	7140	488
1357486057113894990	161095	33751	5	6923	444
1357486057614532850	148780	33501	5	7247	504
1357486058115307793	348852	81935	6	17020	1536
1357486058615937945	162102	32044	5	6450	430
1357486059116574055	147918	30048	5	7373	499
1357486059617248623	160712	34779	5	6382	442
1357486060117881858	147695	32814	5	7368	508
1357486060618509427	159423	31960	5	6405	442
1357486061119147828	149370	33745	5	7830	553
1357486061619772105	161452	34192	5	6728	445
1357486062120483548	344900	77315	6	16041	1380
1357486062621127283	149031	33353	5	7384	517
1357486063121941601	160179	41480	5	8123	574
1357486063622571961	178128	30597	5	6925	427
1357486064123210030	147377	30506	5	7325	474
1357486064623836848	159629	34736	5	6666	429
1357486065124478958	148410	33740	5	7389	480
1357486065625112277	159864	33285	5	6482	422
1357486066125736470	341928	76582	6	15909	1423
1357486066626384497	150681	33769	5	7666	543
1357486067127020815	162025	33811	5	6762	441
1357486067627676800	148060	30965	5	6575	472
1357486068128450410	161504	36591	5	7820	455
1357486068629091728	148459	33737	5	7258	492
1357486069129724464	159713	32864	5	6797	434
1357486069630361032	148850	33501	5	7619	536
1357486070130998184	366192	82555	6	16680	1499
1357486070631633377	163589	37461	5	8068	487
1357486071132317612	148684	30942	5	7410	494
1357486071632940930	163817	37467	5	6926	454
1357486072133587916	448508	34593	5	7742	525
1357486072634267317	262333	32894	5	6402	421
1357486073136984670	242067	33705	5	7787	589
1357486073637668239	261434	34092	5	6865	463
1357486074138346015	455501	86173	6	20401	1370
1357486074639068625	244767	33296	5	7524	587
1357486075139781610	258824	31971	5	6568	425
1357486075640483511	241373	32839	5	7023	490
1357486076141158955	257703	31955	5	6778	439
1357486076641886564	242551	32836	5	7245	634
1357486077142615091	311500	44491	5	8771	583
1357486077643474783	268891	37960	5	8296	487
1357486078146155095	439841	77957	6	16386	1432
1357486078646891913	247320	32346	5	6943	500
1357486079147553648	262219	31971	5	6250	406
1357486079648231258	246371	32839	5	7467	504
1357486080148887368	253692	31965	5	6766	437
1357486080649545270	244716	32831	5	6928	494
1357486081150238380	256378	33371	5	6867	454
1357486081650908823	234284	32967	5	7659	541
1357486082151661766	441989	79056	6	15616	1406
1357486082652408917	243278	32359	5	7102	508
1357486083154465814	259985	32478	5	6650	447
1357486083655140341	241861	32327	5	7138	494
1357486084155856992	255832	34969	5	7112	518
1357486084656570186	270065	36703	5	8311	515
1357486085157335254	242748	33686	5	7187	495
1357486085658003530	260319	33256	5	6858	441
1357486086158690390	399334	74503	6	16893	1287
1357486086659415583	248304	32327	5	6986	513
1357486087160145901	253679	32473	5	6802	437
1357486087660866636	240627	32327	5	7014	482
1357486088163007825	258859	31955	5	6805	444
1357486088663695434	242264	32836	5	7250	531
1357486089164368003	261442	34675	5	6912	460
1357486089665056404	439008	82935	6	16875	1453
1357486090165738264	251675	28792	5	6588	458
1357486090666469124	244286	32326	5	6939	474
1357486091167236067	254228	33352	5	6936	438
1357486091667925469	247420	32327	5	7007	461
1357486092168622078	253668	33381	5	7076	463
1357486092669398855	248028	33233	5	7361	542
1357486093171450043	255520	34288	5	6838	444
1357486093672215778	458024	98464	6	24879	1423
1357486094172887430	249878	27429	5	6042	438
1357486094673576290	241653	32836	5	7360	503
1357486095174251941	257260	32073	5	6776	420
1357486095674937676	240245	32727	5	6992	475
1357486096175646828	258368	33350	5	6937	443
1357486096676375604	241131	33219	5	7606	538
1357486097177109172	255293	34890	5	6738	435
1357486097677809490	438342	75760	6	15881	1397
1357486098179863804	248034	31827	5	6618	461
1357486098680573831	247182	32351	5	7130	499
1357486099181246649	254150	31989	5	6774	445
1357486099681996884	244065	32816	5	7019	473
1357486100182697035	261114	31965	5	6471	425
1357486100683383812	242616	33720	5	7633	518
1357486101184076797	260044	34681	5	6699	454
1357486101684767823	438813	80867	6	18284	1409
1357486102185468725	246403	32408	5	6997	522
1357486102686159001	255492	32551	5	6696	443
1357486103188268815	243504	32327	5	7198	493
1357486103688980633	937362	32718	5	6771	490
1357486104189684534	1024574	38975	5	8217	482
1357486104690346019	1020202	33739	5	7388	550
1357486105191043338	1002925	33802	5	6858	442
1357486105691769822	1222456	77424	6	16210	1464
1357486106192574557	991973	33273	5	7488	567
1357486106693238167	1003758	34512	5	6834	427
1357486107193925360	1029435	33014	5	7354	517
1357486107694617262	1006909	34377	5	6947	424
1357486108197433823	1021489	33244	5	7183	483
1357486108698130683	1008214	33396	5	7136	428
1357486109198853876	1007698	32928	5	7380	503
1357486109699550194	1217440	89515	6	21011	1488
1357486110200208512	975637	34422	5	6920	450
1357486110700876414	1020015	33233	5	7527	532
1357486111201623899	1005147	36776	5	7179	519
1357486111702454883	1058598	41524	5	8709	558
1357486112203151535	1020049	38107	5	8487	501
1357486112703967603	1029929	33225	5	7267	506
1357486113219156205	1033348	36277	5	7188	523
1357486113720032148	1258956	91224	6	19707	1597
1357486114220817424	1007883	32473	5	6681	430
1357486114721676867	1022947	32327	5	7132	491
1357486115222579643	1004676	32511	5	6796	467
1357486115723403627	1052493	39695	5	8345	461
1357486116224201695	993336	34075	5	7502	522
1357486116725000638	1041906	33794	5	7022	450
1357486117225815248	987892	33463	5	7285	515
1357486117726623524	1213523	82928	6	17268	1511
1357486118227511716	1042760	36710	5	7445	596
1357486118728348826	1015357	43312	5	9246	579
1357486119229165519	1054717	39024	5	8650	474
1357486119729975503	994964	34106	5	7662	498
1357486120230790404	1051122	35308	5	7055	437
1357486120731590639	989882	33184	5	7257	488
1357486121232483165	1044101	36285	5	7078	438
1357486121733291232	1198371	89502	6	23513	1412
1357486122234120967	1001314	33249	5	7414	514
1357486122734873993	1032955	33821	5	6804	455
1357486123235863019	997862	33726	5	7700	488
1357486123736580087	1051863	34350	5	6825	465
1357486124237378488	991632	33186	5	7165	500
1357486124738105515	1042435	33377	5	6852	460
1357486125238822083	990260	32978	5	7459	498
1357486125739544734	1243418	87072	6	18276	1586
1357486126240292844	1025731	36757	5	7082	525
1357486126741064495	1013335	41516	5	8828	585
1357486127241817522	1055002	42378	5	8985	584
1357486127742572090	1018594	42303	5	8987	573
1357486128244959361	1054050	41529	5	8881	542
1357486128745653012	1013364	39030	5	8697	504
1357486129246381747	1016517	32962	5	7101	518
1357486129747155898	1201767	85271	6	17949	1563
1357486130247919841	1034217	36047	5	7277	541
1357486130748658034	1017309	45770	5	9336	562
1357486131249396936	1018566	40795	5	8987	498
1357486131750159337	993949	34063	5	7478	521
1357486132250868238	979759	36735	5	7226	509
1357486132751583223	1011887	41527	5	8927	590
1357486133252377833	1029194	38532	5	8339	466
1357486133753089109	1161247	81055	6	16497	1509
1357486134253824636	1002397	31594	5	7235	528
1357486134754529037	978242	34248	5	7287	471
1357486135255286772	945466	32284	5	6894	469
1357486135755997507	988652	32473	5	6855	408
1357486136256660408	997102	32329	5	6909	491
1357486136757482810	980808	35889	5	7259	543
1357486137258189294	1034901	38492	5	8420	506
1357486137758894821	1170091	78284	6	16220	1405
1357486138274404881	958841	32351	5	7240	516
1357486138775081366	1024770	33737	5	6617	446
1357486139275738518	931751	32839	5	7546	501
1357486139776498086	1019827	34990	5	6877	493
1357486140277255029	993691	40601	5	8677	567
1357486140777979014	1015331	38967	5	8629	582
1357486141278674540	925738	40967	5	8522	510
1357486141779348317	725538	80281	6	17043	1427
1357486142280032552	511209	33235	5	7387	535
1357486142780758620	521958	33341	5	6860	447
1357486143283416598	507604	32327	5	7162	487
1357486143784133500	518648	32478	5	6549	406
1357486144284880234	541969	32324	5	7401	471
1357486144785592552	548780	33774	5	6801	396
1357486145286271912	506672	33469	5	7391	466
1357486145787088814	728036	94587	6	22086	1586
1357486146287770965	528307	34289	5	7078	488
1357486146788482908	507718	33192	5	7403	517
1357486147289199393	521540	36789	5	7090	501
1357486147790051002	534997	41562	5	8850	565
1357486148291016320	542093	37623	5	8461	517
1357486148791797554	554744	33712	5	7402	516
1357486149292679789	533068	33749	5	6800	432
1357486149793450607	732773	80335	6	16630	1509
1357486150294230050	507158	33224	5	7500	514
1357486150794995701	520914	34357	5	7149	537
1357486151295794102	532029	44012	5	9006	567
1357486151796626670	532423	41510	5	8746	555
1357486152297525571	530734	40591	5	8790	559
1357486152798321555	543509	37830	5	7776	454
1357486153299198956	562087	34181	5	8094	511
1357486153800011357	729455	87044	6	18647	1596
1357486154300707717	519739	38582	5	7302	576
1357486154801412660	533539	40798	5	8850	545
1357486155302189853	507043	34094	5	7961	554
1357486155802933046	521610	38546	5	7289	526
1357486156303670240	531206	40610	5	8641	575
1357486156804402974	530811	39036	5	8722	580
1357486157305131834	550715	40997	5	8721	497
1357486157805866985	757284	78980	6	16324	1487
1357486158306566887	509220	34126	5	7915	570
1357486158807394830	521407	35467	5	8455	619
1357486159308198523	540514	43795	5	7777	471
1357486159808927507	503850	34094	5	7804	561
1357486160309651742	516661	36743	5	6918	496
1357486160810406185	527927	41505	5	8842	577
1357486161311166878	527659	41028	5	8702	564
1357486161812005029	785997	91097	6	19804	1641
1357486162312782139	553311	35507	5	7046	476
1357486162813486624	509415	34650	5	7938	568
1357486163314326692	522457	36050	5	7040	434
1357486163815016635	506411	34127	5	7292	497
1357486164315727411	522449	34234	5	7138	457
1357486164816447063	508794	33241	5	7652	518
1357486165317283464	522742	34693	5	6620	478
1357486165818008449	735161	88489	6	19010	1581
1357486166318710392	562088	36044	5	7031	460
1357486166819424377	514381	34077	5	7685	543
1357486167320188611	499142	35468	5	7078	467
1357486167820890388	508055	34563	5	7531	497
1357486168321737539	519279	34234	5	6885	412
1357486168822649981	505987	33238	5	7735	512
1357486169323395591	521416	37197	5	6983	492
1357486169824126784	736857	92927	6	20247	1573
1357486170324856394	532595	31966	5	6668	430
1357486170825526296	550543	32839	5	7072	464
