#Timestamp	CORE_ID	user%	nice%	sys%	idle%	iowait%	irq%	softiq%	steal%	guest%	guest_nice%
1437623973052054035	CORE_0	0	0	1.66	95.00	0	1.66	1.66	0	0	0
1437623973882058985	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1437623974717049639	CORE_0	0	0	2.40	96.38	0	1.20	0	0	0	0
1437623975532074108	CORE_0	1.25	0	1.25	97.50	0	0	0	0	0	0
1437623976367088304	CORE_0	0	0	1.16	94.18	0	1.16	3.48	0	0	0
1437623977187067019	CORE_0	0	0	0	98.76	0	1.23	0	0	0	0
1437623978016112523	CORE_0	0	0	1.21	98.78	0	0	0	0	0	0
1437623978842071890	CORE_0	0	0	1.21	97.56	0	1.21	0	0	0	0
1437623979677099422	CORE_0	0	0	3.52	94.11	1.17	1.17	0	0	0	0
1437623980512095496	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1437623981347073654	CORE_0	1.20	0	1.20	96.38	0	1.20	0	0	0	0
1437623982182068104	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1437623983017090804	CORE_0	0	0	0	98.78	0	1.21	0	0	0	0
1437623983847108594	CORE_0	0	0	1.20	97.59	0	1.20	0	0	0	0
1437623984687093915	CORE_0	0	0	1.25	97.50	0	1.25	0	0	0	0
1437623985512123962	CORE_0	0	0	1.21	97.56	0	1.21	0	0	0	0
1437623986347115915	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1437623987179016023	CORE_0	0	0	1.20	97.59	0	1.20	0	0	0	0
1437623988017107989	CORE_0	0	0	1.20	98.79	0	0	0	0	0	0
1437623988857080688	CORE_0	0	0	0	97.59	0	2.40	0	0	0	0
1437623989673196698	CORE_0	0	0	0	98.75	0	0	1.25	0	0	0
1437623990527826008	CORE_0	0	0	1.20	97.59	0	1.20	0	0	0	0
1437623991372244999	CORE_0	0	0	0	97.61	0	0	2.38	0	0	0
1437623992217332735	CORE_0	0	0	0	98.79	0	1.20	0	0	0	0
1437623993062279139	CORE_0	0	0	1.20	97.59	0	1.20	0	0	0	0
1437623993902288215	CORE_0	0	0	1.20	98.79	0	0	0	0	0	0
1437623994739186406	CORE_0	0	0	2.43	96.34	0	1.21	0	0	0	0
