#Timestamp	Benchmark	CPU(0) Frequency(MHz)	CPU(0) Temperature(C)	A7 Voltage(V)	A7 Current(A)	A7 Power(W)	CPU cycles	L1 Data Cache access	L1 Instructions Cache access	L2 Data Cache access	Bus Access	
1357324353187956313	automotive_bitcount	600	49	0.900000	0.023000	0.021000	7701347	1279579	2003477	145528	23917
1357324353694072654	automotive_bitcount	600	50	0.900000	0.024000	0.022000	7776530	1302384	2042016	146748	24300
1357324354200098246	automotive_bitcount	600	50	0.900000	0.023000	0.021000	7899396	1314650	2058548	150420	25569
1357324354706108880	automotive_bitcount	600	50	0.900000	0.024000	0.022000	7663650	1279151	2002193	145022	23888
1357324355212061639	automotive_bitcount	600	50	0.900000	0.023000	0.021000	6532368	1080745	1693522	124319	20403
1357324355717998356	automotive_bitcount	600	50	0.900000	0.024000	0.022000	6356336	1048491	1645348	119495	19648
1357324356223904032	automotive_bitcount	600	50	0.900000	0.024000	0.022000	7678461	1284413	2018693	145233	23669
1357324356729949791	automotive_bitcount	600	50	0.900000	0.023000	0.021000	8071646	1342687	2120595	151188	26895
1357324357235879800	automotive_bitcount	600	50	0.900000	0.024000	0.022000	7767385	1332092	2085526	149614	25903
1357324357742125599	automotive_bitcount	600	50	0.900000	0.025000	0.022000	7680472	1291642	2023797	148072	24198
1357324358248165358	automotive_bitcount	600	50	0.900000	0.024000	0.022000	7819091	1304978	2040404	148613	24439
1357324358754179658	automotive_bitcount	600	51	0.900000	0.024000	0.022000	7661844	1285458	2014431	145440	24229
1357324359260136792	automotive_bitcount	600	51	0.900000	0.025000	0.022000	7887751	1319533	2065136	152343	24348
1357324359766121884	automotive_bitcount	600	51	0.900000	0.024000	0.022000	7686906	1295287	2028445	145562	23595
1357324360272075893	automotive_bitcount	600	51	0.900000	0.023000	0.021000	5246649	841476	1326363	100559	16832
1357324360778029777	automotive_bitcount	600	51	0.900000	0.025000	0.022000	7589899	1276489	1993297	144223	23203
1357324361283913578	automotive_bitcount	600	51	0.900000	0.023000	0.021000	7771198	1307829	2046910	147713	24195
1357324361789916253	automotive_bitcount	600	51	0.900000	0.025000	0.022000	7615981	1282097	2008922	144776	23295
1357324362295914512	automotive_bitcount	600	51	0.900000	0.025000	0.022000	8218808	1366773	2154351	153458	28216
1357324362801883646	automotive_bitcount	600	51	0.900000	0.024000	0.022000	7681973	1281020	1998215	146811	24084
1357324363307843363	automotive_bitcount	600	51	0.900000	0.025000	0.022000	7669090	1284030	2016230	145097	23446
1357324363813766164	automotive_bitcount	600	51	0.900000	0.024000	0.022000	7807670	1306176	2049778	148027	24452
1357324364319747464	automotive_bitcount	600	51	0.900000	0.024000	0.022000	7666123	1283310	2014515	143784	23819
1357324364825724764	automotive_bitcount	600	51	0.900000	0.025000	0.022000	6979580	1159988	1823324	132332	21775
1357324365331677023	automotive_bitcount	600	51	0.900000	0.024000	0.022000	6093745	991148	1562013	115678	19384
1357324365837657365	automotive_bitcount	600	51	0.900000	0.023000	0.021000	7774595	1302923	2040876	147415	24273
1357324366343576541	automotive_bitcount	600	51	0.900000	0.025000	0.022000	9580540	1360672	2130360	159562	28531
1357324366850424755	automotive_qsort1	600	51	0.900000	0.025000	0.022000	7873720	1285662	2000759	148136	25509
