#Timestamp	CPU cycles	L1 Data Cache access	L1 Instructions Cache access	L2 Data Cache access	Bus Access
1357329758265969691	11895075	1298730	2029984	147391	25991
1357329758766498760	9251404	1247854	1954171	138288	22787
1357329759266936912	9030047	1224860	1926115	136648	21894
1357329759767369565	8953773	1214559	1902216	135333	21901
1357329760267800467	6113347	794631	1246119	91918	15013
1357329760768223120	8947280	1221747	1912436	134878	21791
1357329761268649522	9079630	1241175	1944580	138015	22174
1357329761769074424	9240535	1258903	1974010	139945	22574
1357329762269494577	8819338	1203350	1872984	135867	21373
1357329762769916563	9044511	1236371	1940310	136394	22389
1357329763276954276	10010537	1343452	2119911	149641	27674
1357329763777400137	8561276	1182286	1850353	131455	21218
1357329764277860081	9056715	1210154	1880593	135973	21842
1357329764778308775	8120711	1073088	1687594	120192	19692
1357329765278748969	6863096	895047	1407974	101282	16609
1357329765779182622	9267553	1244153	1944050	138796	22507
1357329766279620024	9000949	1212451	1899240	133952	21563
1357329766780054301	9132853	1226874	1925544	136174	22308
1357329767280484996	9141540	1234379	1928272	137474	22139
1357329767780957231	8935821	1217409	1910615	135493	21994
1357329768281469300	9873376	1323947	2085884	146114	26290
1357329768781908119	9110357	1230791	1931848	136995	22058
1357329769282345647	9032425	1233123	1931089	136701	21693
1357329769782782674	7688037	1022531	1612311	115034	19018
1357329770283217743	7486517	993196	1561244	110925	18653
1357329770783651271	9009641	1238781	1948413	137484	21770
1357329771284116173	9098216	1236760	1927234	139927	22286
1357329771784555617	9084950	1238086	1937680	137379	21832
1357329772285042311	11223547	1322415	2059617	152971	27565
1357329772785568213	9175594	1240213	1940548	138240	22200
1357329773286277448	9947821	1325260	2095291	146668	26828
1357329773786805850	9410553	1235349	1933982	138064	22691
1357329774287338210	9306638	1218217	1908925	135875	22682
1357329774787870196	7842416	1013027	1595617	114164	19379
1357329775288398890	7723363	1004563	1576088	113530	18823
1357329775788930458	9326632	1232481	1932443	137073	22717
1357329776289452236	9031063	1199324	1879684	132336	21765
1357329776789967888	9298765	1238027	1939473	137794	22602
1357329777290485165	9128173	1224010	1933449	135870	22305
1357329777791045942	9492675	1249828	1957384	139339	23598
1357329778291626552	10140638	1321715	2083589	146019	28051
1357329778792128829	9264261	1238447	1946410	138422	22965
1357329779292645856	9242200	1240854	1947994	137669	22470
1357329779793157050	6191426	770085	1211349	89161	15560
1357329780293673744	9068474	1219914	1906883	137703	22279
1357329780794191563	9211488	1237587	1939192	137113	22350
1357329781294710215	9189495	1236982	1935763	137639	22273
1357329781795230617	9148164	1242958	1944872	138688	22293
1357329782295743936	9166356	1236977	1937846	136396	22568
1357329782796312505	9296487	1246407	1955598	138425	22987
1357329783296932115	14779909	1891947	3030123	200960	70738
1357329783797447475	9301509	1219829	1905901	136054	23024
1357329784297982544	7913938	989643	1519067	124082	19877
1357329784798518446	7946862	1005779	1531285	126205	20045
1357329785299101140	9334176	1226225	1918487	135687	22628
