#Timestamp	CPU cycles	L1 Data Cache access	L1 Instructions Cache access	L2 Data Cache access	Bus Access
1357244661617384973	1169036	33358	41331	2337	467
1357244662118133916	440537	45283	65794	4785	1363
1357244662618797401	218550	23749	30816	1583	385
1357244663119427636	215682	21995	30884	1538	386
1357244663620033288	206364	21901	29844	1514	386
1357244664120646315	206266	21859	29413	1544	374
1357244664621401133	205422	21985	29775	1500	394
1357244665121999534	205963	22028	30202	1541	390
1357244665622599270	204678	21930	28944	1527	370
1357244666123210797	449748	47196	68592	4635	1345
1357244666623814323	214813	23595	29073	1609	381
1357244667124422017	167964	21919	28736	1614	390
1357244667625325959	205072	21720	28655	1950	410
1357244668125941861	204944	21976	29756	1531	378
1357244668626646929	207463	21905	29729	1583	386
1357244669127269540	205817	22004	30216	1563	390
1357244669627894441	205118	21963	29293	1531	402
1357244670128528843	424155	47011	67870	4531	1208
1357244670629157412	213590	23455	29502	1532	389
1357244671129781438	213710	21901	28773	1474	378
1357244671630443257	203070	21864	28620	1515	382
1357244672131140325	204502	21993	30998	1665	527
1357244672632000851	221202	22788	29468	1521	418
1357244673132661044	203227	22011	29572	1431	378
1357244673633287154	202759	22059	29170	1461	398
1357244674133943889	429108	47158	65395	4383	1230
1357244674634603874	204872	21958	30111	1560	386
1357244675135267943	211886	21911	29768	1520	378
1357244675635978261	203791	21945	29202	1567	378
1357244676136722037	203962	21982	29615	1522	382
1357244676637348022	205209	22047	29596	1499	386
1357244677137990549	204360	22046	30001	1537	382
1357244677638828117	203247	21977	29713	1482	394
1357244678139451602	409196	45310	63074	4262	1199
1357244678640106504	206070	21945	29942	1581	382
1357244679140757405	211285	21913	28955	1547	382
1357244679641473057	203857	21990	29841	1563	390
1357244680142134042	203556	21850	29473	1498	382
1357244680642771569	229948	23363	33791	1606	416
1357244681143612720	205887	20508	25981	1445	392
1357244681644331996	204294	22016	29377	1578	398
1357244682145084398	437522	47296	65365	4408	1196
1357244682646116465	206398	25358	34749	1849	503
1357244683146839741	242046	22231	31859	1583	373
1357244683647592642	204792	22013	29600	1595	386
1357244684148341419	204351	21995	29766	1557	382
1357244684649060487	204249	22009	29947	1561	386
1357244685149812888	206113	21822	29417	1551	378
1357244685650606498	805462	49989	70252	4927	1156
1357244686151559774	331463	23307	30634	1582	385
1357244686652367758	319868	22108	30229	1536	394
1357244687153188451	330807	22004	30038	1534	378
1357244687654121560	319223	22021	30992	1492	378
1357244688154934336	326275	22035	30043	1505	382
1357244688655737946	316650	21949	30031	1495	382
1357244689156567930	320736	22323	32700	1618	384
1357244689657381998	547109	46956	63282	4496	1194
1357244690158170524	326344	23488	30382	1621	385
1357244690658963550	324144	21998	30180	1583	374
1357244691159651410	326508	22026	30287	1553	386
1357244691660340979	324531	22043	30087	1550	386
1357244692161083547	317597	22037	29343	1475	390
1357244692661840073	327337	21962	29937	1548	446
1357244693162505391	318162	21880	29363	1557	394
1357244693663169876	599834	50070	69765	4811	1412
1357244694163822861	324359	23142	28998	1578	385
1357244694664481013	314060	22178	31350	1671	380
1357244695165127581	329145	21567	25862	1444	368
1357244695665757358	316148	21956	29605	1564	374
1357244696166486718	306448	21856	32792	2350	424
1357244696667370244	298402	21733	25718	1900	408
1357244697168199645	321170	22878	33050	1566	368
