#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU cycles	L1 Data Cache access	L1 Instructions Cache access	L2 Data Cache access	Bus Access	
1357243199543551746	automotive_bitcount	1900	53	1.100000	0.685000	0.802000	238430	22179	28656	1426	380
1357243200053313158	automotive_bitcount	1900	52	1.100000	0.684000	0.800000	211738	22072	29667	1530	394
1357243200563030696	automotive_bitcount	1900	53	1.100000	0.683000	0.799000	211000	21985	29987	1533	398
1357243201073101858	automotive_bitcount	1900	52	1.100000	0.683000	0.799000	210516	21921	28621	1557	386
1357243201582741688	automotive_bitcount	1900	52	1.100000	0.683000	0.799000	410375	44472	64229	4567	1234
1357243202092334976	automotive_bitcount	1900	52	1.100000	0.683000	0.799000	222430	23828	30482	1600	397
1357243202602044264	automotive_bitcount	1900	52	1.100000	0.684000	0.800000	219735	21965	29848	1556	382
1357243203111627802	automotive_bitcount	1900	52	1.100000	0.683000	0.799000	208370	22016	29679	1505	378
1357243203621182591	automotive_bitcount	1900	52	1.100000	0.684000	0.800000	160639	22060	29982	1262	394
1357243204130755546	automotive_bitcount	1900	52	1.100000	0.683000	0.799000	207147	21877	29012	1533	386
1357243204640309668	automotive_bitcount	1900	52	1.100000	0.683000	0.799000	208097	21788	28690	1511	406
1357243205149970456	automotive_bitcount	1900	52	1.100000	0.682000	0.798000	208343	21829	28551	1529	470
1357243205659619577	automotive_bitcount	1900	52	1.100000	0.682000	0.798000	504278	49109	70639	4845	1480
1357243206169245574	automotive_bitcount	1900	52	1.100000	0.683000	0.799000	226755	23831	30444	1619	409
1357243206678861404	automotive_bitcount	1900	52	1.100000	0.682000	0.798000	218516	22078	29952	1571	390
1357243207188477900	automotive_bitcount	1900	52	1.100000	0.684000	0.800000	209819	21991	29873	1609	454
1357243207698140689	automotive_bitcount	1900	52	1.100000	0.683000	0.799000	212818	22064	29591	1653	458
1357243208207686269	automotive_bitcount	1900	52	1.100000	0.683000	0.799000	212055	22041	29587	1582	492
1357243208717224974	automotive_bitcount	1900	52	1.100000	0.683000	0.799000	214738	21849	27997	1641	480
1357243209226787846	automotive_bitcount	1900	52	1.100000	0.683000	0.799000	215474	21995	29870	1587	406
1357243209736337759	automotive_bitcount	1900	52	1.100000	0.683000	0.799000	434563	47098	67035	4646	1296
1357243210245878173	automotive_bitcount	1900	52	1.100000	0.684000	0.800000	220882	23785	29539	1657	457
1357243210755552002	automotive_bitcount	1900	52	1.100000	0.683000	0.799000	222407	21961	30011	1588	390
1357243211265207791	automotive_bitcount	1900	52	1.100000	0.684000	0.800000	207927	21984	29261	1586	386
1357243211774845245	automotive_bitcount	1900	52	1.100000	0.684000	0.800000	209751	22004	29655	1612	454
1357243212284550492	automotive_bitcount	1900	53	1.100000	0.683000	0.799000	213074	21907	29322	1650	462
1357243212794298113	automotive_bitcount	1900	53	1.100000	0.684000	0.800000	214082	21893	29147	1655	470
1357243213304023067	automotive_bitcount	1900	53	1.100000	0.685000	0.802000	214854	21953	28796	1603	466
