#Timestamp	Benchmark	CPU(0) Frequency(MHz)	CPU(0) Temperature(C)	A7 Voltage(V)	A7 Current(A)	A7 Power(W)	CPU cycles	Instructions architecturally executed	Exceptions taken	Predictable branch speculatively executed	Mispredicted or not predicted branch speculatively executed	
1357770435971203358	automotive_bitcount	700	53	0.900000	0.027000	0.024000	8289346	2935274	140	320542	78350
1357770436477358658	automotive_bitcount	700	53	0.900000	0.027000	0.024000	7275407	2657497	119	290722	71082
1357770436983413958	automotive_bitcount	700	53	0.900000	0.027000	0.024000	7456753	2725526	120	298580	73130
1357770437489491216	automotive_bitcount	700	53	0.900000	0.027000	0.024000	7408267	2702762	122	295844	72492
1357770437995457642	automotive_bitcount	700	53	0.900000	0.027000	0.024000	7491651	2694456	121	294545	71925
1357770438501464234	automotive_bitcount	700	53	0.900000	0.027000	0.024000	6403472	2262676	108	249004	60714
1357770439007408784	automotive_bitcount	700	53	0.900000	0.027000	0.024000	7349291	2640859	119	288572	70419
1357770439513344335	automotive_bitcount	700	53	0.900000	0.027000	0.024000	7617717	2736279	121	299144	72868
1357770440019361802	automotive_bitcount	700	53	0.900000	0.027000	0.024000	5938408	2207457	100	242815	58890
1357770440525955059	automotive_bitcount	700	53	0.900000	0.027000	0.024000	7871299	2833459	130	310349	75699
1357770441032105067	automotive_bitcount	700	53	0.900000	0.027000	0.024000	7402491	2684972	119	293748	71588
1357770441538103034	automotive_bitcount	700	53	0.900000	0.027000	0.024000	7675567	2769473	124	303597	74106
1357770442044105459	automotive_bitcount	700	53	0.900000	0.027000	0.024000	7510245	2710047	122	296662	72332
1357770442550088718	automotive_bitcount	700	53	0.900000	0.027000	0.024000	7514404	2728478	121	299053	72920
1357770443056028852	automotive_bitcount	700	53	0.900000	0.027000	0.024000	7498161	2728215	122	298636	73260
1357770443561960653	automotive_bitcount	700	53	0.900000	0.027000	0.024000	6186141	2208478	99	242851	59197
1357770444067887037	automotive_bitcount	700	53	0.900000	0.027000	0.024000	7412502	2694660	120	295054	71920
1357770444573851796	automotive_bitcount	700	53	0.900000	0.027000	0.024000	7613006	2782083	122	305259	74842
1357770445079805388	automotive_bitcount	700	53	0.900000	0.027000	0.024000	6221294	2230878	100	245710	60190
1357770445585791813	automotive_bitcount	700	53	0.900000	0.027000	0.024000	7895425	2870370	130	313824	76762
1357770446091750531	automotive_bitcount	700	53	0.900000	0.027000	0.024000	7493774	2733416	122	299024	73449
1357770446597718414	automotive_bitcount	700	53	0.900000	0.027000	0.024000	7529840	2743131	121	300641	73525
1357770447103617215	automotive_bitcount	700	52	0.900000	0.027000	0.024000	7345513	2679605	119	293379	72007
1357770447609594266	automotive_bitcount	700	52	0.900000	0.027000	0.024000	7457857	2721333	121	297457	73121
1357770448115531691	automotive_bitcount	700	52	0.900000	0.027000	0.024000	6239436	2210767	100	243073	59251
1357770448621530992	automotive_bitcount	700	52	0.900000	0.026000	0.023000	7306409	2630824	119	287543	70053
1357770449127440709	automotive_bitcount	700	52	0.900000	0.027000	0.024000	9362495	2866888	132	313214	76165
1357770449634139632	automotive_qsort1	700	53	0.900000	0.027000	0.024000	6674713	2304736	102	253706	61847
1357770450141003763	automotive_qsort1	700	53	0.900000	0.027000	0.024000	7428418	2651374	120	290817	70637
1357770450647992393	automotive_qsort1	700	54	0.900000	0.027000	0.024000	8325100	2906873	131	318795	77998
1357770451154954065	automotive_qsort1	700	54	0.900000	0.027000	0.024000	7641910	2708912	121	296778	72110
1357770451661850446	automotive_qsort1	700	54	0.900000	0.028000	0.025000	7539435	2670935	120	292830	71094
1357770452168698077	automotive_qsort1	700	54	0.900000	0.027000	0.024000	7660018	2715877	121	297210	72423
1357770452675579625	automotive_qsort1	700	54	0.900000	0.028000	0.025000	7686938	2692214	119	295526	72380
1357770453182439714	automotive_qsort1	700	54	0.900000	0.027000	0.024000	6354949	2213368	99	243607	59259
1357770453689336803	automotive_qsort1	700	54	0.900000	0.028000	0.025000	7723668	2748380	121	301003	73340
1357770454196261183	automotive_qsort1	700	54	0.900000	0.027000	0.024000	7501416	2701570	121	296069	72602
1357770454703147273	automotive_qsort1	700	54	0.900000	0.028000	0.025000	14833449	4975957	192	558306	125331
1357770455210169528	automotive_qsort1	700	54	0.900000	0.027000	0.024000	8438384	2934940	138	320254	78219
1357770455716939534	automotive_qsort1	700	54	0.900000	0.027000	0.024000	8168532	2908985	132	318274	78251
1357770456223806456	automotive_qsort1	700	54	0.900000	0.028000	0.025000	7669549	2739246	121	300593	73543
1357770456730745087	automotive_qsort1	700	54	0.900000	0.028000	0.025000	7615698	2723542	121	298514	73018
1357770457237626343	automotive_qsort1	700	54	0.900000	0.027000	0.024000	7646965	2738540	122	299837	73669
1357770457744627223	automotive_qsort1	700	54	0.900000	0.027000	0.024000	7723826	2745739	123	300189	73384
