#Timestamp	CPU cycles	Instructions architecturally executed	Exceptions taken	Predictable branch speculatively executed	Mispredicted or not predicted branch speculatively executed
1357042704065477529	11304065	3835612	154	431283	105745
1357042704566234597	8327695	3493036	138	393278	96658
1357042705066856374	9433389	3917077	149	443435	109068
1357042705567446276	6691357	2752254	113	311301	76497
1357042706068076928	8837132	3661129	144	411094	101587
1357042706568674621	8558880	3545634	144	398407	98314
1357042707069318690	8146807	3399957	120	381932	94275
1357042707569895425	7053827	2944205	107	331662	80729
1357042708070470119	8382379	3490966	136	390768	96655
1357042708571044896	7832237	3240886	133	367035	89234
1357042709071621089	10293391	4313201	166	485072	120347
1357042709572308324	7901829	3353970	136	376270	92962
1357042710072944601	7658477	3200380	123	360744	89114
1357042710573549753	7457958	3066035	115	346100	85942
1357042711074161821	8878554	3704452	146	416842	103017
1357042711574875139	9057311	3766422	147	422797	104948
1357042712075515958	8387236	3492276	140	392834	97000
1357042712576155651	8651107	3622250	141	406425	99981
1357042713076811886	62334232	25807838	887	2894156	725141
1357042713577524329	65991184	27383132	925	3071930	770021
1357042714078144606	66394684	27549464	942	3090375	772825
1357042714578711842	70067112	29084955	984	3264653	816220
1357042715079357660	50872231	21176898	711	2377857	594292
1357042715579927104	54592573	22556127	754	2530629	634066
1357042716080710547	53967444	22381081	743	2508581	628676
1357042716581441698	54301931	22591188	758	2532485	633334
1357042717082096183	47686768	19718998	662	2214367	554704
1357042717582776293	47320965	19532015	673	2190077	548483
1357042718083545653	59032777	23971420	810	2684805	673553
1357042718584294471	56628542	23368041	791	2617861	656318
1357042719085011580	51567412	21199222	708	2379349	596372
1357042719585707649	49200402	20342843	683	2278736	570571
1357042720086585633	49062930	20269894	680	2273321	566829
1357042720587385326	55443991	22794942	743	2555658	640544
1357042721088103727	56727855	23394545	775	2620800	656705
1357042721589046086	54822290	22681577	776	2539413	638364
1357042722089759279	47394479	19516990	657	2191210	551024
1357042722590486889	46105097	18934749	629	2123956	535159
1357042723091250457	58025323	24001766	822	2687472	675315
1357042723591961650	48795307	19967072	727	2232784	560323
1357042724092816176	8311671	3403751	137	382365	94259
1357042724593591578	8579308	3508178	139	394058	97191
1357042725094507729	8512973	3437878	115	388857	96710
1357042725595294046	6899072	2805224	97	314709	77235
1357042726096107448	7886855	3235826	118	362710	89165
1357042726597191640	7652768	3124120	118	348949	85594
1357042727097965874	8889644	3644242	143	408542	100988
1357042727598778109	8582969	3496926	139	393072	97088
1357042728099676135	9262223	3787645	145	426092	104759
1357042728600452244	8463485	3486376	135	392301	96562
1357042729101258937	10342600	4237173	162	475782	117984
1357042729602066463	7908403	3204539	123	359987	88895
1357042730102859989	7936085	3187954	126	359986	88925
1357042730603663849	7428174	3027134	102	339706	83595
1357042731104573375	7747590	3163677	126	355177	87539
1357042731606918396	8151883	3328095	119	370899	91176
1357042732107644172	9033283	3685597	139	413390	102149
1357042732608360157	12969059	4475735	194	499030	122149
1357042733109111892	14417167	5458964	239	608215	149692
1357042733609805543	12325516	4562279	221	507051	123678
1357042734110510528	13215073	4930669	222	548130	134717
1357042734611325804	10246406	3788383	174	424118	103368
1357042735112067747	11304842	4321868	195	483813	118761
1357042735612732691	11058009	4232602	189	472958	116049
1357042736113439092	11746153	4502642	200	503251	123329
1357042736614515617	11491405	4435891	194	494744	121640
1357042737115202727	13203992	5091138	219	570324	140230
1357042737615989087	10532942	3996318	182	445621	109731
1357042738116724197	12912886	4809789	226	534813	130423
1357042738617403557	11277669	4294705	191	479177	117259
1357042739118090417	12365674	4700456	211	524744	128755
1357042739618880526	9980466	3743471	174	419635	101764
1357042740119781802	10792594	4121859	185	463196	113793
1357042740620808036	12010919	4592811	208	512403	125418
1357042741121503729	13237514	5154813	220	575836	142044
1357042741629394648	11588034	4429960	200	493928	121681
1357042742130129091	11416610	4428625	192	494852	121358
1357042742630806534	10782914	4135156	189	461878	113217
1357042743131467061	10892831	4133886	180	460751	111679
1357042743632131921	9865734	3759969	151	419665	102207
1357042744132803323	10320477	4021404	164	448687	110102
1357042744633487433	8348719	3139156	123	351999	85497
1357042745134166126	12151533	4648217	202	520788	128772
1357042745634861694	10855068	4203989	185	470307	115837
1357042746135533346	10894902	4287220	184	478892	117656
1357042746639910610	10402524	4047503	175	452270	111343
1357042747140607845	11358349	4407948	182	492828	120832
1357042747641281038	10090602	3845319	167	427829	104633
1357042748141932648	9800359	3825195	151	426505	105062
1357042748642591008	9318281	3654176	143	406900	99523
1357042749143294076	11591265	4531979	182	507056	124740
1357042749644046686	8310070	3243367	118	365304	89258
1357042750144732546	8986152	3478950	133	388718	96005
1357042750645398781	9907901	3825730	158	426124	104587
1357042751146041058	11305631	4527026	188	507208	124701
1357042751646734084	12625928	4723449	220	526894	128209
1357042752147417236	11292532	4349891	191	486232	119566
1357042752648066513	9989805	3836551	171	428542	105175
1357042753148710539	11185597	4404176	167	492837	121118
1357042753649553774	9412651	3630385	154	405262	98549
1357042754151560921	10266116	3992140	169	444811	108676
1357042754652353572	7899034	3057483	111	343654	84210
1357042755153092015	9193870	3628662	152	406612	100011
1357042755653980166	11305218	4395603	192	491626	120854
1357042756154812442	12346599	4671994	214	521200	127797
1357042756672477203	12518795	4880038	199	545519	133823
1357042757173242063	10211091	3931937	176	437710	107694
1357042757674032548	10789101	4288813	174	481113	118566
1357042758174759574	11582337	4468356	197	498469	122656
1357042758675591475	11758853	4606763	193	517474	127605
1357042759176374835	11188392	4368471	186	485921	119734
1357042759677097778	9108531	3499904	138	392241	96024
1357042760177841179	7941549	3118342	118	349934	85815
1357042760678598164	9924209	3989880	148	445836	109461
1357042761179360649	10316316	3994409	166	444926	109673
1357042761680071467	9246558	3625727	151	404986	99030
1357042762180823493	10535409	4126140	175	461837	113301
1357042762681547353	10803263	4234287	175	472832	116017
1357042763182230755	10373164	4084475	174	459173	112501
1357042763682968656	10539119	4086482	163	456095	112366
1357042764183720474	9123853	3616420	144	404775	99393
1357042764684494584	9236837	3652185	133	411943	101362
1357042765185220068	9057764	3472928	134	388987	95003
1357042765685927720	11184678	4352747	189	486564	119278
1357042766186645788	9846015	3841364	166	431109	105123
1357042766692358339	11014680	4370834	183	490465	120646
1357042767193019533	9460006	3738488	160	419563	103315
1357042767693719393	9804078	3939137	148	442468	108456
1357042768194490502	10611984	3700023	146	414352	102058
1357042768695242070	10972539	4457475	170	499049	123332
1357042769195965763	9318666	3714070	147	413702	101304
1357042769696708207	10152772	3885748	159	434675	106420
1357042770197394983	10047361	3851819	168	430087	105664
1357042770698084551	11606204	4560530	200	510045	125234
1357042771198814953	10773395	4225815	193	471513	115581
1357042771699824187	12257612	4838013	213	539389	132608
1357042772200532088	10778578	4222553	191	470503	115195
1357042772701181782	12483855	4948036	215	553585	135701
1357042773201850016	11444662	4475271	201	499393	122662
1357042773702598626	11580484	4576037	200	511122	125700
1357042774203294028	10820884	4275619	193	476429	116246
1357042774704157470	10208486	3943325	172	442247	108667
1357042775204834497	10604198	4143025	178	463962	113547
1357042775705482315	20142844	8079070	323	900304	223686
1357042776206268800	66588139	27284084	951	3058854	765362
1357042776707145451	74842407	30700908	1045	3441014	863852
1357042777208008394	69844324	28693086	1000	3211136	809255
1357042777708732420	67189662	27599975	962	3090256	776707
1357042778209544530	55632167	22703887	776	2540929	638932
1357042778710188473	52226267	21296152	743	2384152	599966
1357042779210830583	51213569	21014759	732	2349443	590887
1357042779711509860	49937911	20561431	702	2302639	579284
1357042780212235761	54482822	22218015	776	2488019	624291
1357042780712984746	55267139	22499405	790	2520613	631153
1357042781213713564	59766698	24447444	846	2736046	685033
1357042781714552048	53211005	21804601	765	2439762	609928
1357042782215244533	48567382	19359537	670	2168811	543655
1357042782715918143	48456679	20013471	683	2241474	561773
1357042783216698503	59675710	24806691	841	2776274	697531
1357042783717356863	53861076	22192554	752	2485102	624078
1357042784218131222	52090488	21535278	729	2412678	603720
1357042784718883124	50477067	20936787	708	2346696	587357
1357042785219754775	50083657	20746581	690	2326671	582853
1357042785720613384	56368344	23303537	788	2611730	655605
1357042786221338452	56966135	23684341	798	2652661	665312
1357042786722496686	37201090	15396867	526	1725350	431575
1357042787223230420	8939249	3681718	150	412224	101696
1357042787724060821	9168499	3784232	154	425551	105209
1357042788224715015	9019887	3715853	146	417557	102635
1357042788725419416	10867367	4493649	172	504137	125591
1357042789226142568	7519332	3058512	131	344582	84290
1357042789726792136	8764121	3602774	142	405515	100769
1357042790227476496	8576816	3516279	144	395957	97479
1357042790728124773	8976873	3694074	151	414560	102128
1357042791228809716	8320358	3450039	146	386400	94546
1357042791729714325	11508839	4086435	170	457267	112779
1357042792230408018	8805949	3512225	140	394989	97435
1357042792731196836	10163382	4063199	156	458026	113591
1357042793232026404	8361481	3309634	123	371519	91069
1357042793732757722	9316634	3703554	131	416132	102780
1357042794233533832	8227514	3237619	123	365472	89945
1357042794734357441	8148354	3201866	123	361745	89426
1357042795235109676	8631545	3463421	133	388905	95858
1357042795735894244	8631480	3458618	139	387439	95281
1357042796236622520	9205419	3678846	147	413945	101849
1357042796737432088	10509457	4241107	157	477456	118417
1357042797238163615	8753378	3461709	138	388772	96022
1357042797738837350	9514662	3806601	149	428049	105732
1357042798239639209	8485785	3374116	139	378594	93553
1357042798740364027	9411407	3759107	152	424130	104378
1357042799241143303	7218302	2786310	104	315157	77863
1357042799741968913	8640829	3448899	134	389837	95932
1357042800242753148	8295842	3286835	135	368562	91028
1357042800743570549	10896716	4407706	168	498614	122445
1357042801244358325	9321061	3745061	148	420215	103388
1357042801745158393	8978515	3601868	133	405254	100262
1357042802246037085	8385860	3352215	116	376429	92319
1357042802746841237	8869752	3563811	122	399721	98661
1357042803247634971	7844936	3142665	115	353519	86069
1357042803748379123	9469393	3779669	153	424567	104825
1357042804249083774	6692466	2567061	100	290168	71607
1357042804749843134	9865582	3940397	150	442868	110029
1357042805250543160	9014470	3601706	138	405413	99573
1357042805751297020	9272683	3718894	148	417607	102968
1357042806252115921	10295187	3709893	162	414154	100718
1357042806753419696	11354906	4623303	195	525339	126045
1357042807257190212	10528745	4402251	187	502156	118118
1357042807761033394	10003825	4201588	176	474346	113553
1357042808264558245	10126590	4245219	188	479926	114302
1357042808768139012	11867580	4994333	208	560881	137563
1357042809272090777	8887066	3715235	153	422866	99272
1357042809775571170	9564899	4036052	154	455198	109612
1357042810276431446	10386139	4173278	184	464607	113722
1357042810777289513	10802470	4327478	175	483724	118913
1357042811278225081	23690658	9718380	187	1161893	205105
1357042811792743477	11917149	4774940	214	531396	129556
1357042812293621295	9656179	3833057	159	427477	104144
1357042812794505404	10848491	4371550	154	489024	121429
1357042813295351722	7521750	2997934	108	335479	82252
1357042813796221081	7623499	3049923	113	341887	84316
1357042814297131357	8377887	3374794	124	379373	93766
1357042814798094299	9321892	3071204	104	346139	85011
1357042815299336908	8913282	3590073	141	399611	97017
1357042815800153600	10240421	4061786	160	454101	111345
1357042816301036626	9299298	3762803	155	420883	103665
1357042816801953652	10453035	4164216	154	466865	115921
1357042817302851261	8413024	3385903	134	379679	93026
1357042817803627496	9211561	3741959	148	420885	103219
1357042818304478272	8668545	3460484	138	388430	95688
1357042818805307423	8750463	3534017	144	396757	98047
