#Timestamp	CPU cycles	Instructions architecturally executed	Exceptions taken	Predictable branch speculatively executed	Mispredicted or not predicted branch speculatively executed
1357457566275767415	881842	61868	5	10276	705
1357457566776550942	179540	37796	5	7279	506
1357457567277241051	148806	31731	5	8041	571
1357457567777868912	162638	38272	5	7046	465
1357457568278487688	147096	30977	5	6449	515
1357457568779093049	160246	36534	5	7826	455
1357457569279700409	147532	30702	5	7459	511
1357457569780308144	355228	88891	6	17667	1682
1357457570280913963	162318	32848	5	6788	514
1357457570781548906	119967	33721	5	7327	528
1357457571282334641	154394	32886	5	6842	482
1357457571783111292	149009	33756	5	7327	542
1357457572283732444	160536	31960	5	6549	450
1357457572784370512	147911	33756	5	7719	542
1357457573285003080	161806	34191	5	6725	476
1357457573785629274	338897	82631	6	19161	1514
1357457574286275259	150550	33783	5	7453	563
1357457574786975869	161991	33879	5	6769	464
1357457575287613604	148805	33745	5	7671	552
1357457575788244756	161736	33778	5	6901	464
1357457576288872032	149050	33737	5	7347	549
1357457576789593517	162023	33786	5	6974	462
1357457577290225836	148247	33501	5	7393	555
1357457577790861737	360036	91959	6	20729	1567
1357457578291484931	161674	33779	5	6561	456
1357457578792183791	147367	33748	5	7830	537
1357457579292811151	160763	33797	5	6728	449
1357457579793447303	148049	33732	5	7563	518
1357457580294154288	160067	32392	5	6264	412
1357457580794790648	147837	34243	5	7939	560
1357457581295423591	161480	34196	5	6671	429
1357457581797440321	331821	76358	6	15930	1427
1357457582298093390	148057	33688	5	7501	561
1357457582798725167	170402	33764	5	6865	476
1357457583299359110	148408	33659	5	7573	524
1357457583799988720	159793	34123	5	6749	435
1357457584300615539	148109	33176	5	7188	509
1357457584801239732	160587	32866	5	6872	461
1357457585301891425	147818	33474	5	7633	668
1357457585802526161	389419	99500	6	22175	1617
1357457586303152771	162960	34618	5	6997	489
1357457586803877422	149671	34639	5	7825	574
1357457587304499241	163386	35519	5	7050	474
1357457587805133851	148234	34609	5	7774	550
1357457588305753711	161179	33081	5	6395	453
1357457588806388446	148110	34431	5	7857	527
1357457589307015723	178140	34181	5	6917	444
1357457589807764166	360050	85064	6	20105	1434
1357457590308513109	453289	35046	5	8185	614
1357457590809277718	262178	35440	5	6921	455
1357457591310079411	242297	34638	5	7803	543
1357457591811031020	260204	35526	5	7035	466
1357457592311832297	241714	34624	5	7469	515
1357457592812698281	256310	35883	5	7191	533
1357457593313535182	268440	38520	5	8496	491
1357457593814306750	427733	77605	6	16189	1415
1357457594315075568	248957	32863	5	7090	508
1357457594815890927	260553	34517	5	7136	471
1357457595316704578	245251	32090	5	7164	494
1357457595817576729	253112	32478	5	6715	493
1357457596318279923	274326	44007	5	9009	596
1357457596819104782	270475	38475	5	8457	470
1357457597319776975	241645	33471	5	7341	493
1357457597820468794	436831	82792	6	17798	1575
1357457598321118445	258204	35500	5	6990	471
1357457598821800597	247146	34598	5	7530	538
1357457599322579332	256091	33725	5	7063	529
1357457599823340983	235216	43764	5	9197	593
1357457600324200051	272205	42407	5	8922	504
1357457600824988910	241551	33217	5	7254	505
1357457601325765895	258822	33753	5	6897	448
1357457601826700879	428606	78432	6	16540	1450
1357457602327570988	244387	32863	5	7136	505
1357457602828365598	255780	31993	5	6560	430
1357457603329156957	239209	32817	5	7217	488
1357457603829948525	255825	32483	5	6546	414
1357457604330737260	238450	32324	5	7225	488
1357457604831519994	256987	33388	5	6780	453
1357457605332398312	239165	32959	5	7513	518
1357457605833201463	430340	82812	6	16883	1455
1357457606334003323	254960	32478	5	6676	459
1357457606836169678	241330	32327	5	7204	508
1357457607336955287	266209	31966	5	6631	434
1357457607837751813	239682	32839	5	7071	474
1357457608338569381	257402	36791	5	7495	550
1357457608839389907	264265	39055	5	8530	484
1357457609340175934	237824	32954	5	7383	506
1357457609840975668	449814	83527	6	17266	1492
1357457610341761194	252486	32478	5	6658	426
1357457610842665387	243964	32327	5	7080	467
1357457611343349413	250083	32004	5	6681	418
1357457611845556018	241236	32806	5	7111	470
1357457612346259336	253786	33681	5	6842	447
1357457612847006488	237836	33753	5	7743	559
1357457613347692973	258140	34158	5	6876	448
1357457613848394208	432120	77130	6	15783	1490
1357457614349089068	244282	32820	5	7109	523
1357457614849794469	250802	31961	5	6768	444
1357457615350617287	240233	32839	5	7163	506
1357457615851444938	254113	31966	5	6517	424
1357457616352301381	236905	32836	5	7177	492
1357457616853232906	256502	33375	5	6695	438
1357457617354022516	238645	32989	5	7498	517
1357457617854829292	449423	84289	6	17311	1525
1357457618355614610	252719	32473	5	6655	439
1357457618856427761	239752	32327	5	7161	480
1357457619357330162	254691	31993	5	6643	430
1357457619858112980	239200	32807	5	7207	493
1357457620358885631	258795	33725	5	6895	456
1357457620859685158	239559	33750	5	7570	508
1357457621360524975	257333	37112	5	7095	496
1357457621861473584	1124972	88685	6	19108	1572
1357457622362327027	974323	34980	5	7071	523
1357457622863119470	1014842	37226	5	8175	459
1357457623363879663	950409	32311	5	7145	481
1357457623864665064	992513	32478	5	6731	446
1357457624365493882	964975	34092	5	7536	558
1357457624866309033	982223	34247	5	6759	422
1357457625367101934	977514	32980	5	7592	532
1357457625867916960	1154947	91480	6	21879	1443
1357457626368733695	1004146	32484	5	6540	446
1357457626869549346	956392	32321	5	7243	466
1357457627370238164	999871	32481	5	6548	407
1357457627870913733	927402	32324	5	7006	446
1357457628371706092	952630	34283	5	7204	462
1357457628872458535	961621	33243	5	7533	498
1357457629373175728	958655	34679	5	6673	440
1357457629873901588	1133445	88403	6	22028	1415
1357457630374639573	979676	39752	5	9305	596
1357457630875369099	1012680	37197	5	7304	453
1357457631376059834	952972	32311	5	7046	453
1357457631876996360	1004152	34975	5	7014	530
1357457632377688678	973517	39934	5	8893	541
1357457632878412413	1004102	41461	5	8657	493
1357457633379127231	960331	32935	5	7341	488
1357457633879883258	1166503	83443	6	17246	1483
1357457634380555909	993085	34990	5	6817	521
1357457634881315269	977404	39728	5	9427	582
1357457635382063420	998915	37235	5	7496	575
1357457635882788530	984701	40830	5	8522	512
1357457636383510056	934798	32955	5	7491	523
1357457636893508343	1010747	34281	5	6847	438
1357457637394202703	945076	32986	5	7378	530
1357457637894971230	1191695	100280	6	25088	1591
1357457638395674381	992285	32478	5	6903	503
1357457638896449824	975258	39761	5	8502	555
1357457639397267517	1015845	40173	5	8648	556
1357457639897971793	979411	43062	5	8774	515
1357457640398688737	986752	32994	5	7653	496
1357457640899427180	963313	36769	5	7089	534
1357457641400231289	1003942	38485	5	8323	486
1357457641900987566	1169884	78104	6	16378	1458
1357457642401736384	962882	32345	5	7054	531
1357457642902483618	990959	35885	5	7069	492
1357457643403220228	975896	40639	5	8681	595
1357457643903938838	1012559	38110	5	8427	502
1357457644404650281	952091	34084	5	7606	564
1357457644905381432	998506	34295	5	6789	455
1357457645406125792	951384	32986	5	7418	529
1357457645906943152	1198995	100061	6	26717	1742
1357457646407650512	1010598	40674	5	6738	440
1357457646908521621	948352	33720	5	7519	510
1357457647409244814	1000402	33394	5	6517	420
1357457647909959382	952905	33238	5	7610	525
1357457648410687617	1002377	35173	5	6838	422
1357457648911406768	947491	33244	5	7667	533
1357457649412223794	989381	34714	5	6859	477
1357457649912932029	1179218	94001	6	20137	1634
1357457650413677681	971785	36772	5	8127	576
1357457650914393249	1009757	38110	5	7294	469
1357457651415125525	959598	33222	5	7584	536
1357457651915928510	1000211	34300	5	6802	453
1357457652416620453	951061	34100	5	7676	561
1357457652917427521	994125	33742	5	6940	501
1357457653418121881	982881	41558	5	8618	486
1357457653918822241	1172200	79574	6	16404	1550
1357457654419537725	977356	32863	5	7502	533
1357457654920251377	964204	35856	5	7855	541
1357457655421070070	1021962	37592	5	7574	512
1357457655921821804	916422	32813	5	6966	496
1357457656422804830	1002045	34339	5	7092	531
1357457656955374000	1014176	33251	5	7256	539
1357457657456090568	965727	32100	5	6672	447
1357457657956902219	1163886	73951	6	15037	1453
1357457658457600454	981059	38162	5	8352	526
1357457658958335147	987364	32321	5	7132	517
1357457659459047840	852041	32508	5	6826	482
1357457659959725908	504466	39738	5	8491	545
1357457660460415977	506300	40618	5	8677	520
1357457660961125211	488622	33238	5	7175	493
1357457661461912779	492367	33799	5	7006	506
1357457661962761722	702223	92778	6	19496	1629
1357457662463489832	504100	34985	5	6762	538
1357457662964132400	545464	37463	5	8365	506
1357457663464851385	485931	32071	5	7060	496
1357457663965544662	491223	32483	5	6752	477
1357457664466232146	511582	40601	5	8504	524
1357457664966994464	479821	33225	5	7377	532
1357457665467675699	498908	33872	5	6913	454
1357457665968387893	684722	79740	6	16461	1543
1357457666469094252	480128	32095	5	7168	528
1357457666969951945	491738	34985	5	6901	505
1357457667470692805	537786	37218	5	8332	545
1357457667971400706	528511	39739	5	8401	474
1357457668472190233	483980	32281	5	7284	525
1357457668972867968	490815	33824	5	6836	438
1357457669473552536	477802	33433	5	7339	519
