#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU cycles	Instructions architecturally executed	Exceptions taken	Predictable branch speculatively executed	Mispredicted or not predicted branch speculatively executed	
1357636056318250906	automotive_bitcount	200	54	0.900000	0.106000	0.097000	117974	32205	1	6876	464
1357636056831921806	automotive_bitcount	200	54	0.900000	0.106000	0.097000	114778	27942	1	5940	362
1357636057344769541	automotive_bitcount	200	54	0.900000	0.106000	0.097000	112016	30388	1	6553	407
1357636057857769235	automotive_bitcount	200	54	0.900000	0.106000	0.097000	107772	27945	1	5882	395
1357636058371112636	automotive_bitcount	200	54	0.900000	0.106000	0.097000	111106	30646	1	6578	395
1357636058883855788	automotive_bitcount	200	54	0.900000	0.106000	0.097000	105216	27945	1	5891	368
1357636059396875565	automotive_bitcount	200	54	0.900000	0.106000	0.097000	116279	32022	1	6842	439
1357636059909764676	automotive_bitcount	200	54	0.900000	0.106000	0.097000	107505	27942	1	5916	362
1357636060422484912	automotive_bitcount	200	54	0.900000	0.106000	0.097000	77852	30643	1	6617	408
1357636060935576980	automotive_bitcount	200	54	0.900000	0.106000	0.097000	106349	27687	1	5841	353
1357636061448344800	automotive_bitcount	200	54	0.900000	0.106000	0.097000	221625	68516	2	14464	1235
1357636061961308285	automotive_bitcount	200	54	0.900000	0.106000	0.097000	112698	30662	1	6593	414
1357636062474158771	automotive_bitcount	200	54	0.900000	0.106000	0.097000	106841	27945	1	5929	346
1357636062987424922	automotive_bitcount	200	54	0.900000	0.106000	0.097000	111014	30646	1	6591	374
1357636063500351824	automotive_bitcount	200	54	0.900000	0.106000	0.097000	105621	27945	1	5906	355
1357636064013120476	automotive_bitcount	200	54	0.900000	0.106000	0.097000	111412	30643	1	6575	365
1357636064526421252	automotive_bitcount	200	54	0.900000	0.106000	0.097000	106306	27942	1	5907	352
1357636065039271655	automotive_bitcount	200	54	0.900000	0.106000	0.097000	110902	30388	1	6513	361
1357636065552171974	automotive_bitcount	200	54	0.900000	0.106000	0.097000	222820	68689	2	14472	1247
1357636066065111084	automotive_bitcount	200	54	0.900000	0.106000	0.097000	106892	27945	1	5912	364
1357636066578038444	automotive_bitcount	200	54	0.900000	0.106000	0.097000	110755	30646	1	6573	388
1357636067091213804	automotive_bitcount	200	54	0.900000	0.106000	0.097000	106388	27945	1	5898	347
1357636067604248664	automotive_bitcount	200	54	0.900000	0.106000	0.097000	111354	30646	1	6571	368
1357636068117237608	automotive_bitcount	200	54	0.900000	0.106000	0.097000	105706	27942	1	5888	346
1357636068630198635	automotive_bitcount	200	54	0.900000	0.106000	0.097000	111926	30643	1	6581	382
1357636069143050204	automotive_bitcount	200	54	0.900000	0.106000	0.097000	106034	27687	1	5838	352
1357636069656052522	automotive_bitcount	200	54	0.900000	0.106000	0.097000	220725	68589	2	14422	1240
1357636070168707092	automotive_bitcount	200	54	0.900000	0.106000	0.097000	112767	30678	1	6571	409
1357636070681678203	automotive_bitcount	200	54	0.900000	0.106000	0.097000	105478	27945	1	5921	361
1357636071194465313	automotive_bitcount	200	54	0.900000	0.106000	0.097000	128803	30651	1	6596	395
1357636071707597173	automotive_bitcount	200	54	0.900000	0.106000	0.097000	107872	27945	1	5886	355
1357636072220600533	automotive_bitcount	200	54	0.900000	0.106000	0.097000	111271	30643	1	6614	380
1357636072733356811	automotive_bitcount	200	54	0.900000	0.106000	0.097000	106381	27942	1	5927	359
1357636073246554754	automotive_bitcount	200	54	0.900000	0.106000	0.097000	110957	30388	1	6495	380
1357636073759666739	automotive_bitcount	200	54	0.900000	0.106000	0.097000	217400	67162	2	14168	1197
1357636074272518683	automotive_bitcount	200	54	0.900000	0.106000	0.097000	107630	27945	1	5905	370
1357636074785697918	automotive_bitcount	200	54	0.900000	0.106000	0.097000	111209	30646	1	6884	470
1357636075298375904	automotive_bitcount	200	54	0.900000	0.105000	0.096000	109340	27858	2	5602	363
1357636075811331764	automotive_bitcount	200	54	0.900000	0.106000	0.097000	111467	30646	1	6567	374
1357636076324545290	automotive_bitcount	200	54	0.900000	0.106000	0.097000	105611	27942	1	5920	357
1357636076837396776	automotive_bitcount	200	54	0.900000	0.106000	0.097000	111928	30643	1	6584	363
1357636077350269845	automotive_bitcount	200	54	0.900000	0.106000	0.097000	105474	29524	2	6208	433
1357636077862990998	automotive_bitcount	200	54	0.900000	0.106000	0.097000	218845	65425	2	13794	1206
1357636078375997691	automotive_bitcount	200	54	0.900000	0.106000	0.097000	113710	30662	1	6601	415
1357636078888799886	automotive_bitcount	200	54	0.900000	0.106000	0.097000	107524	27945	1	5885	328
1357636079401659621	automotive_bitcount	200	54	0.900000	0.106000	0.097000	342578	27945	1	5931	376
1357636079915681353	automotive_qsort1	200	54	0.900000	0.106000	0.097000	181952	30643	1	6567	371
1357636080429686127	automotive_qsort1	200	54	0.900000	0.106000	0.097000	180812	27942	1	5935	335
1357636080943387235	automotive_qsort1	200	54	0.900000	0.106000	0.097000	186298	30388	1	6530	342
1357636081457538633	automotive_qsort1	200	54	0.900000	0.106000	0.097000	280987	68753	2	15700	1386
1357636081973051443	automotive_qsort1	200	53	0.900000	0.106000	0.097000	173186	29266	2	4890	310
1357636082487514506	automotive_qsort1	200	54	0.900000	0.106000	0.097000	185932	30652	1	6579	404
1357636083002904900	automotive_qsort1	200	53	0.900000	0.106000	0.097000	174402	27945	1	5896	341
1357636083517164798	automotive_qsort1	200	54	0.900000	0.106000	0.097000	185844	30646	1	6566	393
1357636084031147946	automotive_qsort1	200	54	0.900000	0.106000	0.097000	180400	27942	1	5920	352
1357636084545440802	automotive_qsort1	200	54	0.900000	0.106000	0.097000	180297	30643	1	6590	375
1357636085059573117	automotive_qsort1	200	54	0.900000	0.106000	0.097000	179371	27687	1	5842	339
1357636085575136094	automotive_qsort1	200	54	0.900000	0.106000	0.097000	293618	68472	2	14421	1258
1357636086089549616	automotive_qsort1	200	54	0.900000	0.106000	0.097000	181310	30678	1	6636	445
1357636086604925676	automotive_qsort1	200	53	0.900000	0.106000	0.097000	181977	27945	1	5968	376
1357636087118779575	automotive_qsort1	200	54	0.900000	0.106000	0.097000	189101	30646	1	6650	396
1357636087633006265	automotive_qsort1	200	53	0.900000	0.106000	0.097000	175112	27945	1	5950	359
1357636088146991372	automotive_qsort1	200	54	0.900000	0.106000	0.097000	186657	30643	1	6610	419
1357636088661283353	automotive_qsort1	200	54	0.900000	0.106000	0.097000	179860	27942	1	5952	351
1357636089176863246	automotive_qsort1	200	53	0.900000	0.106000	0.097000	180665	30388	1	6564	389
1357636089691285685	automotive_qsort1	200	54	0.900000	0.106000	0.097000	296057	68675	2	16456	1427
1357636090205890998	automotive_qsort1	200	54	0.900000	0.106000	0.097000	197205	34314	2	5385	333
1357636090720471061	automotive_qsort1	200	54	0.900000	0.106000	0.097000	180570	30646	1	6624	387
1357636091234466501	automotive_qsort1	200	54	0.900000	0.106000	0.097000	179448	27945	1	5964	361
1357636091748225484	automotive_qsort1	200	54	0.900000	0.106000	0.097000	184563	30646	1	6627	382
1357636092262056883	automotive_qsort1	200	54	0.900000	0.106000	0.097000	174456	27942	1	5951	363
1357636092777650818	automotive_qsort1	200	53	0.900000	0.106000	0.097000	183429	30643	1	6636	389
1357636093291904132	automotive_qsort1	200	54	0.900000	0.106000	0.097000	178819	27687	1	5890	350
1357636093806072364	automotive_qsort1	200	54	0.900000	0.106000	0.097000	282832	67116	2	14188	1205
1357636094320497052	automotive_qsort1	200	54	0.900000	0.106000	0.097000	185243	30688	1	6646	415
1357636094834486868	automotive_qsort1	200	54	0.900000	0.106000	0.097000	178652	27960	1	5926	363
1357636095348276684	automotive_qsort1	200	54	0.900000	0.106000	0.097000	179610	30656	1	6619	471
1357636095862215999	automotive_qsort1	200	53	0.900000	0.106000	0.097000	182513	27941	2	5924	334
1357636096378131516	automotive_qsort1	200	54	0.900000	0.106000	0.097000	182540	30653	1	6626	380
1357636096892643788	automotive_qsort1	200	54	0.900000	0.106000	0.097000	172567	27952	1	5935	351
1357636097406786103	automotive_qsort1	200	53	0.900000	0.106000	0.097000	181968	30398	1	6572	394
1357636097921048417	automotive_qsort1	200	54	0.900000	0.106000	0.097000	292343	68532	2	14450	1296
1357636098435068732	automotive_qsort1	200	54	0.900000	0.106000	0.097000	174558	27945	1	5939	378
1357636098948764257	automotive_qsort1	200	53	0.900000	0.106000	0.097000	177027	28042	2	5977	359
1357636099462836905	automotive_qsort1	200	54	0.900000	0.106000	0.097000	179084	30608	1	6596	390
1357636099978129007	automotive_qsort1	200	54	0.900000	0.106000	0.097000	177326	27942	1	5958	365
1357636100492404780	automotive_qsort1	200	54	0.900000	0.106000	0.097000	181475	30643	1	6607	380
1357636101006470428	automotive_qsort1	200	54	0.900000	0.106000	0.097000	170558	27687	1	5844	339
1357636101520368911	automotive_qsort1	200	54	0.900000	0.106000	0.097000	268571	68618	2	14451	1245
1357636102034209893	automotive_qsort1	200	54	0.900000	0.106000	0.097000	180471	30662	1	6655	442
1357636102548451332	automotive_qsort1	200	54	0.900000	0.106000	0.097000	174359	27945	1	5979	368
1357636103062429856	automotive_qsort1	200	54	0.900000	0.106000	0.097000	181486	30646	1	6621	389
1357636103578047957	automotive_qsort1	200	53	0.900000	0.106000	0.097000	172384	27945	1	5957	357
1357636104092179564	automotive_qsort1	200	53	0.900000	0.106000	0.097000	181385	30643	1	6614	418
1357636104606296212	automotive_qsort1	200	54	0.900000	0.106000	0.097000	180723	28604	1	6088	362
1357636105120082778	automotive_qsort1	200	54	0.900000	0.106000	0.097000	176609	30675	2	6556	378
1357636105634196134	automotive_qsort1	200	54	0.900000	0.106000	0.097000	289148	68252	2	14441	1269
1357636106148429115	automotive_qsort1	200	54	0.900000	0.106000	0.097000	176660	27945	1	5961	408
1357636106662424931	automotive_qsort1	200	54	0.900000	0.106000	0.097000	179629	30646	1	6596	424
1357636107178016407	automotive_qsort1	200	53	0.900000	0.106000	0.097000	174182	27945	1	5940	366
1357636107692282596	automotive_qsort1	200	54	0.900000	0.106000	0.097000	181665	30646	1	6601	396
1357636108206329703	automotive_qsort1	200	54	0.900000	0.106000	0.097000	171416	27942	1	5958	350
1357636108720156602	automotive_qsort1	200	54	0.900000	0.106000	0.097000	179685	30643	1	6602	378
1357636109233944293	automotive_qsort1	200	54	0.900000	0.106000	0.097000	178130	27687	1	5913	367
1357636109749422187	automotive_qsort1	200	54	0.900000	0.106000	0.097000	288486	68783	2	14507	1266
1357636110263404585	automotive_qsort1	200	53	0.900000	0.106000	0.097000	182441	30678	1	6625	407
1357636110778761104	automotive_qsort1	200	54	0.900000	0.106000	0.097000	178251	27945	1	5946	368
1357636111293149293	automotive_qsort1	200	54	0.900000	0.106000	0.097000	179582	30646	1	6622	384
1357636111807103859	automotive_qsort1	200	54	0.900000	0.106000	0.097000	176464	27945	1	5936	340
1357636112320994466	automotive_qsort1	200	54	0.900000	0.106000	0.097000	182519	30643	1	6581	392
1357636112835283197	automotive_qsort1	200	54	0.900000	0.106000	0.097000	173594	27942	1	5920	353
1357636113350629132	automotive_qsort1	200	54	0.900000	0.106000	0.097000	323360	30388	1	6358	365
1357636113867192814	automotive_susan_c	200	54	0.900000	0.107000	0.098000	811220	70048	3	14695	1348
1357636114382141418	automotive_susan_c	200	54	0.900000	0.107000	0.098000	667987	27785	1	5796	387
1357636114897742144	automotive_susan_c	200	54	0.900000	0.107000	0.098000	660642	30705	2	6588	384
1357636115412194416	automotive_susan_c	200	54	0.900000	0.107000	0.098000	653300	27945	1	5901	360
1357636115926728480	automotive_susan_c	200	54	0.900000	0.107000	0.098000	665013	43562	2	10394	515
1357636116442568705	automotive_susan_c	200	54	0.900000	0.107000	0.098000	695458	25211	2	5319	310
1357636116957508476	automotive_susan_c	200	54	0.900000	0.107000	0.098000	660126	30656	1	6569	377
1357636117473499701	automotive_susan_c	200	54	0.900000	0.107000	0.098000	654493	27687	1	5835	340
1357636117988331180	automotive_susan_c	200	54	0.900000	0.108000	0.099000	773979	68487	2	14393	1227
1357636118504231780	automotive_susan_c	200	54	0.900000	0.107000	0.098000	674555	28833	1	6078	388
