#Timestamp	CORE_ID	user%	nice%	sys%	idle%	iowait%	irq%	softiq%	steal%	guest%	guest_nice%
1437413204909004801	CORE_0	3.50	0	1.75	94.73	0	0	0	0	0	0
1437413205733978288	CORE_0	0	0	1.23	98.76	0	0	0	0	0	0
1437413206562112260	CORE_0	0	0	1.23	98.76	0	0	0	0	0	0
1437413207375434802	CORE_0	0	0	2.46	97.53	0	0	0	0	0	0
1437413208217121233	CORE_0	1.23	0	1.23	97.53	0	0	0	0	0	0
1437413209037766814	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1437413209862327791	CORE_0	0	0	3.61	95.18	1.20	0	0	0	0	0
1437413210697076675	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1437413211532122766	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1437413212367139899	CORE_0	0	0	1.21	98.78	0	0	0	0	0	0
1437413213192108791	CORE_0	0	0	0	98.76	0	1.23	0	0	0	0
1437413214027152050	CORE_0	1.19	0	1.19	96.42	0	1.19	0	0	0	0
1437413214852239233	CORE_0	0	0	1.23	98.76	0	0	0	0	0	0
1437413215687400950	CORE_0	0	0	1.20	97.59	0	1.20	0	0	0	0
1437413216542439190	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1437413217386701069	CORE_0	0	0	0	98.79	0	1.20	0	0	0	0
1437413218227323217	CORE_0	1.19	0	1.19	97.61	0	0	0	0	0	0
1437413219071521763	CORE_0	0	0	0	96.51	0	2.32	1.16	0	0	0
1437413219922484650	CORE_0	0	0	1.20	98.79	0	0	0	0	0	0
1437413220772439917	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1437413221617351085	CORE_0	1.11	0	1.11	91.11	0	6.66	0	0	0	0
1437413222462386628	CORE_0	0	0	1.19	98.80	0	0	0	0	0	0
1437413223302376196	CORE_0	1.20	0	0	98.79	0	0	0	0	0	0
1437413224162512954	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1437413225012398556	CORE_0	0	0	1.17	97.64	0	0	1.17	0	0	0
1437413225857364933	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1437413226712491051	CORE_0	0	0	1.19	98.80	0	0	0	0	0	0
1437413227559697334	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1437413228409388146	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1437413229254397482	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1437413230112458252	CORE_0	1.17	0	1.17	97.64	0	0	0	0	0	0
1437413230941651918	CORE_0	0	0	1.20	98.79	0	0	0	0	0	0
1437413231559265534	CORE_0	0	0	3.44	94.82	0	0	1.72	0	0	0
1437413232253745926	CORE_0	0	0	4.61	87.69	0	6.15	1.53	0	0	0
1437413233083183009	CORE_0	0	0	6.41	88.46	0	5.12	0	0	0	0
1437413233919816805	CORE_0	0	0	5.06	89.87	0	3.79	1.26	0	0	0
1437413234757917719	CORE_0	0	0	5.06	87.34	1.26	5.06	1.26	0	0	0
1437413235591557322	CORE_0	0	0	7.40	86.41	0	4.93	1.23	0	0	0
1437413236422898937	CORE_0	1.23	0	6.17	86.41	0	4.93	1.23	0	0	0
1437413237253523223	CORE_0	0	0	3.89	89.61	0	5.19	1.29	0	0	0
1437413238087765199	CORE_0	0	0	5.12	88.46	0	5.12	1.28	0	0	0
1437413238924380038	CORE_0	0	0	6.17	87.65	0	4.93	1.23	0	0	0
1437413239766136351	CORE_0	0	0	5.12	87.17	0	6.41	1.28	0	0	0
1437413240600641868	CORE_0	0	0	6.41	88.46	0	3.84	1.28	0	0	0
1437413241437645581	CORE_0	0	0	3.79	89.87	0	5.06	1.26	0	0	0
1437413242262111857	CORE_0	0	0	6.32	87.34	0	5.06	1.26	0	0	0
1437413243099986649	CORE_0	0	0	6.25	87.50	0	5.00	1.25	0	0	0
1437413243940735593	CORE_0	1.29	0	2.59	89.61	0	5.19	1.29	0	0	0
1437413244782605907	CORE_0	0	0	5.12	85.89	0	7.69	1.28	0	0	0
1437413245582228518	CORE_0	7.79	0	7.79	77.92	0	5.19	1.29	0	0	0
1437413246420172436	CORE_0	0	0	5.06	89.87	0	3.79	1.26	0	0	0
1437413247264211156	CORE_0	1.25	0	5.00	88.75	0	5.00	0	0	0	0
1437413248108559041	CORE_0	0	0	2.59	90.90	0	5.19	1.29	0	0	0
1437413248931402285	CORE_0	0	0	3.89	89.61	0	5.19	1.29	0	0	0
1437413249773991138	CORE_0	3.57	0	5.95	86.90	0	2.38	1.19	0	0	0
1437413250617085155	CORE_0	0	0	0	98.79	0	1.20	0	0	0	0
1437413251452106922	CORE_0	0	0	1.20	98.79	0	0	0	0	0	0
1437413252282096422	CORE_0	0	0	0	98.78	0	1.21	0	0	0	0
1437413253117080939	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1437413253952124498	CORE_0	1.14	0	1.14	91.95	0	4.59	1.14	0	0	0
1437413254787134640	CORE_0	1.21	0	1.21	97.56	0	0	0	0	0	0
1437413255622061825	CORE_0	0	0	1.21	98.78	0	0	0	0	0	0
1437413256443996784	CORE_0	0	0	1.21	98.78	0	0	0	0	0	0
1437413257287107761	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1437413258107116938	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1437413258947051515	CORE_0	0	0	1.20	98.79	0	0	0	0	0	0
1437413259757948864	CORE_0	0	0	1.21	96.34	0	1.21	1.21	0	0	0
1437413260582011230	CORE_0	0	0	1.23	98.76	0	0	0	0	0	0
1437413261407113715	CORE_0	0	0	0	98.76	0	1.23	0	0	0	0
1437413262242086026	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1437413263077056879	CORE_0	0	0	0	98.78	0	1.21	0	0	0	0
1437413263898949381	CORE_0	0	0	1.21	98.78	0	0	0	0	0	0
