#Timestamp	CORE_ID	user%	nice%	sys%	idle%	iowait%	irq%	softiq%	steal%	guest%	guest_nice%
1433824353376288517	CORE_0	0	0	0	98.21	0	0	1.78	0	0	0
1433824354201423426	CORE_0	1.23	0	2.46	96.29	0	0	0	0	0	0
1433824355034304377	CORE_0	0	0	1.23	97.53	0	0	1.23	0	0	0
1433824355869319745	CORE_0	0	0	1.19	95.23	0	3.57	0	0	0	0
1433824356704327989	CORE_0	1.21	0	2.43	96.34	0	0	0	0	0	0
1433824357539286190	CORE_0	0	0	2.43	97.56	0	0	0	0	0	0
1433824358374331724	CORE_0	0	0	2.40	95.18	1.20	1.20	0	0	0	0
1433824359209291759	CORE_0	0	0	1.23	98.76	0	0	0	0	0	0
1433824360031216458	CORE_0	0	0	1.21	96.34	0	1.21	1.21	0	0	0
1433824360874515618	CORE_0	1.19	0	2.38	94.04	0	2.38	0	0	0	0
1433824361701361942	CORE_0	0	0	1.25	98.75	0	0	0	0	0	0
1433824362534314017	CORE_0	0	0	0	98.75	0	1.25	0	0	0	0
1433824363360052758	CORE_0	0	0	0	96.38	0	2.40	1.20	0	0	0
1433824364204697543	CORE_0	1.23	0	2.46	96.29	0	0	0	0	0	0
1433824365059688079	CORE_0	0	0	1.19	98.80	0	0	0	0	0	0
1433824365899640529	CORE_0	0	0	1.20	97.59	0	1.20	0	0	0	0
1433824366744523022	CORE_0	0	0	0	97.59	0	1.20	1.20	0	0	0
1433824367591650223	CORE_0	1.19	0	0	98.80	0	0	0	0	0	0
1433824368449668259	CORE_0	0	0	1.19	96.42	0	1.19	1.19	0	0	0
1433824369304647419	CORE_0	0	0	1.17	97.64	0	1.17	0	0	0	0
1433824370154589703	CORE_0	0	0	1.19	97.61	0	1.19	0	0	0	0
1433824371009497988	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1433824371856641355	CORE_0	0	0	1.17	97.64	0	1.17	0	0	0	0
1433824372714691807	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1433824373561649506	CORE_0	0	0	0	98.79	0	1.20	0	0	0	0
